Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,118.695307,[23 30] ; [339  18],[46.79512195  6.20487805] ; [315.20487805  41.79512195],1
p11,1,0.0,33.321335,[31 25] ; [310  47],[46.23728814  9.76271186] ; [294.76271186  62.23728814],1
r3,1,0.000204,13.791269,[50  6] ; [347   6],[54.35696822  1.64303178] ; [342.64303178  10.35696822],1
p4,1,0.000595,11.790014,[29 27] ; [264  92],[39.82524272 16.17475728] ; [253.17475728 102.82524272],1
d5,1,0.000877,11.069906,[37 18] ; [304  52],[45.63260341  9.36739659] ; [295.36739659  60.63260341],1
s8,1,0.001183,10.517244,[14 41] ; [173 181],[25.14669927 29.85330073] ; [161.85330073 192.14669927],0
s5,1,0.001749,9.795922,[ 9 46] ; [132 215],[19.29104478 35.70895522] ; [121.70895522 225.29104478],0
n6,1,0.001758,9.786889,[40 15] ; [311  41],[47.43243243  7.56756757] ; [303.56756757  48.43243243],0
a5,1,0.002238,9.343533,[34 22] ; [283  74],[42.98305085 13.01694915] ; [274.01694915  82.98305085],0
d1,1,0.002274,9.313992,[25 31] ; [235 122],[35.25423729 20.74576271] ; [224.74576271 132.25423729],0
v4,1,0.004303,8.151269,[51  5] ; [345   7],[54.35294118  1.64705882] ; [341.64705882  10.35294118],0
r4,1,0.004362,8.126491,[47  9] ; [337  20],[52.06779661  3.93220339] ; [331.93220339  25.06779661],0
s6,1,0.004559,8.04664,[30 25] ; [255  93],[38.89578164 16.10421836] ; [246.10421836 101.89578164],0
a6,1,0.004604,8.028616,[35 20] ; [286  69],[43.06097561 11.93902439] ; [277.93902439  77.06097561],0
v1,1,0.004906,7.913875,[22 34] ; [206 141],[31.68238213 24.31761787] ; [196.31761787 150.68238213],0
s7,1,0.005786,7.615892,[19 36] ; [184 153],[28.48214286 26.51785714] ; [174.51785714 162.48214286],0
b5,1,0.008176,6.994561,[45 11] ; [222 135],[36.20338983 19.79661017] ; [230.79661017 126.20338983],0
s2,1,0.008327,6.96184,[20 36] ; [193 160],[29.16381418 26.83618582] ; [183.83618582 169.16381418],0
n5,1,0.008717,6.879934,[35 21] ; [278  76],[42.75121951 13.24878049] ; [270.24878049  83.75121951],0
u2,1,0.009035,6.815938,[ 6 13] ; [54 30],[11.06796117  7.93203883] ; [48.93203883 35.06796117],0
b1,1,0.009894,6.653904,[30 26] ; [127 230],[21.28813559 34.71186441] ; [135.71186441 221.28813559],0
v3,1,0.015965,5.806701,[14 40] ; [148 194],[22.09090909 31.90909091] ; [139.90909091 202.09090909],0
d3,1,0.017852,5.610624,[36 19] ; [283  72],[42.79268293 12.20731707] ; [276.20731707  78.79268293],0
v2,1,0.020734,5.34902,[26 29] ; [217 124],[33.75 21.25] ; [209.25 131.75],0
p2,1,0.021025,5.324716,[46 10] ; [327  29],[50.69902913  5.30097087] ; [322.30097087  33.69902913],0
p3,1,0.03242,4.576146,[27 29] ; [225 131],[34.25242718 21.74757282] ; [217.74757282 138.25242718],0
p12,1,0.03893,4.263902,[ 1 55] ; [ 37 320],[ 5.15254237 50.84745763] ; [ 32.84745763 324.15254237],0
s1,1,0.040416,4.200348,[ 4 51] ; [  8 346],[ 1.61369193 53.38630807] ; [ 10.38630807 343.61369193],0
p5,1,0.052388,3.763328,[ 3 52] ; [ 54 302],[ 7.62773723 47.37226277] ; [ 49.37226277 306.62773723],0
a3,1,0.053851,3.717298,[36 20] ; [271  84],[41.8296837 14.1703163] ; [265.1703163  89.8296837],0
