Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.001914,9.630041,[10 10] ; [ 1 18],[ 5.64102564 14.35897436] ; [ 5.35897436 13.64102564],0
n3,1,0.052353,3.764444,[8 1] ; [2 3],[6.42857143 2.57142857] ; [3.57142857 1.42857143],0
p9,1,0.064569,3.415944,[11  8] ; [ 5 13],[ 8.21621622 10.78378378] ; [ 7.78378378 10.21621622],0
b5,1,0.078555,3.09455,[11 10] ; [15  4],[13.65  7.35] ; [12.35  6.65],0
p4,1,0.113394,2.506266,[13  8] ; [ 7 12],[10.5 10.5] ; [9.5 9.5],0
s3,1,0.118763,2.433556,[16  5] ; [10  9],[13.65  7.35] ; [12.35  6.65],0
p2,1,0.118763,2.433556,[16  5] ; [10  9],[13.65  7.35] ; [12.35  6.65],0
v4,1,0.119769,2.420337,[20  1] ; [15  4],[18.375  2.625] ; [16.625  2.375],0
a8,1,0.121335,2.4,[ 7 13] ; [ 2 14],[ 5. 15.] ; [ 4. 12.],0
a3,1,0.140393,2.173649,[ 9 11] ; [13  6],[11.28205128  8.71794872] ; [10.71794872  8.28205128],0
a5,1,0.164595,1.931495,[11 10] ; [14  5],[13.125  7.875] ; [11.875  7.125],0
u3,1,0.179712,1.8,[4 8] ; [4 2],[5.33333333 6.66666667] ; [2.66666667 3.33333333],0
p5,1,0.18804,1.732904,[ 4 17] ; [ 1 18],[ 2.625 18.375] ; [ 2.375 16.625],0
r4,1,0.190891,1.710728,[18  3] ; [13  6],[16.275  4.725] ; [14.725  4.275],0
p11,1,0.217594,1.520169,[14  7] ; [ 9 10],[12.075  8.925] ; [10.925  8.075],0
d2,1,0.231748,1.430099,[10 11] ; [12  6],[11.84615385  9.15384615] ; [10.15384615  7.84615385],0
p3,1,0.301095,1.06934,[10 11] ; [ 6 13],[ 8.4 12.6] ; [ 7.6 11.4],0
d3,1,0.323898,0.97314,[10 11] ; [12  7],[11.55  9.45] ; [10.45  8.55],0
s7,1,0.337605,0.919506,[12  8] ; [ 8 10],[10.52631579  9.47368421] ; [9.47368421 8.52631579],0
d1,1,0.356093,0.851624,[ 8 13] ; [10  9],[ 9.45 11.55] ; [ 8.55 10.45],0
a4,1,0.356093,0.851624,[ 8 13] ; [10  9],[ 9.45 11.55] ; [ 8.55 10.45],0
s8,1,0.364873,0.821053,[ 8 12] ; [ 5 14],[ 6.66666667 13.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.414216,0.666667,[ 5 11] ; [ 3 13],[ 4. 12.] ; [ 4. 12.],0
b3,1,0.414216,0.666667,[ 5 11] ; [ 3 13],[ 4. 12.] ; [ 4. 12.],0
a7,1,0.428987,0.625564,[ 9 12] ; [10  8],[10.23076923 10.76923077] ; [8.76923077 9.23076923],0
n4,1,0.430869,0.620481,[14  6] ; [11  8],[12.82051282  7.17948718] ; [12.17948718  6.82051282],0
n5,1,0.432512,0.616068,[13  7] ; [10  9],[11.79487179  8.20512821] ; [11.20512821  7.79487179],0
r3,1,0.505949,0.442437,[19  2] ; [15  3],[18.30769231  2.69230769] ; [15.69230769  2.30769231],0
u1,1,0.549598,0.358038,[ 2 19] ; [ 3 16],[ 2.625 18.375] ; [ 2.375 16.625],0
n1,1,0.576999,0.311111,[5 4] ; [2 3],[4.5 4.5] ; [2.5 2.5],0
d5,1,0.583411,0.300752,[15  6] ; [15  4],[15.75  5.25] ; [14.25  4.75],0
r2,1,0.609425,0.261013,[19  2] ; [18  1],[19.425  1.575] ; [17.575  1.425],0
v2,1,0.633653,0.22714,[11  9] ; [ 9 10],[10.25641026  9.74358974] ; [9.74358974 9.25641026],0
n2,1,0.648807,0.207407,[8 1] ; [4 1],[7.71428571 1.28571429] ; [4.28571429 0.71428571],0
b1,1,0.751529,0.100251,[10 11] ; [10  9],[10.5 10.5] ; [9.5 9.5],0
a6,1,0.751529,0.100251,[10 11] ; [10  9],[10.5 10.5] ; [9.5 9.5],0
a2,1,0.786529,0.073344,[ 4 17] ; [ 3 16],[ 3.675 17.325] ; [ 3.325 15.675],0
n6,1,0.79829,0.065311,[14  6] ; [14  5],[14.35897436  5.64102564] ; [13.64102564  5.35897436],0
v3,1,0.820789,0.051316,[ 7 13] ; [ 6 13],[ 6.66666667 13.33333333] ; [ 6.33333333 12.66666667],0
b4,1,0.835792,0.042965,[15  6] ; [13  6],[14.7  6.3] ; [13.3  5.7],0
d4,1,0.846838,0.037309,[17  4] ; [15  3],[17.23076923  3.76923077] ; [14.76923077  3.23076923],0
v1,1,0.85541,0.033204,[ 9 11] ; [ 8 11],[ 8.71794872 11.28205128] ; [ 8.28205128 10.71794872],0
s4,1,0.873237,0.025455,[ 6 15] ; [ 5 14],[ 5.775 15.225] ; [ 5.225 13.775],0
r1,1,0.873237,0.025455,[15  6] ; [14  5],[15.225  5.775] ; [13.775  5.225],0
u2,1,0.900569,0.015611,[4 7] ; [2 4],[3.88235294 7.11764706] ; [2.11764706 3.88235294],0
s6,1,0.935146,0.006621,[16  4] ; [15  4],[15.8974359  4.1025641] ; [15.1025641  3.8974359],0
p1,1,0.956815,0.002932,[ 2 18] ; [ 2 17],[ 2.05128205 17.94871795] ; [ 1.94871795 17.05128205],0
s2,1,0.961687,0.002308,[12  9] ; [11  8],[12.075  8.925] ; [10.925  8.075],0
