Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.038777,[68  7] ; [ 7 19],[55.69306931 19.30693069] ; [19.30693069  6.69306931],1
r2,1,8e-06,19.884374,[74  1] ; [16  7],[68.87755102  6.12244898] ; [21.12244898  1.87755102],1
r3,1,0.000618,11.721162,[70  4] ; [18  8],[65.12  8.88] ; [22.88  3.12],1
v4,1,0.001129,10.602911,[68  6] ; [17  9],[62.9 11.1] ; [22.1  3.9],0
p2,1,0.002816,8.923056,[51 24] ; [ 9 17],[44.55445545 30.44554455] ; [15.44554455 10.55445545],0
a7,1,0.009682,6.692407,[57 17] ; [13 13],[51.8 22.2] ; [18.2  7.8],0
s6,1,0.021142,5.315014,[45 29] ; [ 9 17],[39.96 34.04] ; [14.04 11.96],0
p8,1,0.02548,4.990946,[30 44] ; [ 4 21],[25.41414141 48.58585859] ; [ 8.58585859 16.41414141],0
a2,1,0.032572,4.56812,[32 43] ; [ 5 21],[27.47524752 47.52475248] ; [ 9.52475248 16.47524752],0
u1,1,0.081299,3.038732,[25 50] ; [ 4 22],[21.53465347 53.46534653] ; [ 7.46534653 18.53465347],0
a6,1,0.082143,3.021974,[56 18] ; [15 11],[52.54 21.46] ; [18.46  7.54],0
n1,1,0.097448,2.746817,[14 17] ; [ 3 12],[11.45652174 19.54347826] ; [5.54347826 9.45652174],0
u2,1,0.105817,2.615602,[13  6] ; [1 3],[11.56521739  7.43478261] ; [2.43478261 1.56521739],0
p7,1,0.127292,2.325226,[29 44] ; [ 6 20],[25.80808081 47.19191919] ; [ 9.19191919 16.80808081],0
n5,1,0.154827,2.02404,[46 28] ; [12 14],[42.92 31.08] ; [15.08 10.92],0
s2,1,0.1617,1.958257,[31 42] ; [ 7 19],[28.02020202 44.97979798] ; [ 9.97979798 16.02020202],0
b4,1,0.166407,1.915018,[49 26] ; [13 13],[46.03960396 28.96039604] ; [15.96039604 10.03960396],0
s3,1,0.18217,1.779835,[35 39] ; [ 8 17],[32.14141414 41.85858586] ; [10.85858586 14.14141414],0
b1,1,0.228301,1.451417,[33 42] ; [15 11],[35.64356436 39.35643564] ; [12.35643564 13.64356436],0
b5,1,0.242319,1.367052,[50 25] ; [14 12],[47.52475248 27.47524752] ; [16.47524752  9.52475248],0
a3,1,0.244139,1.356532,[55 20] ; [22  4],[57.17821782 17.82178218] ; [19.82178218  6.17821782],0
s1,1,0.26609,1.236794,[ 4 70] ; [ 3 22],[ 5.23232323 68.76767677] ; [ 1.76767677 23.23232323],0
a1,1,0.283032,1.152475,[ 4 71] ; [ 3 23],[ 5.1980198 69.8019802] ; [ 1.8019802 24.1980198],0
v1,1,0.286078,1.137987,[31 44] ; [ 7 17],[28.78787879 46.21212121] ; [ 9.21212121 14.78787879],0
n4,1,0.298555,1.080636,[51 23] ; [15 11],[48.84 25.16] ; [17.16  8.84],0
u3,1,0.315286,1.008403,[15  5] ; [2 2],[14.16666667  5.83333333] ; [2.83333333 1.16666667],0
s5,1,0.325983,0.964789,[16 58] ; [ 3 21],[14.34693878 59.65306122] ; [ 4.65306122 19.34693878],0
a4,1,0.335924,0.925926,[50 25] ; [14 11],[48. 27.] ; [16.  9.],0
a8,1,0.356347,0.850727,[ 6 56] ; [ 1 25],[ 4.93181818 57.06818182] ; [ 2.06818182 23.93181818],0
d3,1,0.371558,0.798447,[65  9] ; [21  5],[63.64 10.36] ; [22.36  3.64],0
p11,1,0.394328,0.725555,[39 36] ; [11 15],[37.12871287 37.87128713] ; [12.87128713 13.12871287],0
