Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000107,15.009815,[24 82] ; [22 17],[33.62758621 72.37241379] ; [12.37241379 26.62758621],1
p11,1,0.002149,9.418075,[51 64] ; [29 11],[59.35483871 55.64516129] ; [20.64516129 19.35483871],0
p7,1,0.016917,5.705001,[47 68] ; [24 14],[53.36601307 61.63398693] ; [17.63398693 20.36601307],0
d5,1,0.020205,5.39408,[79 36] ; [35  5],[84.58064516 30.41935484] ; [29.41935484 10.58064516],0
s8,1,0.022092,5.238519,[22 91] ; [15 25],[27.32679739 85.67320261] ; [ 9.67320261 30.32679739],0
s3,1,0.031768,4.610994,[46 68] ; [24 16],[51.81818182 62.18181818] ; [18.18181818 21.81818182],0
p8,1,0.058709,3.573493,[33 82] ; [18 22],[37.83870968 77.16129032] ; [13.16129032 26.83870968],0
s5,1,0.061034,3.509055,[18 93] ; [12 28],[22.05298013 88.94701987] ; [ 7.94701987 32.05298013],0
p2,1,0.075734,3.154143,[62 53] ; [28 12],[66.77419355 48.22580645] ; [23.22580645 16.77419355],0
n5,1,0.075734,3.154143,[62 53] ; [28 12],[66.77419355 48.22580645] ; [23.22580645 16.77419355],0
a8,1,0.08512,2.964322,[ 5 99] ; [ 5 33],[ 7.32394366 96.67605634] ; [ 2.67605634 35.32394366],0
n6,1,0.097265,2.749818,[72 42] ; [31  9],[76.24675325 37.75324675] ; [26.75324675 13.24675325],0
n4,1,0.183729,1.767197,[73 42] ; [30 10],[76.41935484 38.58064516] ; [26.58064516 13.41935484],0
a6,1,0.189205,1.723799,[67 48] ; [28 12],[70.48387097 44.51612903] ; [24.51612903 15.48387097],0
s2,1,0.197957,1.657385,[35 77] ; [17 23],[38.31578947 73.68421053] ; [13.68421053 26.31578947],0
a7,1,0.207608,1.588031,[70 44] ; [29 11],[73.28571429 40.71428571] ; [25.71428571 14.28571429],0
v1,1,0.220496,1.501141,[44 71] ; [11 29],[40.80645161 74.19354839] ; [14.19354839 25.80645161],0
b1,1,0.220906,1.498479,[59 56] ; [25 15],[62.32258065 52.67741935] ; [21.67741935 18.32258065],0
a3,1,0.223366,1.482615,[65 50] ; [27 13],[68.25806452 46.74193548] ; [23.74193548 16.25806452],0
a4,1,0.245057,1.351265,[46 68] ; [12 28],[42.93506494 71.06493506] ; [15.06493506 24.93506494],0
v4,1,0.248261,1.333062,[97 17] ; [36  3],[99.09803922 14.90196078] ; [33.90196078  5.09803922],0
d1,1,0.285998,1.138367,[52 63] ; [22 18],[54.90322581 60.09677419] ; [19.09677419 20.90322581],0
b5,1,0.364463,0.822456,[67 48] ; [20 20],[64.5483871 50.4516129] ; [22.4516129 17.5483871],0
u1,1,0.377607,0.778478,[18 97] ; [ 4 36],[16.32258065 98.67741935] ; [ 5.67741935 34.32258065],0
d3,1,0.398726,0.712167,[66 49] ; [26 14],[68.25806452 46.74193548] ; [23.74193548 16.25806452],0
p6,1,0.428356,0.627276,[24 89] ; [ 6 33],[22.30263158 90.69736842] ; [ 7.69736842 31.30263158],0
d4,1,0.475194,0.509874,[81 32] ; [31  9],[82.71895425 30.28104575] ; [29.28104575 10.71895425],0
n1,1,0.47546,0.509259,[17 28] ; [5 5],[18. 27.] ; [4. 6.],0
r3,1,0.513645,0.426635,[98 16] ; [36  4],[99.19480519 14.80519481] ; [34.80519481  5.19480519],0
n2,1,0.514516,0.424871,[28 17] ; [8 3],[28.92857143 16.07142857] ; [7.07142857 3.92857143],0
v2,1,0.514567,0.424768,[45 67] ; [18 21],[46.72847682 65.27152318] ; [16.27152318 22.72847682],0
p4,1,0.515041,0.423812,[45 70] ; [18 22],[46.74193548 68.25806452] ; [16.25806452 23.74193548],0
a5,1,0.576016,0.312719,[69 46] ; [26 14],[70.48387097 44.51612903] ; [24.51612903 15.48387097],0
b4,1,0.576016,0.312719,[69 46] ; [26 14],[70.48387097 44.51612903] ; [24.51612903 15.48387097],0
d2,1,0.608397,0.262516,[59 54] ; [19 21],[57.60784314 55.39215686] ; [20.39215686 19.60784314],0
a2,1,0.639518,0.219373,[21 94] ; [ 6 34],[20.03225806 94.96774194] ; [ 6.96774194 33.03225806],0
n3,1,0.639648,0.219203,[24 19] ; [7 4],[24.68518519 18.31481481] ; [6.31481481 4.68518519],0
r4,1,0.646299,0.210598,[93 22] ; [31  9],[92. 23.] ; [32.  8.],0
s6,1,0.650882,0.20479,[49 64] ; [19 21],[50.22222222 62.77777778] ; [17.77777778 22.22222222],0
v3,1,0.687893,0.161376,[35 76] ; [14 26],[36.01986755 74.98013245] ; [12.98013245 27.01986755],0
b3,1,0.703555,0.1448,[20 47] ; [ 7 20],[19.24468085 47.75531915] ; [ 7.75531915 19.24468085],0
b2,1,0.703555,0.1448,[20 47] ; [ 7 20],[19.24468085 47.75531915] ; [ 7.75531915 19.24468085],0
u2,1,0.704433,0.143902,[23 25] ; [7 6],[23.60655738 24.39344262] ; [6.39344262 6.60655738],0
s4,1,0.733612,0.115821,[17 96] ; [ 5 34],[16.35526316 96.64473684] ; [ 5.64473684 33.35526316],0
a1,1,0.754022,0.098182,[  7 108] ; [ 3 37],[  7.41935484 107.58064516] ; [ 2.58064516 37.41935484],0
p5,1,0.762937,0.090978,[  4 111] ; [ 1 39],[  3.70967742 111.29032258] ; [ 1.29032258 38.70967742],0
p1,1,0.763984,0.090152,[  7 107] ; [ 3 37],[  7.4025974 106.5974026] ; [ 2.5974026 37.4025974],0
u3,1,0.787456,0.072692,[29 21] ; [7 6],[28.57142857 21.42857143] ; [7.42857143 5.57142857],0
p3,1,0.793239,0.0687,[38 77] ; [12 27],[37.33766234 77.66233766] ; [12.66233766 26.33766234],0
r1,1,0.89957,0.015928,[88 27] ; [31  9],[88.29032258 26.70967742] ; [30.70967742  9.29032258],0
s1,1,0.936131,0.006421,[  9 105] ; [ 3 37],[  8.88311688 105.11688312] ; [ 3.11688312 36.88311688],0
