Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,217.962879,[44 64] ; [531  30],[92.82511211 15.17488789] ; [482.17488789  78.82511211],1
p11,1,0.0,52.646628,[66 46] ; [491  71],[92.5578635 19.4421365] ; [464.4421365  97.5578635],1
n5,1,0.0,35.844265,[75 37] ; [498  62],[95.5 16.5] ; [477.5  82.5],1
n6,1,0.0,25.873135,[84 28] ; [512  47],[99.48137109 12.51862891] ; [496.51862891  62.48137109],1
p7,1,0.0,25.798713,[49 61] ; [385 167],[72.11480363 37.88519637] ; [361.88519637 190.11480363],1
p2,1,1e-06,24.723858,[78 34] ; [493  67],[95.16666667 16.83333333] ; [475.83333333  84.16666667],1
p8,1,4e-06,21.488786,[37 73] ; [320 234],[59.14156627 50.85843373] ; [297.85843373 256.14156627],1
p4,1,4e-06,21.101657,[49 62] ; [376 184],[70.30551416 40.69448584] ; [354.69448584 205.30551416],1
p3,1,2.1e-05,18.081345,[39 73] ; [318 242],[59.5 52.5] ; [297.5 262.5],1
s8,1,0.000233,13.541299,[35 76] ; [283 276],[52.68358209 58.31641791] ; [265.31641791 293.68358209],1
s5,1,0.000779,11.290218,[21 86] ; [196 342],[35.99844961 71.00155039] ; [181.00155039 356.99844961],1
s2,1,0.001021,10.788731,[42 68] ; [308 249],[57.72113943 52.27886057] ; [292.27886057 264.72113943],0
s6,1,0.003228,8.673757,[63 48] ; [389 159],[76.13353566 34.86646434] ; [375.86646434 172.13353566],0
b1,1,0.006023,7.543284,[57 55] ; [208 354],[44.03560831 67.96439169] ; [220.96439169 341.03560831],0
v2,1,0.007201,7.222248,[52 58] ; [330 210],[64.64615385 45.35384615] ; [317.35384615 222.64615385],0
a5,1,0.007562,7.134485,[75 37] ; [442 120],[85.91097923 26.08902077] ; [431.08902077 130.91097923],0
p12,1,0.010264,6.588541,[  3 108] ; [ 58 501],[ 10.10597015 100.89402985] ; [ 50.89402985 508.10597015],0
r4,1,0.013178,6.145,[99 13] ; [532  30],[104.85459941   7.14540059] ; [526.14540059  35.85459941],0
v1,1,0.013992,6.039123,[51 59] ; [322 223],[62.64122137 47.35877863] ; [310.35877863 234.64122137],0
s7,1,0.016007,5.802149,[46 60] ; [301 235],[57.29283489 48.70716511] ; [289.70716511 246.29283489],0
d1,1,0.019707,5.437653,[58 54] ; [357 205],[68.96142433 43.03857567] ; [346.03857567 215.96142433],0
