Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
d5,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
s1,1,0.283977,1.147959,[1 1] ; [1 6],[0.44444444 1.55555556] ; [1.55555556 5.44444444],0
r1,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
b4,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
v4,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
a6,1,0.283977,1.147959,[1 1] ; [6 1],[1.55555556 0.44444444] ; [5.44444444 1.55555556],0
n1,1,0.427355,0.63,[1 1] ; [4 1],[1.42857143 0.57142857] ; [3.57142857 1.42857143],0
d3,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
d4,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
d2,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
d1,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
r4,1,0.57075,0.321429,[1 1] ; [2 5],[0.66666667 1.33333333] ; [2.33333333 4.66666667],0
a3,1,0.57075,0.321429,[1 1] ; [5 2],[1.33333333 0.66666667] ; [4.66666667 2.33333333],0
n3,1,0.80915,0.058333,[1 1] ; [2 3],[0.85714286 1.14285714] ; [2.14285714 2.85714286],0
s5,1,0.857714,0.032143,[1 1] ; [3 4],[0.88888889 1.11111111] ; [3.11111111 3.88888889],0
p2,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
p4,1,0.857714,0.032143,[1 1] ; [4 3],[1.11111111 0.88888889] ; [3.88888889 3.11111111],0
