Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,29.949678,[ 8 74] ; [19 14],[19.25217391 62.74782609] ; [ 7.74782609 25.25217391],1
s3,1,0.0,28.053568,[25 61] ; [28  6],[37.98333333 48.01666667] ; [15.01666667 18.98333333],1
s6,1,2e-06,22.222982,[23 63] ; [25  9],[34.4 51.6] ; [13.6 20.4],1
s8,1,2.4e-05,17.865752,[ 6 80] ; [13 21],[13.61666667 72.38333333] ; [ 5.38333333 28.61666667],1
s5,1,0.00021,13.737724,[ 9 76] ; [13 19],[15.98290598 69.01709402] ; [ 6.01709402 25.98290598],1
s4,1,0.005896,7.581879,[10 78] ; [11 23],[15.14754098 72.85245902] ; [ 5.85245902 28.14754098],0
p3,1,0.007936,7.047884,[22 66] ; [17 17],[28.13114754 59.86885246] ; [10.86885246 23.13114754],0
v2,1,0.036019,4.396198,[22 64] ; [15 18],[26.7394958 59.2605042] ; [10.2605042 22.7394958],0
p6,1,0.068899,3.309065,[15 72] ; [11 23],[18.69421488 68.30578512] ; [ 7.30578512 26.69421488],0
d4,1,0.072629,3.222584,[41 47] ; [22 12],[45.44262295 42.55737705] ; [17.55737705 16.44262295],0
p8,1,0.101535,2.681259,[18 68] ; [12 22],[21.5 64.5] ; [ 8.5 25.5],0
p5,1,0.105055,2.627083,[ 2 85] ; [ 3 31],[ 3.59504132 83.40495868] ; [ 1.40495868 32.59504132],0
r1,1,0.120489,2.410951,[48 39] ; [24 10],[51.76859504 35.23140496] ; [20.23140496 13.76859504],0
r2,1,0.130784,2.283169,[66 21] ; [30  4],[69.02479339 17.97520661] ; [26.97520661  7.02479339],0
u3,1,0.132316,2.265116,[18 33] ; [10  8],[20.69565217 30.30434783] ; [ 7.30434783 10.69565217],0
r3,1,0.135738,2.225622,[63 24] ; [29  5],[66.14876033 20.85123967] ; [25.85123967  8.14876033],0
p4,1,0.13706,2.21066,[24 64] ; [14 20],[27.40983607 60.59016393] ; [10.59016393 23.40983607],0
v1,1,0.13708,2.210434,[26 61] ; [15 19],[29.47933884 57.52066116] ; [11.52066116 22.47933884],0
d3,1,0.16139,1.961151,[27 61] ; [15 19],[30.29508197 57.70491803] ; [11.70491803 22.29508197],0
r4,1,0.175761,1.833103,[56 32] ; [26  8],[59.14754098 28.85245902] ; [22.85245902 11.14754098],0
p1,1,0.20538,1.603696,[ 3 84] ; [ 3 30],[ 4.35 82.65] ; [ 1.65 31.35],0
p7,1,0.226719,1.461325,[38 49] ; [19 15],[40.98347107 46.01652893] ; [16.01652893 17.98347107],0
n2,1,0.242713,1.364764,[24 12] ; [7 1],[25.36363636 10.63636364] ; [5.63636364 2.36363636],0
d2,1,0.268096,1.226464,[21 67] ; [ 5 29],[18.75409836 69.24590164] ; [ 7.24590164 26.75409836],0
v3,1,0.277438,1.179597,[20 65] ; [11 22],[22.33050847 62.66949153] ; [ 8.66949153 24.33050847],0
a7,1,0.29679,1.088561,[42 45] ; [20 14],[44.5785124 42.4214876] ; [17.4214876 16.5785124],0
n4,1,0.29895,1.078873,[55 32] ; [18 16],[52.48760331 34.51239669] ; [20.51239669 13.48760331],0
a8,1,0.359652,0.839108,[11 69] ; [ 7 27],[12.63157895 67.36842105] ; [ 5.36842105 28.63157895],0
a4,1,0.370392,0.802349,[22 65] ; [ 6 28],[20.1322314 66.8677686] ; [ 7.8677686 26.1322314],0
b2,1,0.483076,0.491911,[17 36] ; [ 5 16],[15.75675676 37.24324324] ; [ 6.24324324 14.75675676],0
b3,1,0.483076,0.491911,[17 36] ; [ 5 16],[15.75675676 37.24324324] ; [ 6.24324324 14.75675676],0
n5,1,0.490666,0.475065,[47 40] ; [16 18],[45.29752066 41.70247934] ; [17.70247934 16.29752066],0
v4,1,0.520233,0.413432,[67 20] ; [28  6],[68.30578512 18.69421488] ; [26.69421488  7.30578512],0
s1,1,0.540445,0.374715,[ 5 82] ; [ 3 31],[ 5.75206612 81.24793388] ; [ 2.24793388 31.75206612],0
a5,1,0.579776,0.306596,[34 54] ; [15 19],[35.3442623 52.6557377] ; [13.6557377 20.3442623],0
b5,1,0.648572,0.207706,[53 35] ; [22 12],[54.09836066 33.90163934] ; [20.90163934 13.09836066],0
n3,1,0.656148,0.198237,[24 10] ; [5 3],[23.47619048 10.52380952] ; [5.52380952 2.47619048],0
u2,1,0.703033,0.145336,[18 32] ; [ 7 10],[18.65671642 31.34328358] ; [ 6.34328358 10.65671642],0
n1,1,0.719831,0.128655,[16 20] ; [3 5],[15.54545455 20.45454545] ; [3.45454545 4.54545455],0
a3,1,0.726371,0.12247,[37 48] ; [16 18],[37.85714286 47.14285714] ; [15.14285714 18.85714286],0
p2,1,0.74734,0.10378,[52 36] ; [19 15],[51.21311475 36.78688525] ; [19.78688525 14.21311475],0
d5,1,0.785031,0.074403,[39 49] ; [16 18],[39.67213115 48.32786885] ; [15.32786885 18.67213115],0
n6,1,0.802695,0.062431,[49 38] ; [20 14],[49.61157025 37.38842975] ; [19.38842975 14.61157025],0
p11,1,0.805845,0.060413,[41 47] ; [15 19],[40.39344262 47.60655738] ; [15.60655738 18.39344262],0
b1,1,0.821806,0.050725,[46 42] ; [17 17],[45.44262295 42.55737705] ; [17.55737705 16.44262295],0
b4,1,0.835611,0.043061,[51 37] ; [19 15],[50.49180328 37.50819672] ; [19.50819672 14.49180328],0
p9,1,0.922814,0.009388,[28 59] ; [10 22],[27.78151261 59.21848739] ; [10.21848739 21.78151261],0
a6,1,0.962956,0.002157,[41 47] ; [16 18],[41.1147541 46.8852459] ; [15.8852459 18.1147541],0
