Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,136.155028,[20 26] ; [283   6],[41.60597015  4.39402985] ; [261.39402985  27.60597015],1
p11,1,0.0,30.165795,[23 23] ; [246  44],[36.82738095  9.17261905] ; [232.17261905  57.82738095],1
n5,1,1e-06,23.253849,[26 19] ; [251  38],[37.32035928  7.67964072] ; [239.67964072  49.32035928],1
r4,1,2e-06,22.598916,[35 11] ; [277  13],[42.71428571  3.28571429] ; [269.28571429  20.71428571],1
p7,1,3.6e-05,17.094991,[19 26] ; [203  75],[30.92879257 14.07120743] ; [191.07120743  86.92879257],1
p2,1,5e-05,16.451182,[30 16] ; [254  34],[39.11377246  6.88622754] ; [244.88622754  43.11377246],1
n6,1,5.8e-05,16.154124,[31 14] ; [260  28],[39.32432432  5.67567568] ; [251.67567568  36.32432432],1
r2,1,0.000566,11.884126,[40  6] ; [280   7],[44.2042042  1.7957958] ; [275.7957958  11.2042042],1
p8,1,0.000696,11.500448,[16 30] ; [175 110],[26.54380665 19.45619335] ; [164.45619335 120.54380665],1
p6,1,0.004184,8.202383,[12 34] ; [138 145],[20.97264438 25.02735562] ; [129.02735562 153.97264438],0
p4,1,0.004925,7.906871,[23 23] ; [204  84],[31.26347305 14.73652695] ; [195.73652695  92.26347305],0
v4,1,0.014542,5.971169,[42  4] ; [282   6],[44.62275449  1.37724551] ; [279.37724551   8.62275449],0
s8,1,0.017406,5.654945,[20 26] ; [178 109],[27.35135135 18.64864865] ; [170.64864865 116.35135135],0
p3,1,0.021558,5.281148,[19 27] ; [171 117],[26.16766467 19.83233533] ; [163.83233533 124.16766467],0
a3,1,0.043387,4.080276,[29 16] ; [226  63],[34.35628743 10.64371257] ; [220.64371257  68.35628743],0
u4,1,0.043818,4.063568,[ 4 42] ; [  8 282],[ 1.64285714 44.35714286] ; [ 10.35714286 279.64285714],0
s5,1,0.04877,3.883265,[15 30] ; [139 144],[21.12804878 23.87195122] ; [132.87195122 150.12804878],0
b1,1,0.059434,3.553103,[23 23] ; [103 187],[17.25 28.75] ; [108.75 181.25],0
r3,1,0.067688,3.338222,[42  4] ; [281   9],[44.2202381  1.7797619] ; [278.7797619  11.2202381],0
b3,1,0.102715,2.662875,[ 9 24] ; [ 78 106],[13.23041475 19.76958525] ; [ 73.76958525 110.23041475],0
b2,1,0.102715,2.662875,[ 9 24] ; [ 78 106],[13.23041475 19.76958525] ; [ 73.76958525 110.23041475],0
r1,1,0.103059,2.657556,[35 11] ; [248  42],[38.74404762  7.25595238] ; [244.25595238  45.74404762],0
p12,1,0.107222,2.594697,[ 2 44] ; [ 36 253],[ 5.21791045 40.78208955] ; [ 32.78208955 256.21791045],0
n4,1,0.129832,2.294511,[33 12] ; [240  50],[36.67164179  8.32835821] ; [236.32835821  53.67164179],0
p5,1,0.138235,2.197496,[ 4 42] ; [ 50 238],[ 7.43712575 38.56287425] ; [ 46.56287425 241.43712575],0
a5,1,0.138413,2.195519,[32 14] ; [230  60],[35.86904762 10.13095238] ; [226.13095238  63.86904762],0
d1,1,0.142619,2.149474,[25 21] ; [190 100],[29.43452381 16.56547619] ; [185.56547619 104.43452381],0
s7,1,0.155879,2.013759,[25 21] ; [180  96],[29.28571429 16.71428571] ; [175.71428571 100.28571429],0
