Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.000269,13.274079,[14  2] ; [ 3 11],[9.06666667 6.93333333] ; [7.93333333 6.06666667],1
s5,1,0.000569,11.873276,[9 4] ; [ 1 14],[4.64285714 8.35714286] ; [5.35714286 9.64285714],1
d4,1,0.015079,5.907222,[14  2] ; [7 8],[10.83870968  5.16129032] ; [10.16129032  4.83870968],0
p6,1,0.01837,5.560485,[7 9] ; [ 1 14],[ 4.12903226 11.87096774] ; [ 3.87096774 11.12903226],0
a3,1,0.019826,5.427171,[12  4] ; [ 5 10],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
p8,1,0.040181,4.210218,[ 6 10] ; [ 1 14],[ 3.61290323 12.38709677] ; [ 3.38709677 11.61290323],0
a5,1,0.045126,4.013936,[10  6] ; [ 4 11],[7.22580645 8.77419355] ; [6.77419355 8.22580645],0
p9,1,0.046366,3.968254,[7 8] ; [ 2 13],[ 4.5 10.5] ; [ 4.5 10.5],0
s8,1,0.06225,3.47641,[7 9] ; [ 2 13],[ 4.64516129 11.35483871] ; [ 4.35483871 10.64516129],0
s6,1,0.080346,3.05788,[14  2] ; [9 6],[11.87096774  4.12903226] ; [11.12903226  3.87096774],0
b1,1,0.10439,2.637153,[10  6] ; [ 5 10],[7.74193548 8.25806452] ; [7.25806452 7.74193548],0
d3,1,0.107957,2.583876,[11  5] ; [6 9],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
v2,1,0.157466,1.998393,[7 9] ; [ 3 12],[ 5.16129032 10.83870968] ; [ 4.83870968 10.16129032],0
a4,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
p7,1,0.182566,1.776608,[8 8] ; [ 4 11],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
d1,1,0.283391,1.150758,[ 6 10] ; [ 3 12],[ 4.64516129 11.35483871] ; [ 4.35483871 10.64516129],0
u1,1,0.315905,1.005826,[ 3 13] ; [ 1 14],[ 2.06451613 13.93548387] ; [ 1.93548387 13.06451613],0
r3,1,0.353755,0.859941,[13  3] ; [10  5],[11.87096774  4.12903226] ; [11.12903226  3.87096774],0
v3,1,0.36131,0.833333,[ 4 11] ; [ 2 13],[ 3. 12.] ; [ 3. 12.],0
p4,1,0.365592,0.818594,[9 7] ; [6 9],[7.74193548 8.25806452] ; [7.25806452 7.74193548],0
a6,1,0.365592,0.818594,[9 7] ; [6 9],[7.74193548 8.25806452] ; [7.25806452 7.74193548],0
d5,1,0.371949,0.797143,[12  4] ; [9 6],[10.83870968  5.16129032] ; [10.16129032  4.83870968],0
p2,1,0.371949,0.797143,[12  4] ; [9 6],[10.83870968  5.16129032] ; [10.16129032  4.83870968],0
n4,1,0.376017,0.783683,[10  6] ; [7 8],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
r1,1,0.376017,0.783683,[10  6] ; [7 8],[8.77419355 7.22580645] ; [8.22580645 6.77419355],0
n2,1,0.393153,0.729167,[5 1] ; [5 3],[4.28571429 1.71428571] ; [5.71428571 2.28571429],0
u2,1,0.480478,0.497778,[2 2] ; [3 7],[1.42857143 2.57142857] ; [3.57142857 6.42857143],0
b4,1,0.551815,0.354075,[9 7] ; [10  5],[9.80645161 6.19354839] ; [9.19354839 5.80645161],0
r2,1,0.564144,0.332579,[13  2] ; [11  3],[12.4137931  2.5862069] ; [11.5862069  2.4137931],0
v4,1,0.570454,0.321923,[14  2] ; [12  3],[13.41935484  2.58064516] ; [12.58064516  2.41935484],0
p1,1,0.583013,0.301389,[ 2 14] ; [ 1 14],[ 1.5483871 14.4516129] ; [ 1.4516129 13.5483871],0
u3,1,0.596701,0.28,[3 1] ; [6 4],[2.57142857 1.42857143] ; [6.42857143 3.57142857],0
b5,1,0.609473,0.260943,[12  4] ; [10  5],[11.35483871  4.64516129] ; [10.64516129  4.35483871],0
n6,1,0.610863,0.25892,[11  5] ; [9 6],[10.32258065  5.67741935] ; [9.67741935 5.32258065],0
n3,1,0.732678,0.116667,[4 2] ; [6 2],[4.28571429 1.71428571] ; [5.71428571 2.28571429],0
n5,1,0.808543,0.058712,[10  6] ; [10  5],[10.32258065  5.67741935] ; [9.67741935 5.32258065],0
a7,1,0.808543,0.058712,[10  6] ; [10  5],[10.32258065  5.67741935] ; [9.67741935 5.32258065],0
p3,1,0.832535,0.044712,[7 9] ; [6 9],[6.70967742 9.29032258] ; [6.29032258 8.70967742],0
p11,1,0.832535,0.044712,[7 9] ; [6 9],[6.70967742 9.29032258] ; [6.29032258 8.70967742],0
b2,1,0.857596,0.032197,[3 6] ; [3 5],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
b3,1,0.857596,0.032197,[3 6] ; [3 5],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
n1,1,0.872081,0.025926,[2 4] ; [3 5],[2.14285714 3.85714286] ; [2.85714286 5.14285714],0
d2,1,0.88644,0.020395,[ 6 10] ; [6 9],[6.19354839 9.80645161] ; [5.80645161 9.19354839],0
r4,1,0.901312,0.015377,[11  5] ; [10  5],[10.83870968  5.16129032] ; [10.16129032  4.83870968],0
v1,1,0.915598,0.011232,[ 4 12] ; [ 4 11],[ 4.12903226 11.87096774] ; [ 3.87096774 11.12903226],0
