Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.006918,7.294039,[ 5 16] ; [17 10],[ 9.625 11.375] ; [12.375 14.625],0
b3,1,0.027176,4.879568,[ 4 14] ; [11  8],[ 7.2972973 10.7027027] ; [ 7.7027027 11.2972973],0
b2,1,0.027176,4.879568,[ 4 14] ; [11  8],[ 7.2972973 10.7027027] ; [ 7.7027027 11.2972973],0
p4,1,0.028239,4.813413,[ 9 12] ; [20  7],[12.6875  8.3125] ; [16.3125 10.6875],0
v1,1,0.031466,4.627364,[13  7] ; [ 9 18],[ 9.36170213 10.63829787] ; [12.63829787 14.36170213],0
b4,1,0.036505,4.373362,[17  4] ; [14 13],[13.5625  7.4375] ; [17.4375  9.5625],0
a4,1,0.109825,2.556737,[11 10] ; [ 8 19],[ 8.3125 12.6875] ; [10.6875 16.3125],0
v2,1,0.125311,2.34965,[14  7] ; [12 15],[11.375  9.625] ; [14.625 12.375],0
p2,1,0.130008,2.292412,[13  8] ; [22  5],[15.3125  5.6875] ; [19.6875  7.3125],0
n6,1,0.131766,2.271571,[19  2] ; [19  7],[16.9787234  4.0212766] ; [21.0212766  4.9787234],0
p11,1,0.138103,2.19897,[16  5] ; [15 12],[13.5625  7.4375] ; [17.4375  9.5625],0
r4,1,0.258031,1.279291,[20  1] ; [23  4],[18.8125  2.1875] ; [24.1875  2.8125],0
p9,1,0.287756,1.130092,[10 11] ; [17 10],[11.8125  9.1875] ; [15.1875 11.8125],0
s3,1,0.306119,1.047346,[12  8] ; [20  7],[13.61702128  6.38297872] ; [18.38297872  8.61702128],0
r1,1,0.324574,0.970426,[18  3] ; [20  7],[16.625  4.375] ; [21.375  5.625],0
p8,1,0.342666,0.900433,[ 8 13] ; [14 13],[ 9.625 11.375] ; [12.375 14.625],0
s7,1,0.381424,0.766107,[15  5] ; [17 10],[13.61702128  6.38297872] ; [18.38297872  8.61702128],0
a6,1,0.381832,0.764796,[15  6] ; [16 11],[13.5625  7.4375] ; [17.4375  9.5625],0
a3,1,0.381832,0.764796,[15  6] ; [16 11],[13.5625  7.4375] ; [17.4375  9.5625],0
u2,1,0.394344,0.725505,[5 1] ; [7 4],[4.23529412 1.76470588] ; [7.76470588 3.23529412],0
n2,1,0.398025,0.714286,[5 2] ; [4 4],[4.2 2.8] ; [4.8 3.2],0
s5,1,0.401088,0.705061,[ 7 12] ; [ 6 18],[ 5.74418605 13.25581395] ; [ 7.25581395 16.74418605],0
r3,1,0.408593,0.682892,[19  2] ; [26  1],[19.6875  1.3125] ; [25.3125  1.6875],0
n5,1,0.420619,0.648586,[16  5] ; [17  9],[14.74468085  6.25531915] ; [18.25531915  7.74468085],0
d4,1,0.428339,0.627323,[16  5] ; [23  4],[17.0625  3.9375] ; [21.9375  5.0625],0
a2,1,0.428339,0.627323,[ 5 16] ; [ 4 23],[ 3.9375 17.0625] ; [ 5.0625 21.9375],0
d5,1,0.428339,0.627323,[16  5] ; [23  4],[17.0625  3.9375] ; [21.9375  5.0625],0
p5,1,0.439001,0.598893,[ 3 18] ; [ 2 25],[ 2.1875 18.8125] ; [ 2.8125 24.1875],0
s4,1,0.484642,0.4884,[ 3 18] ; [ 6 21],[ 3.9375 17.0625] ; [ 5.0625 21.9375],0
p6,1,0.514189,0.425533,[ 7 13] ; [12 15],[ 8.08510638 11.91489362] ; [10.91489362 16.08510638],0
n1,1,0.532884,0.388889,[2 4] ; [4 4],[2.57142857 3.42857143] ; [3.42857143 4.57142857],0
n3,1,0.532884,0.388889,[4 2] ; [4 4],[3.42857143 2.57142857] ; [4.57142857 3.42857143],0
b5,1,0.537094,0.380952,[13  8] ; [19  8],[14.  7.] ; [18.  9.],0
p7,1,0.578531,0.308615,[ 8 12] ; [13 14],[ 8.93617021 11.06382979] ; [12.06382979 14.93617021],0
s6,1,0.614295,0.253968,[15  6] ; [21  6],[15.75  5.25] ; [20.25  6.75],0
u3,1,0.64315,0.214646,[5 1] ; [10  1],[5.29411765 0.70588235] ; [9.70588235 1.29411765],0
u1,1,0.654317,0.200501,[ 5 16] ; [ 5 22],[ 4.375 16.625] ; [ 5.625 21.375],0
d1,1,0.682509,0.167315,[12  9] ; [17 10],[12.6875  8.3125] ; [16.3125 10.6875],0
a5,1,0.724018,0.124675,[15  6] ; [18  9],[14.4375  6.5625] ; [18.5625  8.4375],0
d3,1,0.732196,0.117105,[13  8] ; [18  9],[13.5625  7.4375] ; [17.4375  9.5625],0
b1,1,0.771084,0.084656,[10 11] ; [14 13],[10.5 10.5] ; [13.5 13.5],0
a7,1,0.790116,0.070841,[14  7] ; [17 10],[13.5625  7.4375] ; [17.4375  9.5625],0
s1,1,0.827674,0.047387,[ 1 19] ; [ 1 26],[ 0.85106383 19.14893617] ; [ 1.14893617 25.85106383],0
d2,1,0.852501,0.034569,[13  8] ; [16 11],[12.6875  8.3125] ; [16.3125 10.6875],0
v4,1,0.855578,0.033126,[20  1] ; [26  1],[20.125  0.875] ; [25.875  1.125],0
u4,1,0.855578,0.033126,[ 1 20] ; [ 1 26],[ 0.875 20.125] ; [ 1.125 25.875],0
s2,1,0.885737,0.02065,[13  7] ; [17 10],[12.76595745  7.23404255] ; [17.23404255  9.76595745],0
a8,1,0.986606,0.000282,[ 5 14] ; [ 6 17],[ 4.97619048 14.02380952] ; [ 6.02380952 16.97619048],0
