Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,77.854517,[362  18] ; [11 13],[350.84158416  29.15841584] ; [22.15841584  1.84158416],1
v4,1,0.0,54.696282,[371   6] ; [17  7],[364.77805486  12.22194514] ; [23.22194514  0.77805486],1
r1,1,0.0,29.836046,[323  56] ; [10 14],[313.16873449  65.83126551] ; [19.83126551  4.16873449],1
n6,1,3.8e-05,16.95856,[339  37] ; [15  9],[332.76  43.24] ; [21.24  2.76],1
d1,1,0.000228,13.582221,[239 141] ; [ 6 18],[230.44554455 149.55445545] ; [14.55445545  9.44554455],1
n4,1,0.001179,10.52358,[309  70] ; [13 11],[302.82382134  76.17617866] ; [19.17617866  4.82382134],0
b1,1,0.002459,9.17081,[136 244] ; [16  8],[142.97029703 237.02970297] ; [ 9.02970297 14.97029703],0
a3,1,0.00705,7.260103,[272 107] ; [11 13],[266.14640199 112.85359801] ; [16.85359801  7.14640199],0
d5,1,0.01643,5.756211,[311  67] ; [15  9],[306.53731343  71.46268657] ; [19.46268657  4.53731343],0
d4,1,0.02386,5.104762,[319  59] ; [16  8],[315.  63.] ; [20.  4.],0
d3,1,0.027701,4.846569,[270 109] ; [12 12],[265.20595533 113.79404467] ; [16.79404467  7.20595533],0
s3,1,0.029885,4.715909,[216 157] ; [ 8 15],[210.98989899 162.01010101] ; [13.01010101  9.98989899],0
s2,1,0.035099,4.440362,[200 177] ; [ 7 16],[195.0975 181.9025] ; [11.9025 11.0975],0
a7,1,0.05292,3.746428,[288  91] ; [14 10],[284.01488834  94.98511166] ; [17.98511166  6.01488834],0
v1,1,0.066404,3.369749,[225 146] ; [10 14],[220.72151899 150.27848101] ; [14.27848101  9.72151899],0
n5,1,0.068702,3.313761,[309  69] ; [16  8],[305.59701493  72.40298507] ; [19.40298507  4.59701493],0
p2,1,0.076816,3.131012,[352  26] ; [20  4],[349.79104478  28.20895522] ; [22.20895522  1.79104478],0
p9,1,0.086251,2.942984,[350  28] ; [19  4],[347.83541147  30.16458853] ; [21.16458853  1.83541147],0
s6,1,0.090602,2.863646,[259 108] ; [13 11],[255.30434783 111.69565217] ; [16.69565217  7.30434783],0
s4,1,0.095775,2.774521,[ 60 314] ; [ 7 17],[ 62.95979899 311.04020101] ; [ 4.04020101 19.95979899],0
a2,1,0.104753,2.631649,[ 85 295] ; [ 2 22],[ 81.83168317 298.16831683] ; [ 5.16831683 18.83168317],0
u1,1,0.10628,2.608678,[ 63 317] ; [ 1 23],[ 60.1980198 319.8019802] ; [ 3.8019802 20.1980198],0
p12,1,0.110925,2.540992,[ 39 338] ; [ 5 19],[ 41.36658354 335.63341646] ; [ 2.63341646 21.36658354],0
s1,1,0.113245,2.508344,[ 10 367] ; [ 2 22],[ 11.28179551 365.71820449] ; [ 0.71820449 23.28179551],0
b4,1,0.113313,2.507403,[221 159] ; [10 14],[217.27722772 162.72277228] ; [13.72277228 10.27722772],0
s7,1,0.119309,2.426374,[194 169] ; [ 8 14],[190.45714286 172.54285714] ; [11.54285714 10.45714286],0
s5,1,0.13786,2.20168,[147 218] ; [ 6 18],[143.56041131 221.43958869] ; [ 9.43958869 14.56041131],0
u2,1,0.140483,2.172664,[60 48] ; [10  3],[62.47933884 45.52066116] ; [7.52066116 5.47933884],0
p10,1,0.145982,2.113746,[346  32] ; [19  4],[344.06483791  33.93516209] ; [20.93516209  2.06483791],0
v3,1,0.150465,2.067527,[163 206] ; [ 7 17],[159.61832061 209.38167939] ; [10.38167939 13.61832061],0
u3,1,0.152406,2.048007,[64 44] ; [5 8],[61.58677686 46.41322314] ; [7.41322314 5.58677686],0
p3,1,0.15881,1.985526,[243 135] ; [12 12],[239.7761194 138.2238806] ; [15.2238806  8.7761194],0
d2,1,0.177504,1.818402,[180 199] ; [ 8 16],[176.80397022 202.19602978] ; [11.19602978 12.80397022],0
s8,1,0.188906,1.72613,[193 183] ; [ 9 15],[189.88 186.12] ; [12.12 11.88],0
p1,1,0.224524,1.475216,[ 47 330] ; [ 1 23],[ 45.12718204 331.87281796] ; [ 2.87281796 21.12718204],0
a5,1,0.228834,1.448094,[294  86] ; [16  8],[291.58415842  88.41584158] ; [18.41584158  5.58415842],0
r3,1,0.258974,1.274232,[365  14] ; [22  2],[363.9528536  15.0471464] ; [23.0471464  0.9528536],0
p5,1,0.366421,0.815767,[ 67 312] ; [ 6 18],[ 68.65260546 310.34739454] ; [ 4.34739454 19.65260546],0
p4,1,0.372156,0.796454,[283  95] ; [16  8],[281.14925373  96.85074627] ; [17.85074627  6.14925373],0
a4,1,0.378512,0.77553,[161 218] ; [ 8 16],[158.93548387 220.06451613] ; [10.06451613 13.93548387],0
v2,1,0.432845,0.615177,[223 146] ; [12 11],[221.21173469 147.78826531] ; [13.78826531  9.21173469],0
b3,1,0.436429,0.605654,[ 92 144] ; [ 4 10],[ 90.624 145.376] ; [5.376 8.624],0
b2,1,0.436429,0.605654,[ 92 144] ; [ 4 10],[ 90.624 145.376] ; [5.376 8.624],0
p7,1,0.44713,0.577917,[316  56] ; [19  5],[314.6969697  57.3030303] ; [20.3030303  3.6969697],0
p6,1,0.458547,0.54944,[186 190] ; [10 14],[184.24 191.76] ; [11.76 12.24],0
a1,1,0.520323,0.413254,[ 20 360] ; [ 2 22],[ 20.69306931 359.30693069] ; [ 1.30693069 22.69306931],0
a6,1,0.520841,0.412227,[260 118] ; [15  9],[258.58208955 119.41791045] ; [16.41791045  7.58208955],0
n3,1,0.663256,0.189592,[35 17] ; [6 2],[35.53333333 16.46666667] ; [5.46666667 2.53333333],0
a8,1,0.815228,0.054609,[ 54 293] ; [ 4 19],[ 54.39459459 292.60540541] ; [ 3.60540541 19.39459459],0
n1,1,0.927776,0.008216,[19 34] ; [3 5],[19.1147541 33.8852459] ; [2.8852459 5.1147541],0
b5,1,0.936573,0.006333,[209 171] ; [13 11],[208.81188119 171.18811881] ; [13.18811881 10.81188119],0
n2,1,0.976961,0.000834,[40 13] ; [6 2],[39.96721311 13.03278689] ; [6.03278689 1.96721311],0
