Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,38.160995,[180  34] ; [56 52],[156.8447205  57.1552795] ; [79.1552795 28.8447205],1
r3,1,0.0,30.209648,[211   1] ; [95 17],[200.22222222  11.77777778] ; [105.77777778   6.22222222],1
p9,1,5e-06,20.779864,[180  32] ; [68 41],[163.78816199  48.21183801] ; [84.21183801 24.78816199],1
p2,1,8e-06,19.853165,[172  42] ; [64 48],[154.9202454  59.0797546] ; [81.0797546 30.9202454],1
r4,1,1e-05,19.543878,[197  17] ; [83 29],[183.80368098  30.19631902] ; [96.19631902 15.80368098],1
b1,1,3.8e-05,16.955328,[ 63 151] ; [59 53],[ 80.08588957 133.91411043] ; [41.91411043 70.08588957],1
n6,1,8.1e-05,15.523891,[181  32] ; [74 38],[167.12307692  45.87692308] ; [87.87692308 24.12307692],1
v4,1,0.00059,11.807224,[204   8] ; [96 16],[196.2962963  15.7037037] ; [103.7037037   8.2962963],1
n4,1,0.000763,11.328727,[167  47] ; [67 44],[154.08  59.92] ; [79.92 31.08],1
b4,1,0.036937,4.353334,[140  74] ; [60 52],[131.28834356  82.71165644] ; [68.71165644 43.28834356],0
a6,1,0.047597,3.924146,[173  41] ; [79 32],[165.93230769  48.06769231] ; [86.06769231 24.93230769],0
n5,1,0.052673,3.754272,[147  65] ; [65 46],[139.14551084  72.85448916] ; [72.85448916 38.14551084],0
p1,1,0.052678,3.754094,[  8 205] ; [ 10 102],[ 11.79692308 201.20307692] ; [  6.20307692 105.79692308],0
s1,1,0.073406,3.205159,[  5 206] ; [  7 103],[  7.88785047 203.11214953] ; [  4.11214953 105.88785047],0
u2,1,0.078084,3.104344,[43 21] ; [15 16],[39.07368421 24.92631579] ; [18.92631579 12.07368421],0
v1,1,0.081748,3.029809,[ 98 106] ; [42 69],[ 90.66666667 113.33333333] ; [49.33333333 61.66666667],0
v2,1,0.083483,2.995751,[118  84] ; [52 56],[110.77419355  91.22580645] ; [59.22580645 48.77419355],0
s4,1,0.084737,2.971626,[ 31 180] ; [25 87],[ 36.58204334 174.41795666] ; [19.41795666 92.58204334],0
p4,1,0.090356,2.868026,[104 110] ; [43 68],[ 96.79384615 117.20615385] ; [50.20615385 60.79384615],0
r1,1,0.14704,2.102692,[168  44] ; [80 31],[162.77399381  49.22600619] ; [85.22600619 25.77399381],0
s5,1,0.147889,2.093893,[ 50 160] ; [33 72],[ 55.33333333 154.66666667] ; [27.66666667 77.33333333],0
d3,1,0.150134,2.070892,[169  45] ; [79 31],[163.80246914  50.19753086] ; [84.19753086 25.80246914],0
v3,1,0.153276,2.039341,[ 74 129] ; [31 78],[ 68.31730769 134.68269231] ; [36.68269231 72.31730769],0
p7,1,0.168829,1.893307,[ 90 119] ; [39 72],[ 84.253125 124.746875] ; [44.746875 66.253125],0
d1,1,0.183333,1.770393,[131  83] ; [60 52],[125.3803681  88.6196319] ; [65.6196319 46.3803681],0
p3,1,0.196753,1.666317,[ 81 133] ; [34 77],[ 75.72307692 138.27692308] ; [39.27692308 71.72307692],0
a1,1,0.207691,1.587448,[  7 207] ; [  7 105],[  9.19018405 204.80981595] ; [  4.80981595 107.19018405],0
d4,1,0.217084,1.523544,[183  31] ; [89 22],[179.10153846  34.89846154] ; [92.89846154 18.10153846],0
d5,1,0.237748,1.393896,[174  40] ; [96 15],[177.78461538  36.21538462] ; [92.21538462 18.78461538],0
u1,1,0.256895,1.28541,[ 54 160] ; [22 90],[ 49.88957055 164.11042945] ; [26.11042945 85.88957055],0
u4,1,0.258328,1.277697,[  6 208] ; [  1 111],[  4.59509202 209.40490798] ; [  2.40490798 109.59509202],0
s3,1,0.268248,1.225682,[118  91] ; [56 56],[113.28971963  95.71028037] ; [60.71028037 51.28971963],0
r2,1,0.340024,0.910339,[197  13] ; [100  10],[194.90625  15.09375] ; [102.09375   7.90625],0
p5,1,0.369791,0.804368,[ 10 201] ; [  3 109],[  8.49226006 202.50773994] ; [  4.50773994 107.49226006],0
a2,1,0.396822,0.717934,[ 61 153] ; [37 75],[ 64.33128834 149.66871166] ; [33.66871166 78.33128834],0
b2,1,0.403138,0.698946,[50 84] ; [17 38],[47.5026455 86.4973545] ; [19.4973545 35.5026455],0
b3,1,0.403138,0.698946,[50 84] ; [17 38],[47.5026455 86.4973545] ; [19.4973545 35.5026455],0
u3,1,0.405142,0.693011,[43 22] ; [19 14],[41.12244898 23.87755102] ; [20.87755102 12.12244898],0
s8,1,0.43519,0.608932,[ 82 132] ; [38 74],[ 78.77300613 135.22699387] ; [41.22699387 70.77300613],0
n2,1,0.447293,0.577503,[36 17] ; [26 17],[34.22916667 18.77083333] ; [27.77083333 15.22916667],0
d2,1,0.451691,0.566406,[100 113] ; [57 54],[103.21296296 109.78703704] ; [53.78703704 57.21296296],0
n3,1,0.451858,0.565986,[41 13] ; [29 13],[39.375 14.625] ; [30.625 11.375],0
p6,1,0.536804,0.381495,[ 47 165] ; [28 83],[ 49.22600619 162.77399381] ; [25.77399381 85.22600619],0
a4,1,0.563876,0.333038,[ 96 118] ; [54 58],[ 98.46625767 115.53374233] ; [51.53374233 60.46625767],0
a5,1,0.802196,0.062753,[150  64] ; [77 35],[149.01226994  64.98773006] ; [77.98773006 34.01226994],0
a8,1,0.804463,0.061294,[ 27 169] ; [13 89],[ 26.30872483 169.69127517] ; [13.69127517 88.30872483],0
n1,1,0.858629,0.031726,[18 35] ; [15 27],[18.41052632 34.58947368] ; [14.58947368 27.41052632],0
s2,1,0.895715,0.017181,[102 109] ; [55 57],[102.56037152 108.43962848] ; [54.43962848 57.56037152],0
s7,1,0.897751,0.016513,[ 86 121] ; [44 60],[ 86.52733119 120.47266881] ; [43.47266881 60.52733119],0
