Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n3,1,0.0226,5.199002,[4 6] ; [17  4],[6.77419355 3.22580645] ; [14.22580645  6.77419355],0
v2,1,0.023433,5.136094,[ 5 14] ; [30 23],[9.23611111 9.76388889] ; [25.76388889 27.23611111],0
s2,1,0.05311,3.740454,[ 4 15] ; [25 29],[ 7.54794521 11.45205479] ; [21.45205479 32.54794521],0
p5,1,0.06292,3.458685,[ 5 14] ; [ 5 49],[ 2.60273973 16.39726027] ; [ 7.39726027 46.60273973],0
s8,1,0.072247,3.231215,[ 3 16] ; [21 34],[ 6.16216216 12.83783784] ; [17.83783784 37.16216216],0
p1,1,0.072848,3.217659,[ 3 16] ; [ 2 52],[ 1.30136986 17.69863014] ; [ 3.69863014 50.30136986],0
s3,1,0.076334,3.141272,[ 5 13] ; [27 25],[8.22857143 9.77142857] ; [23.77142857 28.22857143],0
s6,1,0.160541,1.969127,[ 7 12] ; [30 24],[9.63013699 9.36986301] ; [27.36986301 26.63013699],0
n4,1,0.16385,1.938334,[ 9 10] ; [36 19],[11.55405405  7.44594595] ; [33.44594595 21.55405405],0
d4,1,0.171009,1.874079,[11  8] ; [41 14],[13.35135135  5.64864865] ; [38.64864865 16.35135135],0
a7,1,0.183341,1.770335,[ 7 12] ; [30 25],[9.5 9.5] ; [27.5 27.5],0
n2,1,0.186449,1.745455,[6 4] ; [18  4],[7.5 2.5] ; [16.5  5.5],0
d2,1,0.213079,1.550384,[10  9] ; [20 35],[ 7.7027027 11.2972973] ; [22.2972973 32.7027027],0
r1,1,0.236582,1.400846,[ 6 13] ; [10 44],[ 4.16438356 14.83561644] ; [11.83561644 42.16438356],0
p9,1,0.252862,1.307419,[13  6] ; [43 10],[14.77777778  4.22222222] ; [41.22222222 11.77777778],0
b1,1,0.271082,1.211265,[10  9] ; [21 34],[ 7.95945946 11.04054054] ; [23.04054054 31.95945946],0
p10,1,0.286087,1.137946,[12  7] ; [38 12],[13.76811594  5.23188406] ; [36.23188406 13.76811594],0
n6,1,0.294697,1.098039,[11  7] ; [40 14],[12.75  5.25] ; [38.25 15.75],0
b5,1,0.355679,0.853093,[12  7] ; [28 27],[10.27027027  8.72972973] ; [29.72972973 25.27027027],0
d1,1,0.356074,0.851692,[ 6 13] ; [24 31],[ 7.7027027 11.2972973] ; [22.2972973 32.7027027],0
a4,1,0.373702,0.791318,[ 8 11] ; [17 38],[ 6.41891892 12.58108108] ; [18.58108108 36.41891892],0
a2,1,0.417561,0.65717,[ 3 16] ; [ 5 50],[ 2.05405405 16.94594595] ; [ 5.94594595 49.05405405],0
d3,1,0.424683,0.637321,[11  8] ; [26 29],[9.5 9.5] ; [27.5 27.5],0
v3,1,0.452789,0.563662,[ 3 16] ; [13 41],[ 4.16438356 14.83561644] ; [11.83561644 42.16438356],0
n1,1,0.466608,0.529996,[5 5] ; [ 8 14],[4.0625 5.9375] ; [ 8.9375 13.0625],0
a3,1,0.481968,0.494406,[10  9] ; [34 21],[11.2972973  7.7027027] ; [32.7027027 22.2972973],0
p7,1,0.483242,0.491538,[10  7] ; [26 27],[8.74285714 8.25714286] ; [27.25714286 25.74285714],0
a5,1,0.513575,0.426777,[12  7] ; [30 25],[10.78378378  8.21621622] ; [31.21621622 23.78378378],0
d5,1,0.529119,0.396084,[12  7] ; [39 16],[13.09459459  5.90540541] ; [37.90540541 17.09459459],0
s7,1,0.54182,0.372177,[ 7 11] ; [25 28],[8.11267606 9.88732394] ; [23.88732394 29.11267606],0
r2,1,0.546701,0.363261,[12  7] ; [27 22],[10.89705882  8.10294118] ; [28.10294118 20.89705882],0
s4,1,0.564252,0.332396,[ 5 14] ; [11 44],[ 4.10810811 14.89189189] ; [11.89189189 43.10810811],0
u1,1,0.598213,0.2777,[ 1 18] ; [ 5 50],[ 1.54054054 17.45945946] ; [ 4.45945946 50.54054054],0
b3,1,0.627364,0.235652,[ 3 12] ; [ 9 25],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
b2,1,0.627364,0.235652,[ 3 12] ; [ 9 25],[ 3.67346939 11.32653061] ; [ 8.32653061 25.67346939],0
a6,1,0.687018,0.162332,[ 9 10] ; [29 26],[9.75675676 9.24324324] ; [28.24324324 26.75675676],0
n5,1,0.705318,0.142999,[12  7] ; [36 17],[12.66666667  6.33333333] ; [35.33333333 17.66666667],0
v1,1,0.74202,0.108359,[ 7 12] ; [21 30],[ 7.6 11.4] ; [20.4 30.6],0
s1,1,0.756585,0.09608,[ 1 18] ; [ 2 53],[ 0.77027027 18.22972973] ; [ 2.22972973 52.77027027],0
p12,1,0.780416,0.077717,[ 1 18] ; [ 2 51],[ 0.79166667 18.20833333] ; [ 2.20833333 50.79166667],0
p3,1,0.781623,0.076842,[ 7 12] ; [18 36],[ 6.50684932 12.49315068] ; [18.49315068 35.50684932],0
u3,1,0.822118,0.050545,[4 5] ; [ 8 12],[3.72413793 5.27586207] ; [ 8.27586207 11.72413793],0
