Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,2.5e-05,17.771878,[108  24] ; [23 23],[97.14606742 34.85393258] ; [33.85393258 12.14606742],1
r3,1,0.000295,13.102649,[128   2] ; [39  7],[123.35227273   6.64772727] ; [43.64772727  2.35227273],1
p10,1,0.000422,12.432641,[110  21] ; [27 19],[101.39548023  29.60451977] ; [35.60451977 10.39548023],1
p9,1,0.000768,11.316848,[110  20] ; [28 18],[101.93181818  28.06818182] ; [36.06818182  9.93181818],1
n5,1,0.003175,8.704348,[91 39] ; [21 25],[82.72727273 47.27272727] ; [29.27272727 16.72727273],0
p7,1,0.003474,8.540099,[87 43] ; [19 26],[78.74285714 51.25714286] ; [27.25714286 17.74285714],0
s4,1,0.010618,6.528084,[ 18 114] ; [14 32],[ 23.73033708 108.26966292] ; [ 8.26966292 37.73033708],0
p8,1,0.01588,5.816097,[67 62] ; [14 31],[60.05172414 68.94827586] ; [20.94827586 24.05172414],0
r4,1,0.023961,5.097423,[119  14] ; [35 11],[114.42458101  18.57541899] ; [39.57541899  6.42458101],0
r1,1,0.024306,5.072653,[114  18] ; [33 13],[109.01123596  22.98876404] ; [37.98876404  8.01123596],0
n4,1,0.040771,4.185522,[101  31] ; [28 18],[95.66292135 36.33707865] ; [33.33707865 12.66292135],0
n6,1,0.066475,3.367979,[111  21] ; [33 13],[106.78651685  25.21348315] ; [37.21348315  8.78651685],0
d5,1,0.089361,2.88584,[107  26] ; [42  4],[110.70949721  22.29050279] ; [38.29050279  7.70949721],0
s3,1,0.112109,2.52424,[75 54] ; [20 25],[70.43103448 58.56896552] ; [24.56896552 20.43103448],0
a6,1,0.131939,2.26954,[96 36] ; [28 18],[91.95505618 40.04494382] ; [32.04494382 13.95505618],0
a7,1,0.174233,1.846141,[104  27] ; [32 14],[100.65536723  30.34463277] ; [35.34463277 10.65536723],0
p3,1,0.17785,1.815495,[61 71] ; [16 30],[57.1011236 74.8988764] ; [19.8988764 26.1011236],0
v4,1,0.195894,1.672722,[122   9] ; [40  6],[119.89830508  11.10169492] ; [42.10169492  3.89830508],0
n2,1,0.22729,1.457742,[24  5] ; [10  5],[22.40909091  6.59090909] ; [11.59090909  3.40909091],0
a1,1,0.242327,1.367003,[  9 124] ; [ 1 45],[  7.4301676 125.5698324] ; [ 2.5698324 43.4301676],0
s7,1,0.282856,1.153318,[60 66] ; [16 26],[57. 69.] ; [19. 23.],0
p6,1,0.378665,0.775033,[32 99] ; [14 31],[34.23863636 96.76136364] ; [11.76136364 33.23863636],0
r2,1,0.389544,0.740364,[125   7] ; [41  4],[123.79661017   8.20338983] ; [42.20338983  2.79661017],0
d4,1,0.411822,0.673534,[107  24] ; [40  6],[108.79661017  22.20338983] ; [38.20338983  7.79661017],0
u4,1,0.428983,0.625574,[  1 132] ; [ 1 45],[  1.48603352 131.51396648] ; [ 0.51396648 45.48603352],0
s1,1,0.439822,0.596748,[  1 129] ; [ 1 45],[  1.47727273 128.52272727] ; [ 0.52272727 45.47727273],0
n3,1,0.462522,0.539785,[24  5] ; [11  4],[23.06818182  5.93181818] ; [11.93181818  3.06818182],0
s8,1,0.466087,0.531237,[51 81] ; [15 31],[48.94382022 83.05617978] ; [17.05617978 28.94382022],0
s6,1,0.532241,0.390111,[78 52] ; [30 16],[79.77272727 50.22727273] ; [28.22727273 17.77272727],0
s5,1,0.550822,0.355847,[39 85] ; [16 28],[40.5952381 83.4047619] ; [14.4047619 29.5952381],0
d3,1,0.573143,0.317452,[92 40] ; [30 16],[90.47191011 41.52808989] ; [31.52808989 14.47191011],0
b4,1,0.60148,0.27277,[81 52] ; [26 20],[79.5027933 53.4972067] ; [27.4972067 18.5027933],0
b5,1,0.642222,0.215848,[67 66] ; [25 21],[68.3575419 64.6424581] ; [23.6424581 22.3575419],0
s2,1,0.657644,0.196398,[61 71] ; [23 23],[62.29213483 69.70786517] ; [21.70786517 24.29213483],0
u1,1,0.662203,0.190859,[ 24 109] ; [ 7 39],[ 23.03351955 109.96648045] ; [ 7.96648045 38.03351955],0
p1,1,0.663974,0.188732,[  8 124] ; [ 2 44],[  7.41573034 124.58426966] ; [ 2.58426966 43.41573034],0
d2,1,0.732026,0.11726,[65 67] ; [24 22],[66. 66.] ; [23. 23.],0
a3,1,0.74014,0.110003,[98 34] ; [33 13],[97.14606742 34.85393258] ; [33.85393258 12.14606742],0
a2,1,0.748815,0.10253,[ 32 101] ; [10 36],[ 31.20670391 101.79329609] ; [10.79329609 35.20670391],0
p4,1,0.758908,0.094197,[69 62] ; [22 22],[68.12 62.88] ; [22.88 21.12],0
d1,1,0.791432,0.069935,[78 55] ; [28 18],[78.75977654 54.24022346] ; [27.24022346 18.75977654],0
v3,1,0.793677,0.068403,[63 69] ; [20 24],[62.25 69.75] ; [20.75 23.25],0
a4,1,0.832369,0.044802,[54 78] ; [18 28],[53.39325843 78.60674157] ; [18.60674157 27.39325843],0
b1,1,0.853175,0.034251,[50 83] ; [18 28],[50.52513966 82.47486034] ; [17.47486034 28.52513966],0
u3,1,0.881557,0.0222,[17 18] ; [6 7],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
n1,1,0.904973,0.014252,[ 7 21] ; [ 4 11],[ 7.1627907 20.8372093] ; [ 3.8372093 11.1627907],0
b3,1,0.94941,0.004026,[27 56] ; [ 7 15],[26.87619048 56.12380952] ; [ 7.12380952 14.87619048],0
b2,1,0.94941,0.004026,[27 56] ; [ 7 15],[26.87619048 56.12380952] ; [ 7.12380952 14.87619048],0
a5,1,0.964948,0.001931,[98 34] ; [34 12],[97.88764045 34.11235955] ; [34.11235955 11.88764045],0
u2,1,0.965802,0.001838,[15 18] ; [6 7],[15.06521739 17.93478261] ; [5.93478261 7.06521739],0
