Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.020641,5.356832,[12 49] ; [11 14],[16.31395349 44.68604651] ; [ 6.68604651 18.31395349],0
d5,1,0.02364,5.120874,[31 30] ; [20  6],[35.75862069 25.24137931] ; [15.24137931 10.75862069],0
v1,1,0.031165,4.643848,[18 43] ; [14 12],[22.43678161 38.56321839] ; [ 9.56321839 16.43678161],0
u2,1,0.044726,4.028948,[17 25] ; [10  4],[20.25 21.75] ; [6.75 7.25],0
v4,1,0.054604,3.694135,[46 16] ; [24  2],[49.31818182 12.68181818] ; [20.68181818  5.31818182],0
s8,1,0.058953,3.566584,[12 50] ; [10 16],[15.5 46.5] ; [ 6.5 19.5],0
s6,1,0.086775,2.933202,[26 36] ; [15  9],[29.55813953 32.44186047] ; [11.44186047 12.55813953],0
d4,1,0.122297,2.38765,[37 25] ; [20  6],[40.15909091 21.84090909] ; [16.84090909  9.15909091],0
p3,1,0.131455,2.275237,[22 40] ; [ 5 21],[19.02272727 42.97727273] ; [ 7.97727273 18.02272727],0
r2,1,0.158389,1.98954,[46 16] ; [22  3],[48.45977011 13.54022989] ; [19.54022989  5.45977011],0
s7,1,0.167143,1.90838,[16 42] ; [10 13],[18.61728395 39.38271605] ; [ 7.38271605 15.61728395],0
p9,1,0.18969,1.720023,[32 28] ; [ 9 15],[29.28571429 30.71428571] ; [11.71428571 12.28571429],0
a4,1,0.192131,1.701199,[ 4 57] ; [ 4 22],[ 5.6091954 55.3908046] ; [ 2.3908046 23.6091954],0
p1,1,0.200787,1.636642,[ 8 54] ; [ 1 25],[ 6.34090909 55.65909091] ; [ 2.65909091 23.34090909],0
r1,1,0.23541,1.407871,[32 30] ; [17  9],[34.52272727 27.47727273] ; [14.47727273 11.52272727],0
r3,1,0.235699,1.406138,[41 20] ; [20  5],[43.26744186 17.73255814] ; [17.73255814  7.26744186],0
b1,1,0.243955,1.357594,[37 25] ; [12 14],[34.52272727 27.47727273] ; [14.47727273 11.52272727],0
n6,1,0.263773,1.248844,[35 27] ; [18  8],[37.34090909 24.65909091] ; [15.65909091 10.34090909],0
r4,1,0.263773,1.248844,[35 27] ; [18  8],[37.34090909 24.65909091] ; [15.65909091 10.34090909],0
b5,1,0.292326,1.108879,[43 19] ; [15 11],[40.86363636 21.13636364] ; [17.13636364  8.86363636],0
