Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,27.894729,[22 44] ; [93 35],[39.12371134 26.87628866] ; [75.87628866 52.12371134],1
a6,1,3e-06,22.135113,[24 42] ; [92 37],[39.26153846 26.73846154] ; [76.73846154 52.26153846],1
d5,1,3.1e-05,17.347804,[35 31] ; [105  24],[47.38461538 18.61538462] ; [92.61538462 36.38461538],1
a2,1,4.2e-05,16.790223,[ 4 62] ; [42 88],[15.48979592 50.51020408] ; [30.51020408 99.48979592],1
r4,1,0.000244,13.455681,[35 31] ; [102  28],[46.13265306 19.86734694] ; [90.86734694 39.13265306],1
r1,1,0.000319,12.957874,[35 31] ; [100  28],[45.92783505 20.07216495] ; [89.07216495 38.92783505],1
d1,1,0.000889,11.046259,[21 45] ; [74 56],[31.98979592 34.01020408] ; [63.01020408 66.98979592],1
r3,1,0.002328,9.271378,[44 22] ; [111  19],[52.19387755 13.80612245] ; [102.80612245  27.19387755],0
a5,1,0.002443,9.183091,[31 35] ; [90 40],[40.74489796 25.25510204] ; [80.25510204 49.74489796],0
r2,1,0.002638,9.042285,[50 15] ; [119  10],[56.62371134  8.37628866] ; [112.37628866  16.62371134],0
u1,1,0.003979,8.293567,[ 3 63] ; [ 26 104],[ 9.76530612 56.23469388] ; [ 19.23469388 110.76530612],0
s6,1,0.022072,5.240095,[27 38] ; [76 53],[34.51030928 30.48969072] ; [68.48969072 60.51030928],0
d4,1,0.029808,4.72032,[42 23] ; [102  27],[48.24742268 16.75257732] ; [95.75257732 33.24742268],0
a4,1,0.035514,4.420299,[20 45] ; [60 69],[26.80412371 38.19587629] ; [53.19587629 75.80412371],0
b5,1,0.044797,4.026263,[35 31] ; [88 42],[41.41836735 24.58163265] ; [81.58163265 48.41836735],0
a3,1,0.04584,3.987466,[35 30] ; [87 40],[41.30208333 23.69791667] ; [80.69791667 46.30208333],0
u2,1,0.047095,3.942008,[ 9 22] ; [21 19],[13.09859155 17.90140845] ; [16.90140845 23.09859155],0
p6,1,0.057164,3.617812,[11 53] ; [38 89],[16.41884817 47.58115183] ; [32.58115183 94.41884817],0
p9,1,0.066034,3.378961,[31 32] ; [79 46],[36.86170213 26.13829787] ; [73.13829787 51.86170213],0
p10,1,0.066811,3.359679,[26 39] ; [67 57],[31.98412698 33.01587302] ; [61.01587302 62.98412698],0
u3,1,0.070374,3.274272,[10 21] ; [22 19],[13.77777778 17.22222222] ; [18.22222222 22.77777778],0
b3,1,0.139541,2.183018,[16 21] ; [20 49],[12.56603774 24.43396226] ; [23.43396226 45.56603774],0
b2,1,0.139541,2.183018,[16 21] ; [20 49],[12.56603774 24.43396226] ; [23.43396226 45.56603774],0
v4,1,0.142089,2.155188,[50 15] ; [111  19],[53.66666667 11.33333333] ; [107.33333333  22.66666667],0
b1,1,0.159412,1.979798,[40 26] ; [65 65],[35.35714286 30.64285714] ; [69.64285714 60.35714286],0
d2,1,0.171172,1.872649,[26 39] ; [65 64],[30.48969072 34.51030928] ; [60.51030928 68.48969072],0
p1,1,0.18288,1.774066,[ 3 63] ; [ 13 116],[ 5.41538462 60.58461538] ; [ 10.58461538 118.41538462],0
s7,1,0.246235,1.344538,[20 41] ; [50 70],[23.59116022 37.40883978] ; [46.40883978 73.59116022],0
n3,1,0.250122,1.322621,[13 13] ; [30 17],[15.31506849 10.68493151] ; [27.68493151 19.31506849],0
p3,1,0.254092,1.300665,[19 46] ; [48 80],[22.56476684 42.43523316] ; [44.43523316 83.56476684],0
s2,1,0.267043,1.231871,[23 43] ; [56 74],[26.60204082 39.39795918] ; [52.39795918 77.60204082],0
a1,1,0.267836,1.227794,[ 7 59] ; [  8 122],[ 5.05102041 60.94897959] ; [  9.94897959 120.05102041],0
p2,1,0.270523,1.214091,[36 29] ; [82 47],[39.53608247 25.46391753] ; [78.46391753 50.53608247],0
n5,1,0.32174,0.981862,[45 20] ; [80 49],[41.8814433 23.1185567] ; [83.1185567 45.8814433],0
v2,1,0.366898,0.814142,[24 40] ; [55 69],[26.89361702 37.10638298] ; [52.10638298 71.89361702],0
s8,1,0.377856,0.777667,[17 48] ; [42 88],[19.66666667 45.33333333] ; [39.33333333 90.66666667],0
s5,1,0.419275,0.652345,[13 51] ; [32 93],[15.23809524 48.76190476] ; [29.76190476 95.23809524],0
n4,1,0.433477,0.61349,[45 20] ; [82 47],[42.55154639 22.44845361] ; [84.44845361 44.55154639],0
v3,1,0.43948,0.597639,[18 44] ; [43 81],[20.33333333 41.66666667] ; [40.66666667 83.33333333],0
s3,1,0.440844,0.594084,[27 37] ; [62 67],[29.51295337 34.48704663] ; [59.48704663 69.51295337],0
b4,1,0.484907,0.487807,[39 27] ; [70 60],[36.70408163 29.29591837] ; [72.29591837 57.70408163],0
v1,1,0.509379,0.435343,[25 40] ; [56 73],[27.13917526 37.86082474] ; [53.86082474 75.13917526],0
s1,1,0.531418,0.39168,[ 4 62] ; [ 11 117],[ 5.10309278 60.89690722] ; [  9.89690722 118.10309278],0
p7,1,0.647646,0.20888,[27 37] ; [58 69],[28.48167539 35.51832461] ; [56.51832461 70.48167539],0
u4,1,0.71074,0.137539,[ 1 65] ; [  3 127],[ 1.34693878 64.65306122] ; [  2.65306122 127.34693878],0
p5,1,0.716177,0.132185,[ 5 60] ; [  8 119],[ 4.40104167 60.59895833] ; [  8.59895833 118.40104167],0
a8,1,0.723208,0.12544,[ 7 56] ; [ 15 101],[ 7.74301676 55.25698324] ; [ 14.25698324 101.74301676],0
p8,1,0.747494,0.103649,[19 46] ; [40 87],[19.97395833 45.02604167] ; [39.02604167 87.97395833],0
p12,1,0.774944,0.081747,[ 2 64] ; [  3 125],[ 1.70103093 64.29896907] ; [  3.29896907 124.70103093],0
n1,1,0.814526,0.055033,[12 16] ; [21 25],[12.48648649 15.51351351] ; [20.51351351 25.48648649],0
p4,1,0.835994,0.042857,[26 38] ; [54 74],[26.66666667 37.33333333] ; [53.33333333 74.66666667],0
n6,1,0.969674,0.001445,[41 23] ; [83 46],[41.11917098 22.88082902] ; [82.88082902 46.11917098],0
n2,1,0.979137,0.000684,[18 10] ; [31 17],[18.05263158  9.94736842] ; [30.94736842 17.05263158],0
