Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2e-06,22.967486,[10 52] ; [54 46],[24.49382716 37.50617284] ; [39.50617284 60.49382716],1
r3,1,7e-06,20.147384,[36 26] ; [87 11],[47.6625 14.3375] ; [75.3375 22.6625],1
p9,1,1e-05,19.546409,[20 37] ; [70 28],[33.09677419 23.90322581] ; [56.90322581 41.09677419],1
r4,1,2.3e-05,17.885323,[29 33] ; [79 21],[41.33333333 20.66666667] ; [66.66666667 33.33333333],1
v4,1,8.5e-05,15.440625,[41 21] ; [90  9],[50.44720497 11.55279503] ; [80.55279503 18.44720497],1
s6,1,0.000209,13.748775,[20 40] ; [63 36],[31.32075472 28.67924528] ; [51.67924528 47.32075472],1
p7,1,0.001003,10.821869,[18 44] ; [55 44],[28.11180124 33.88819876] ; [44.88819876 54.11180124],0
p10,1,0.001056,10.727291,[19 40] ; [58 40],[28.93630573 30.06369427] ; [48.06369427 49.93630573],0
s2,1,0.001552,10.015831,[16 46] ; [51 49],[25.64197531 36.35802469] ; [41.35802469 58.64197531],0
n6,1,0.002527,9.120721,[31 31] ; [72 26],[39.9125 22.0875] ; [63.0875 34.9125],0
s7,1,0.002704,8.997232,[13 43] ; [45 49],[21.65333333 34.34666667] ; [36.34666667 57.65333333],0
r1,1,0.004005,8.281382,[31 31] ; [71 27],[39.525 22.475] ; [62.475 35.525],0
a1,1,0.005067,7.855487,[ 8 54] ; [ 2 98],[ 3.82716049 58.17283951] ; [ 6.17283951 93.82716049],0
s8,1,0.010706,6.513543,[10 51] ; [35 65],[17.04968944 43.95031056] ; [27.95031056 72.04968944],0
p6,1,0.011033,6.459982,[ 9 51] ; [33 66],[15.8490566 44.1509434] ; [26.1509434 72.8490566],0
r2,1,0.012362,6.258243,[45 15] ; [89 10],[50.56603774  9.43396226] ; [83.43396226 15.56603774],0
v1,1,0.013336,6.123977,[15 47] ; [43 56],[22.33540373 39.66459627] ; [35.66459627 63.33540373],0
p8,1,0.02613,4.947363,[10 51] ; [32 67],[16.0125 44.9875] ; [25.9875 73.0125],0
p3,1,0.026232,4.940662,[14 47] ; [40 60],[20.45962733 40.54037267] ; [33.54037267 66.45962733],0
s3,1,0.027438,4.863039,[24 36] ; [58 42],[30.75 29.25] ; [51.25 48.75],0
d3,1,0.034182,4.48556,[30 32] ; [64 34],[36.425 25.575] ; [57.575 40.425],0
u1,1,0.072549,3.224396,[ 4 58] ; [16 84],[ 7.65432099 54.34567901] ; [12.34567901 87.65432099],0
u3,1,0.087141,2.926407,[ 8 17] ; [19 16],[11.25 13.75] ; [15.75 19.25],0
s5,1,0.087442,2.920839,[11 47] ; [30 65],[15.54248366 42.45751634] ; [25.45751634 69.54248366],0
