Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,33.23904,[ 9 23] ; [57  9],[21.55102041 10.44897959] ; [44.44897959 21.55102041],1
n6,1,0.000904,11.014145,[15 17] ; [52 13],[22.10309278  9.89690722] ; [44.89690722 20.10309278],1
n1,1,0.002024,9.52782,[ 2 13] ; [12  6],[6.36363636 8.63636364] ; [ 7.63636364 10.36363636],0
r2,1,0.00735,7.185484,[28  5] ; [65  1],[31.  2.] ; [62.  4.],0
p2,1,0.018951,5.506019,[19 13] ; [53 12],[23.75257732  8.24742268] ; [48.24742268 16.75257732],0
v3,1,0.05704,3.621429,[ 9 23] ; [31 33],[13.33333333 18.66666667] ; [26.66666667 37.33333333],0
r4,1,0.076727,3.132911,[23 10] ; [56 10],[26.33333333  6.66666667] ; [52.66666667 13.33333333],0
r1,1,0.100651,2.6952,[22 11] ; [53 12],[25.25510204  7.74489796] ; [49.74489796 15.25510204],0
n2,1,0.133975,2.245833,[9 6] ; [15  3],[10.90909091  4.09090909] ; [13.09090909  4.90909091],0
p6,1,0.147009,2.103016,[ 7 23] ; [25 40],[10.10526316 19.89473684] ; [21.89473684 43.10526316],0
d1,1,0.154691,2.025368,[14 19] ; [38 28],[17.33333333 15.66666667] ; [34.66666667 31.33333333],0
s4,1,0.15947,1.97924,[ 9 24] ; [10 55],[ 6.39795918 26.60204082] ; [12.60204082 52.39795918],0
s7,1,0.178744,1.808036,[13 17] ; [35 25],[16. 14.] ; [32. 28.],0
a3,1,0.209688,1.573579,[19 14] ; [45 19],[21.77319588 11.22680412] ; [42.22680412 21.77319588],0
b5,1,0.231197,1.433484,[19 14] ; [46 20],[21.66666667 11.33333333] ; [43.33333333 22.66666667],0
p7,1,0.243784,1.358576,[13 18] ; [35 29],[15.66315789 15.33684211] ; [32.33684211 31.66315789],0
p8,1,0.258866,1.274813,[ 9 22] ; [27 39],[11.50515464 19.49484536] ; [24.49484536 41.50515464],0
r3,1,0.265028,1.242301,[26  6] ; [59  7],[27.75510204  4.24489796] ; [57.24489796  8.75510204],0
s8,1,0.269521,1.219182,[11 21] ; [30 35],[13.5257732 18.4742268] ; [27.4742268 37.5257732],0
d3,1,0.274358,1.194828,[21 12] ; [49 17],[23.33333333  9.66666667] ; [46.66666667 19.33333333],0
