Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.0,116.403516,[126 164] ; [290  54],[190.28391167  99.71608833] ; [225.71608833 118.28391167],1
p7,1,0.0,33.384809,[160 121] ; [267  73],[193.215781  87.784219] ; [233.784219 106.215781],1
p5,1,0.0,31.526042,[ 12 279] ; [ 64 279],[ 34.88328076 256.11671924] ; [ 41.11671924 301.88328076],1
p8,1,0.0,29.372444,[128 154] ; [229 113],[161.33653846 120.66346154] ; [195.66346154 146.33653846],1
p6,1,0.0,29.187547,[ 81 205] ; [168 171],[113.9424 172.0576] ; [135.0576 203.9424],1
b1,1,2.8e-05,17.545889,[ 79 213] ; [148 196],[104.22012579 187.77987421] ; [122.77987421 221.22012579],1
v1,1,3.3e-05,17.218432,[138 147] ; [217 117],[163.44911147 121.55088853] ; [191.55088853 142.44911147],1
s8,1,9.1e-05,15.317128,[110 181] ; [182 159],[134.44936709 156.55063291] ; [157.55063291 183.44936709],1
s7,1,0.000133,14.599542,[119 165] ; [185 137],[142.46864686 141.53135314] ; [161.53135314 160.46864686],1
u1,1,0.000165,14.189348,[ 41 251] ; [ 90 254],[ 60.14465409 231.85534591] ; [ 70.85534591 273.14465409],1
p1,1,0.000429,12.401381,[ 11 279] ; [ 39 304],[ 22.90679305 267.09320695] ; [ 27.09320695 315.90679305],1
v3,1,0.000679,11.546187,[ 94 187] ; [156 176],[114.60032626 166.39967374] ; [135.39967374 196.60032626],1
p10,1,0.001256,10.405842,[230  58] ; [303  37],[244.43312102  43.56687898] ; [288.56687898  51.43312102],0
s5,1,0.00156,10.0067,[ 83 199] ; [137 191],[101.70491803 180.29508197] ; [118.29508197 209.70491803],0
p9,1,0.003364,8.598857,[238  47] ; [312  30],[250.  35.] ; [300.  42.],0
n4,1,0.003375,8.59275,[220  71] ; [291  52],[234.54416404  56.45583596] ; [276.45583596  66.54416404],0
a2,1,0.004975,7.888334,[ 62 230] ; [107 237],[ 77.59119497 214.40880503] ; [ 91.40880503 252.59119497],0
n5,1,0.01043,6.560023,[209  80] ; [276  65],[222.48412698  66.51587302] ; [262.51587302  78.48412698],0
p12,1,0.011327,6.413306,[ 14 276] ; [ 35 307],[ 22.48417722 267.51582278] ; [ 26.51582278 315.48417722],0
a3,1,0.011371,6.406459,[205  87] ; [270  72],[218.76971609  73.23028391] ; [256.23028391  85.76971609],0
d2,1,0.011771,6.345105,[137 153] ; [197 147],[152.77602524 137.22397476] ; [181.22397476 162.77602524],0
n6,1,0.018897,5.511025,[237  52] ; [303  39],[247.32171157  41.67828843] ; [292.67828843  49.32171157],0
v2,1,0.020051,5.407432,[151 127] ; [213 122],[165.0766721 112.9233279] ; [198.9233279 136.0766721],0
s6,1,0.025345,5.000161,[187  99] ; [246  88],[199.73870968  86.26129032] ; [233.26129032 100.73870968],0
d1,1,0.031373,4.632421,[190 102] ; [251  93],[202.47169811  89.52830189] ; [238.52830189 105.47169811],0
a1,1,0.033198,4.535543,[  7 285] ; [ 20 324],[ 12.39622642 279.60377358] ; [ 14.60377358 329.39622642],0
a5,1,0.048617,3.888523,[216  76] ; [277  67],[226.34591195  65.65408805] ; [266.65408805  77.34591195],0
u3,1,0.058571,3.577388,[45 41] ; [49 24],[50.8427673 35.1572327] ; [43.1572327 29.8427673],0
a4,1,0.063862,3.434131,[130 162] ; [178 165],[141.63149606 150.36850394] ; [166.36850394 176.63149606],0
s2,1,0.065736,3.386405,[139 150] ; [188 151],[150.48248408 138.51751592] ; [176.51751592 162.48248408],0
b5,1,0.095538,2.778498,[187 105] ; [198 146],[176.76100629 115.23899371] ; [208.23899371 135.76100629],0
d4,1,0.132111,2.267522,[253  38] ; [312  32],[258.92125984  32.07874016] ; [306.07874016  37.92125984],0
s3,1,0.135624,2.22692,[151 133] ; [201 139],[160.20512821 123.79487179] ; [191.79487179 148.20512821],0
u4,1,0.14088,2.168325,[  3 289] ; [  9 334],[  5.51811024 286.48188976] ; [  6.48188976 336.51811024],0
r4,1,0.229705,1.442684,[263  29] ; [319  25],[267.20754717  24.79245283] ; [314.79245283  29.20754717],0
n1,1,0.31549,1.007551,[28 55] ; [22 30],[30.74074074 52.25925926] ; [19.25925926 32.74074074],0
b4,1,0.316128,1.004901,[177 115] ; [195 149],[170.79245283 121.20754717] ; [201.20754717 142.79245283],0
p11,1,0.328498,0.95481,[234  58] ; [286  58],[238.74213836  53.25786164] ; [281.25786164  62.74213836],0
s4,1,0.351133,0.869359,[ 43 245] ; [ 60 279],[ 47.31100478 240.68899522] ; [ 55.68899522 283.31100478],0
b3,1,0.354577,0.85701,[ 54 102] ; [ 88 136],[58.29473684 97.70526316] ; [ 83.70526316 140.29473684],0
b2,1,0.354577,0.85701,[ 54 102] ; [ 88 136],[58.29473684 97.70526316] ; [ 83.70526316 140.29473684],0
r2,1,0.398989,0.711371,[271  16] ; [325  14],[273.24600639  13.75399361] ; [322.75399361  16.24600639],0
s1,1,0.517423,0.419026,[  6 279] ; [ 10 332],[  7.27272727 277.72727273] ; [  8.72727273 333.27272727],0
a8,1,0.524255,0.405515,[ 42 222] ; [ 43 264],[ 39.29947461 224.70052539] ; [ 45.70052539 261.29947461],0
d3,1,0.52427,0.405485,[217  74] ; [264  80],[220.42677165  70.57322835] ; [260.57322835  83.42677165],0
v4,1,0.526377,0.401381,[276  12] ; [331  11],[277.48571429  10.51428571] ; [329.51428571  12.48571429],0
a7,1,0.547977,0.360954,[224  67] ; [257  86],[220.77444795  70.22555205] ; [260.22555205  82.77444795],0
r3,1,0.73787,0.112007,[281   8] ; [330  11],[280.28412698   8.71587302] ; [330.71587302  10.28412698],0
r1,1,0.757223,0.095561,[238  51] ; [284  57],[239.45714286  49.54285714] ; [282.54285714  58.45714286],0
u2,1,0.801921,0.062932,[50 36] ; [41 32],[49.22012579 36.77987421] ; [41.77987421 31.22012579],0
n2,1,0.803133,0.062148,[63 21] ; [38 14],[62.38235294 21.61764706] ; [38.61764706 13.38235294],0
n3,1,0.908512,0.013206,[63 22] ; [39 13],[63.28467153 21.71532847] ; [38.71532847 13.28467153],0
a6,1,0.94869,0.004141,[205  87] ; [240 103],[204.62992126  87.37007874] ; [240.37007874 102.62992126],0
