Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.0,112.623057,[ 78 175] ; [191  53],[136.93561368 116.06438632] ; [132.06438632 111.93561368],1
s2,1,0.0,66.207791,[ 92 173] ; [177  74],[138.14922481 126.85077519] ; [130.85077519 120.14922481],1
s6,1,0.0,47.417829,[145 113] ; [209  39],[180.49802372  77.50197628] ; [173.50197628  74.49802372],1
s3,1,0.0,43.79582,[117 145] ; [183  66],[153.81604697 108.18395303] ; [146.18395303 102.81604697],1
s5,1,2e-06,23.123201,[ 74 187] ; [120 124],[100.26534653 160.73465347] ; [ 93.73465347 150.26534653],1
a5,1,1.5e-05,18.762555,[178  88] ; [211  42],[199.37186898  66.62813102] ; [189.62813102  63.37186898],1
b2,1,1.6e-05,18.646476,[ 40 115] ; [83 86],[58.84259259 96.15740741] ; [ 64.15740741 104.84259259],1
b3,1,1.6e-05,18.646476,[ 40 115] ; [83 86],[58.84259259 96.15740741] ; [ 64.15740741 104.84259259],1
p10,1,0.000116,14.853717,[214  51] ; [231  19],[228.98058252  36.01941748] ; [216.01941748  33.98058252],1
a3,1,0.000135,14.563727,[177  87] ; [206  46],[195.95348837  68.04651163] ; [187.04651163  64.95348837],1
p9,1,0.000485,12.172839,[220  44] ; [235  17],[232.79069767  31.20930233] ; [222.20930233  29.79069767],1
d1,1,0.000548,11.944236,[138 128] ; [169  84],[157.34489403 108.65510597] ; [149.65510597 103.34489403],1
v3,1,0.000595,11.79241,[ 90 168] ; [123 123],[109.03571429 148.96428571] ; [103.96428571 142.03571429],1
v1,1,0.001091,10.667159,[131 128] ; [161  87],[149.16765286 109.83234714] ; [142.83234714 105.16765286],0
p3,1,0.002352,9.252557,[144 122] ; [170  83],[160.93256262 105.06743738] ; [153.06743738  99.93256262],0
n4,1,0.002449,9.178222,[197  69] ; [213  38],[210.94777563  55.05222437] ; [199.05222437  51.94777563],0
p5,1,0.002573,9.087719,[ 26 240] ; [ 48 204],[ 38. 228.] ; [ 36. 216.],0
p6,1,0.004227,8.183728,[112 150] ; [139 112],[128.19103314 133.80896686] ; [122.80896686 128.19103314],0
u4,1,0.004783,7.959738,[  1 264] ; [ 10 243],[  5.62741313 259.37258687] ; [  5.37258687 247.62741313],0
r3,1,0.005175,7.81717,[248  15] ; [250   3],[253.8255814   9.1744186] ; [244.1744186   8.8255814],0
n5,1,0.008682,6.887051,[191  73] ; [206  45],[203.51067961  60.48932039] ; [193.48932039  57.51067961],0
p4,1,0.01312,6.152803,[176  89] ; [193  60],[188.77413127  76.22586873] ; [180.22586873  72.77413127],0
a8,1,0.014958,5.921386,[ 28 208] ; [ 47 187],[ 37.65957447 198.34042553] ; [ 37.34042553 196.65957447],0
p8,1,0.022471,5.208967,[170  94] ; [185  66],[181.98058252  82.01941748] ; [173.01941748  77.98058252],0
p12,1,0.023201,5.153376,[ 15 251] ; [ 28 223],[ 22.1237911 243.8762089] ; [ 20.8762089 230.1237911],0
r4,1,0.026572,4.918421,[237  29] ; [239  14],[243.96146435  22.03853565] ; [232.03853565  20.96146435],0
r1,1,0.030294,4.692509,[209  55] ; [216  34],[218.28793774  45.71206226] ; [206.71206226  43.28793774],0
d2,1,0.04997,3.84247,[118 148] ; [134 119],[129.15606936 136.84393064] ; [122.84393064 130.15606936],0
u1,1,0.05076,3.816162,[ 42 224] ; [ 57 196],[ 50.73988439 215.26011561] ; [ 48.26011561 204.73988439],0
p11,1,0.058085,3.591241,[215  51] ; [220  33],[222.94797688  43.05202312] ; [212.05202312  40.94797688],0
s1,1,0.063459,3.444588,[  3 261] ; [  9 240],[  6.1754386 257.8245614] ; [  5.8245614 243.1754386],0
d4,1,0.085371,2.95956,[212  53] ; [216  36],[219.38104449  45.61895551] ; [208.61895551  43.38104449],0
d5,1,0.115415,2.478466,[211  54] ; [214  38],[217.84332689  47.15667311] ; [207.15667311  44.84332689],0
r2,1,0.116584,2.46262,[243  19] ; [238  10],[247.10196078  14.89803922] ; [233.89803922  14.10196078],0
v2,1,0.130549,2.285963,[141 114] ; [153  94],[149.34262948 105.65737052] ; [144.65737052 102.34262948],0
n6,1,0.150051,2.071737,[223  41] ; [222  28],[228.56031128  35.43968872] ; [216.43968872  33.56031128],0
n1,1,0.159332,1.980553,[15 41] ; [18 27],[18.2970297 37.7029703] ; [14.7029703 30.2970297],0
a2,1,0.254532,1.298255,[ 63 203] ; [ 71 182],[ 68.67822736 197.32177264] ; [ 65.32177264 187.67822736],0
b5,1,0.265634,1.239153,[159 107] ; [139 114],[152.73217726 113.26782274] ; [145.26782274 107.73217726],0
a4,1,0.314762,1.01059,[113 152] ; [119 134],[118.68725869 146.31274131] ; [113.31274131 139.68725869],0
u3,1,0.318726,0.994167,[44 43] ; [28 19],[46.74626866 40.25373134] ; [25.25373134 21.74626866],0
s4,1,0.389778,0.739636,[ 42 218] ; [ 48 204],[ 45.703125 214.296875] ; [ 44.296875 207.703125],0
a7,1,0.397147,0.716949,[195  70] ; [177  75],[190.67698259  74.32301741] ; [181.32301741  70.67698259],0
u2,1,0.510889,0.432246,[48 38] ; [29 18],[49.78947368 36.21052632] ; [27.21052632 19.78947368],0
n3,1,0.530369,0.393684,[46 11] ; [34 11],[44.70588235 12.29411765] ; [35.29411765  9.70588235],0
a1,1,0.604678,0.267998,[ 14 252] ; [ 16 237],[ 15.37572254 250.62427746] ; [ 14.62427746 238.37572254],0
p1,1,0.625707,0.237928,[ 22 243] ; [ 24 228],[ 23.57833656 241.42166344] ; [ 22.42166344 229.57833656],0
v4,1,0.673798,0.177192,[253   9] ; [244   7],[253.82846004   8.17153996] ; [243.17153996   7.82846004],0
d3,1,0.701452,0.146966,[188  76] ; [184  69],[189.95744681  74.04255319] ; [182.04255319  70.95744681],0
b1,1,0.776725,0.080423,[104 162] ; [102 151],[105.57996146 160.42003854] ; [100.42003854 152.57996146],0
a6,1,0.814831,0.054849,[182  84] ; [170  82],[180.75675676  85.24324324] ; [171.24324324  80.75675676],0
n2,1,0.82951,0.046367,[42 15] ; [34 11],[42.47058824 14.52941176] ; [33.52941176 11.47058824],0
b4,1,0.879681,0.022914,[150 116] ; [141 112],[149.14450867 116.85549133] ; [141.85549133 111.14450867],0
