Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,49.585673,[265  15] ; [6 8],[258.0952381  21.9047619] ; [12.9047619  1.0952381],1
v4,1,0.0,37.422067,[272   7] ; [9 5],[267.57337884  11.42662116] ; [13.42662116  0.57337884],1
n6,1,9e-05,15.33352,[252  26] ; [8 6],[247.53424658  30.46575342] ; [12.46575342  1.53424658],1
r1,1,9.6e-05,15.220191,[235  45] ; [6 8],[229.52380952  50.47619048] ; [11.47619048  2.52380952],1
r3,1,0.000375,12.652764,[270   8] ; [11  3],[267.52739726  10.47260274] ; [13.47260274  0.52739726],1
a3,1,0.000704,11.478973,[212  66] ; [5 9],[206.59589041  71.40410959] ; [10.40410959  3.59589041],1
d1,1,0.004734,7.978483,[184  96] ; [ 4 10],[179.04761905 100.95238095] ; [8.95238095 5.04761905],0
d3,1,0.00576,7.623791,[211  67] ; [6 8],[206.59589041  71.40410959] ; [10.40410959  3.59589041],0
p9,1,0.013136,6.150645,[255  24] ; [10  4],[252.33788396  26.66211604] ; [12.66211604  1.33788396],0
a5,1,0.022939,5.173142,[215  65] ; [7 7],[211.42857143  68.57142857] ; [10.57142857  3.42857143],0
n4,1,0.025752,4.972609,[241  39] ; [9 5],[238.0952381  41.9047619] ; [11.9047619  2.0952381],0
d4,1,0.030401,4.686452,[239  40] ; [9 5],[236.15017065  42.84982935] ; [11.84982935  2.15017065],0
s3,1,0.047215,3.937718,[173 105] ; [5 9],[169.46575342 108.53424658] ; [8.53424658 5.46575342],0
p12,1,0.050219,3.834142,[ 31 247] ; [ 4 10],[ 33.32191781 244.67808219] ; [ 1.67808219 12.32191781],0
p10,1,0.066812,3.359656,[245  33] ; [10  4],[242.7739726  35.2260274] ; [12.2260274  1.7739726],0
a2,1,0.079882,3.067293,[ 80 200] ; [ 1 13],[ 77.14285714 202.85714286] ; [ 3.85714286 10.14285714],0
a4,1,0.092442,2.831331,[144 135] ; [ 4 10],[140.92832765 138.07167235] ; [7.07167235 6.92832765],0
n3,1,0.100746,2.693695,[41 14] ; [2 3],[39.41666667 15.58333333] ; [3.58333333 1.41666667],0
s7,1,0.137815,2.202186,[168  99] ; [5 7],[165.55913978 101.44086022] ; [7.44086022 4.55913978],0
a7,1,0.14134,2.163314,[208  70] ; [8 6],[205.64383562  72.35616438] ; [10.35616438  3.64383562],0
n2,1,0.145944,2.114142,[40 16] ; [2 3],[38.55737705 17.44262295] ; [3.44262295 1.55737705],0
s6,1,0.182532,1.776886,[199  72] ; [8 6],[196.83157895  74.16842105] ; [10.16842105  3.83157895],0
s2,1,0.191039,1.709586,[168 110] ; [6 8],[165.65753425 112.34246575] ; [8.34246575 5.65753425],0
d2,1,0.200731,1.637045,[149 131] ; [5 9],[146.66666667 133.33333333] ; [7.33333333 6.66666667],0
u2,1,0.240339,1.378605,[39 29] ; [7 2],[40.62337662 27.37662338] ; [5.37662338 3.62337662],0
b1,1,0.245268,1.350057,[116 164] ; [8 6],[118.0952381 161.9047619] ; [5.9047619 8.0952381],0
b4,1,0.256668,1.286641,[163 117] ; [6 8],[160.95238095 119.04761905] ; [8.04761905 5.95238095],0
n1,1,0.271455,1.209379,[25 30] ; [1 4],[23.83333333 31.16666667] ; [2.16666667 2.83333333],0
n5,1,0.277357,1.179997,[231  48] ; [10  4],[229.48464164  49.51535836] ; [11.51535836  2.48464164],0
s8,1,0.324181,0.972002,[157 122] ; [6 8],[155.2116041 123.7883959] ; [7.7883959 6.2116041],0
b5,1,0.352425,0.864706,[165 115] ; [10  4],[166.66666667 113.33333333] ; [8.33333333 5.66666667],0
v1,1,0.354902,0.855852,[172 104] ; [7 7],[170.35862069 105.64137931] ; [8.64137931 5.35862069],0
u3,1,0.364569,0.822092,[41 27] ; [4 5],[39.74025974 28.25974026] ; [5.25974026 3.74025974],0
