Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,93.803862,[ 8 12] ; [519  26],[18.65486726  1.34513274] ; [508.34513274  36.65486726],1
r2,1,0.000159,14.267212,[15  4] ; [520  19],[18.21684588  0.78315412] ; [516.78315412  22.21684588],1
r1,1,0.000593,11.79875,[12  8] ; [471  70],[17.21925134  2.78074866] ; [465.78074866  75.21925134],1
v4,1,0.004917,7.909694,[17  3] ; [525  17],[19.28825623  0.71174377] ; [522.71174377  19.28825623],0
v2,1,0.005209,7.80542,[ 6 14] ; [323 205],[12.00729927  7.99270073] ; [316.99270073 211.00729927],0
s4,1,0.016032,5.799326,[ 7 13] ; [ 81 458],[ 3.14847943 16.85152057] ; [ 84.85152057 454.14847943],0
n1,1,0.020197,5.394793,[7 3] ; [34 69],[3.62831858 6.37168142] ; [37.37168142 65.62831858],0
d5,1,0.020678,5.353724,[14  6] ; [477  67],[17.41134752  2.58865248] ; [473.58865248  70.41134752],0
d4,1,0.022813,5.182703,[14  6] ; [476  68],[17.37588652  2.62411348] ; [472.62411348  71.37588652],0
d1,1,0.029272,4.751548,[ 9 11] ; [372 173],[13.48672566  6.51327434] ; [367.51327434 177.48672566],0
b1,1,0.034522,4.468675,[12  8] ; [200 345],[ 7.50442478 12.49557522] ; [204.49557522 340.50442478],0
u2,1,0.085969,2.948287,[1 4] ; [63 44],[2.85714286 2.14285714] ; [61.14285714 45.85714286],0
s6,1,0.086513,2.938087,[10  9] ; [378 155],[13.35507246  5.64492754] ; [374.64492754 158.35507246],0
a2,1,0.099444,2.71443,[ 3 17] ; [177 368],[ 6.37168142 13.62831858] ; [173.62831858 371.37168142],0
a7,1,0.118606,2.435633,[12  8] ; [411 134],[14.97345133  5.02654867] ; [408.02654867 136.97345133],0
p7,1,0.125949,2.341737,[11  9] ; [378 155],[14.06871609  5.93128391] ; [374.93128391 158.06871609],0
v3,1,0.132806,2.259396,[ 5 15] ; [221 307],[ 8.24817518 11.75182482] ; [217.75182482 310.24817518],0
p10,1,0.137956,2.200608,[15  5] ; [467  72],[17.2450805  2.7549195] ; [464.7549195  74.2450805],0
a6,1,0.167145,1.908368,[12  8] ; [402 142],[14.68085106  5.31914894] ; [399.31914894 144.68085106],0
v1,1,0.198896,1.650463,[ 9 11] ; [316 216],[11.77536232  8.22463768] ; [313.22463768 218.77536232],0
n3,1,0.227453,1.456721,[6 4] ; [81 24],[7.56521739 2.43478261] ; [79.43478261 25.56521739],0
p5,1,0.268295,1.225446,[ 4 16] ; [ 64 479],[ 2.41563055 17.58436945] ; [ 65.58436945 477.41563055],0
n2,1,0.268567,1.22405,[9 1] ; [78 27],[7.56521739 2.43478261] ; [79.43478261 25.56521739],0
p11,1,0.282359,1.155701,[15  5] ; [458  87],[16.74336283  3.25663717] ; [456.25663717  88.74336283],0
s8,1,0.301556,1.067301,[ 7 12] ; [265 277],[9.21212121 9.78787879] ; [262.78787879 279.21212121],0
s5,1,0.347204,0.883649,[ 9 10] ; [193 332],[ 7.05514706 11.94485294] ; [194.94485294 330.05514706],0
n4,1,0.348726,0.878086,[15  5] ; [451  92],[16.55417407  3.44582593] ; [449.44582593  93.55417407],0
u3,1,0.374178,0.789744,[2 3] ; [63 42],[2.95454545 2.04545455] ; [62.04545455 42.95454545],0
b5,1,0.386316,0.750505,[14  6] ; [329 216],[12.14159292  7.85840708] ; [330.85840708 214.14159292],0
n5,1,0.423277,0.641199,[17  3] ; [418 122],[15.53571429  4.46428571] ; [419.46428571 120.53571429],0
u1,1,0.424503,0.637815,[ 3 17] ; [123 422],[ 4.46017699 15.53982301] ; [121.53982301 423.46017699],0
p9,1,0.451867,0.565965,[16  3] ; [483  56],[16.99103943  2.00896057] ; [482.00896057  56.99103943],0
p4,1,0.475637,0.50885,[15  5] ; [366 177],[13.53463588  6.46536412] ; [367.46536412 175.53463588],0
d2,1,0.503394,0.447773,[10 10] ; [313 231],[11.45390071  8.54609929] ; [311.54609929 232.45390071],0
s1,1,0.517505,0.418862,[ 1 19] ; [ 14 522],[ 0.53956835 19.46043165] ; [ 14.46043165 521.53956835],0
s3,1,0.51869,0.416497,[10 10] ; [307 229],[11.4028777  8.5971223] ; [305.5971223 230.4028777],0
p8,1,0.541814,0.372189,[10  9] ; [319 216],[11.2833935  7.7166065] ; [317.7166065 217.2833935],0
a3,1,0.542386,0.371135,[15  5] ; [438 106],[16.06382979  3.93617021] ; [436.93617021 107.06382979],0
p3,1,0.691691,0.157261,[12  8] ; [302 242],[11.13475177  8.86524823] ; [302.86524823 241.13475177],0
n6,1,0.699571,0.148918,[18  2] ; [471  70],[17.43315508  2.56684492] ; [471.56684492  69.43315508],0
p1,1,0.73609,0.113593,[ 2 18] ; [ 43 500],[ 1.59857904 18.40142096] ; [ 43.40142096 499.59857904],0
s2,1,0.762566,0.091272,[10 10] ; [288 251],[10.66189624  9.33810376] ; [287.33810376 251.66189624],0
b3,1,0.775605,0.081254,[ 6 10] ; [136 195],[6.54755043 9.45244957] ; [135.45244957 195.54755043],0
b2,1,0.775605,0.081254,[ 6 10] ; [136 195],[6.54755043 9.45244957] ; [135.45244957 195.54755043],0
b4,1,0.790828,0.07035,[11  9] ; [316 229],[11.57522124  8.42477876] ; [315.42477876 229.57522124],0
a4,1,0.801721,0.063061,[10 10] ; [287 256],[10.55062167  9.44937833] ; [286.44937833 256.55062167],0
p12,1,0.840334,0.040589,[ 2 18] ; [ 47 493],[ 1.75 18.25] ; [ 47.25 492.75],0
s7,1,0.866836,0.028116,[10  8] ; [279 242],[9.65120594 8.34879406] ; [279.34879406 241.65120594],0
d3,1,0.930315,0.007647,[15  5] ; [404 141],[14.83185841  5.16814159] ; [404.16814159 140.83185841],0
a1,1,0.962333,0.00223,[ 1 19] ; [ 26 519],[ 0.95575221 19.04424779] ; [ 26.04424779 518.95575221],0
p6,1,0.976107,0.000897,[ 8 12] ; [217 321],[ 8.06451613 11.93548387] ; [216.93548387 321.06451613],0
