Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,50.908112,[15 16] ; [110   3],[26.90972222  4.09027778] ; [98.09027778 14.90972222],1
r1,1,0.0,39.164897,[ 7 25] ; [91 22],[21.62758621 10.37241379] ; [76.37241379 36.62758621],1
r3,1,0.0,34.444056,[18 13] ; [109   4],[27.34027778  3.65972222] ; [99.65972222 13.34027778],1
a6,1,2e-06,22.856944,[ 7 25] ; [78 35],[18.75862069 13.24137931] ; [66.24137931 46.75862069],1
v4,1,3e-06,21.539558,[23  8] ; [110   2],[28.83216783  2.16783217] ; [104.16783217   7.83216783],1
a5,1,0.000846,11.137389,[ 8 24] ; [66 47],[16.33103448 15.66896552] ; [57.66896552 55.33103448],1
v3,1,0.001117,10.623405,[ 2 30] ; [40 71],[ 9.3986014 22.6013986] ; [32.6013986 78.3986014],0
p9,1,0.0013,10.342092,[20 12] ; [97 14],[26.18181818  5.81818182] ; [90.81818182 20.18181818],0
a7,1,0.001673,9.877364,[12 20] ; [77 36],[19.64137931 12.35862069] ; [69.35862069 43.64137931],0
s3,1,0.00403,8.270409,[11 20] ; [72 40],[17.99300699 13.00699301] ; [65.00699301 46.99300699],0
s6,1,0.004425,8.100747,[11 21] ; [69 41],[18.02816901 13.97183099] ; [61.97183099 48.02816901],0
u3,1,0.004932,7.904256,[ 3 14] ; [28 21],[7.98484848 9.01515152] ; [23.01515152 25.98484848],0
n6,1,0.005664,7.654239,[19 12] ; [95 18],[24.54166667  6.45833333] ; [89.45833333 23.54166667],0
v2,1,0.011125,6.445177,[ 7 24] ; [52 56],[13.15827338 17.84172662] ; [45.84172662 62.15827338],0
p10,1,0.012535,6.233548,[18 14] ; [87 24],[23.4965035  8.5034965] ; [81.5034965 29.4965035],0
p11,1,0.013553,6.095393,[19 13] ; [91 22],[24.27586207  7.72413793] ; [85.72413793 27.27586207],0
s5,1,0.01763,5.632573,[ 3 28] ; [34 76],[ 8.13475177 22.86524823] ; [28.86524823 81.13475177],0
p3,1,0.01775,5.620621,[ 7 25] ; [51 62],[12.8 19.2] ; [45.2 67.8],0
p4,1,0.022984,5.169689,[11 21] ; [64 48],[16.66666667 15.33333333] ; [58.33333333 53.66666667],0
d2,1,0.027057,4.887199,[ 3 29] ; [32 81],[ 7.72413793 24.27586207] ; [27.27586207 85.72413793],0
b1,1,0.031379,4.632107,[19 13] ; [43 70],[13.68275862 18.31724138] ; [48.31724138 64.68275862],0
d3,1,0.031387,4.631692,[ 9 23] ; [56 57],[14.34482759 17.65517241] ; [50.65517241 62.34482759],0
s7,1,0.042027,4.134108,[ 9 21] ; [55 53],[13.91304348 16.08695652] ; [50.08695652 57.91304348],0
p6,1,0.043951,4.058426,[ 6 26] ; [42 69],[10.74125874 21.25874126] ; [37.25874126 73.74125874],0
s8,1,0.069345,3.298455,[ 7 25] ; [44 68],[11.33333333 20.66666667] ; [39.66666667 72.33333333],0
p5,1,0.071054,3.258501,[ 1 31] ; [17 96],[ 3.97241379 28.02758621] ; [14.02758621 98.97241379],0
n4,1,0.079283,3.07953,[16 16] ; [75 37],[20.22222222 11.77777778] ; [70.77777778 41.22222222],0
v1,1,0.08227,3.019472,[ 9 21] ; [53 58],[13.19148936 16.80851064] ; [48.80851064 62.19148936],0
p1,1,0.086745,2.933773,[ 1 31] ; [16 97],[ 3.75172414 28.24827586] ; [13.24827586 99.75172414],0
b3,1,0.10217,2.671336,[ 3 13] ; [28 41],[ 5.83529412 10.16470588] ; [25.16470588 43.83529412],0
b2,1,0.10217,2.671336,[ 3 13] ; [28 41],[ 5.83529412 10.16470588] ; [25.16470588 43.83529412],0
s2,1,0.106042,2.612245,[10 22] ; [53 59],[14. 18.] ; [49. 63.],0
a4,1,0.133614,2.25,[ 4 28] ; [28 84],[ 7.11111111 24.88888889] ; [24.88888889 87.11111111],0
n5,1,0.156376,2.008929,[18 14] ; [78 34],[21.33333333 10.66666667] ; [74.66666667 37.33333333],0
p8,1,0.193485,1.690878,[14 18] ; [63 48],[17.23076923 14.76923077] ; [59.76923077 51.23076923],0
s4,1,0.195807,1.673373,[ 8 24] ; [17 95],[ 5.55555556 26.44444444] ; [19.44444444 92.55555556],0
u2,1,0.221416,1.495173,[ 6 10] ; [27 22],[8.12307692 7.87692308] ; [24.87692308 24.12307692],0
d4,1,0.284631,1.144845,[14 18] ; [61 51],[16.66666667 15.33333333] ; [58.33333333 53.66666667],0
p7,1,0.325099,0.968323,[18 13] ; [75 36],[20.3028169 10.6971831] ; [72.6971831 38.3028169],0
a8,1,0.364219,0.823295,[ 2 28] ; [13 90],[ 3.38345865 26.61654135] ; [11.61654135 91.38345865],0
n1,1,0.426763,0.631616,[ 3 12] ; [ 7 15],[ 4.05405405 10.94594595] ; [ 5.94594595 16.05405405],0
a3,1,0.465967,0.531524,[15 16] ; [63 50],[16.79166667 14.20833333] ; [61.20833333 51.79166667],0
n3,1,0.692108,0.156813,[10  5] ; [16  6],[10.54054054  4.45945946] ; [15.45945946  6.54054054],0
n2,1,0.692108,0.156813,[10  5] ; [16  6],[10.54054054  4.45945946] ; [15.45945946  6.54054054],0
b5,1,0.743664,0.106932,[20 12] ; [67 46],[19.2 12.8] ; [67.8 45.2],0
a1,1,0.7445,0.106211,[ 1 31] ; [  5 108],[ 1.32413793 30.67586207] ; [  4.67586207 108.32413793],0
b4,1,0.827271,0.047612,[18 14] ; [66 47],[18.53793103 13.46206897] ; [65.46206897 47.53793103],0
s1,1,0.904735,0.014324,[ 1 31] ; [  3 107],[ 0.90140845 31.09859155] ; [  3.09859155 106.90140845],0
