Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000186,13.963988,[ 9 23] ; [37 16],[17.31764706 14.68235294] ; [28.68235294 24.31764706],1
a6,1,0.000226,13.598,[ 7 25] ; [34 20],[15.25581395 16.74418605] ; [25.74418605 28.25581395],1
d4,1,0.000381,12.622306,[14 18] ; [43 10],[21.45882353 10.54117647] ; [35.54117647 17.45882353],1
a5,1,0.000663,11.589386,[ 8 24] ; [34 20],[15.62790698 16.37209302] ; [26.37209302 27.62790698],1
d2,1,0.002686,9.00921,[ 3 29] ; [21 32],[ 9.03529412 22.96470588] ; [14.96470588 38.03529412],0
a4,1,0.003655,8.447839,[ 4 28] ; [23 31],[10.04651163 21.95348837] ; [16.95348837 37.04651163],0
v2,1,0.005268,7.785112,[ 7 24] ; [28 24],[13.07228916 17.92771084] ; [21.92771084 30.07228916],0
v3,1,0.013794,6.064269,[ 2 30] ; [15 38],[ 6.4 25.6] ; [10.6 42.4],0
s6,1,0.019166,5.486297,[11 21] ; [31 20],[16.19277108 15.80722892] ; [25.80722892 25.19277108],0
s5,1,0.021194,5.310803,[ 3 28] ; [16 34],[ 7.27160494 23.72839506] ; [11.72839506 38.27160494],0
p3,1,0.023529,5.129038,[ 7 25] ; [25 29],[11.90697674 20.09302326] ; [20.09302326 33.90697674],0
p4,1,0.025689,4.976852,[11 21] ; [32 22],[16. 16.] ; [27. 27.],0
u3,1,0.025763,4.971867,[ 3 14] ; [12 11],[ 6.375 10.625] ; [ 8.625 14.375],0
a7,1,0.026678,4.911557,[12 20] ; [33 20],[16.94117647 15.05882353] ; [28.05882353 24.94117647],0
p9,1,0.057405,3.610805,[20 12] ; [43 10],[23.71764706  8.28235294] ; [39.28235294 13.71764706],0
p6,1,0.065692,3.387501,[ 6 26] ; [20 33],[ 9.78823529 22.21176471] ; [16.21176471 36.78823529],0
p10,1,0.083934,2.987024,[18 14] ; [38 13],[21.59036145 10.40963855] ; [34.40963855 16.59036145],0
p5,1,0.086927,2.930382,[ 1 31] ; [ 8 46],[ 3.34883721 28.65116279] ; [ 5.65116279 48.34883721],0
s7,1,0.096903,2.755792,[ 9 21] ; [24 25],[12.53164557 17.46835443] ; [20.46835443 28.53164557],0
p11,1,0.106223,2.609529,[19 13] ; [41 13],[22.3255814  9.6744186] ; [37.6744186 16.3255814],0
v1,1,0.131325,2.276771,[ 9 21] ; [24 27],[12.22222222 17.77777778] ; [20.77777778 30.22222222],0
r3,1,0.135396,2.229519,[18 13] ; [37 13],[21.04938272  9.95061728] ; [33.95061728 16.04938272],0
u2,1,0.150945,2.062672,[ 6 10] ; [14  9],[8.20512821 7.79487179] ; [11.79487179 11.20512821],0
s2,1,0.154018,2.031994,[10 22] ; [24 27],[13.10843373 18.89156627] ; [20.89156627 30.10843373],0
s3,1,0.173571,1.85183,[11 20] ; [25 24],[13.95 17.05] ; [22.05 26.95],0
n6,1,0.18786,1.734321,[19 12] ; [39 13],[21.6626506  9.3373494] ; [36.3373494 15.6626506],0
r1,1,0.21489,1.538175,[ 7 25] ; [18 34],[ 9.52380952 22.47619048] ; [15.47619048 36.52380952],0
s8,1,0.236032,1.404137,[ 7 25] ; [18 35],[ 9.41176471 22.58823529] ; [15.58823529 37.41176471],0
n4,1,0.238857,1.387325,[16 16] ; [34 20],[18.60465116 13.39534884] ; [31.39534884 22.60465116],0
b1,1,0.240864,1.375529,[19 13] ; [25 29],[16.37209302 15.62790698] ; [27.62790698 26.37209302],0
r2,1,0.245836,1.346812,[15 16] ; [29 18],[17.48717949 13.51282051] ; [26.51282051 20.48717949],0
n1,1,0.330995,0.945,[ 3 12] ; [ 7 13],[ 4.28571429 10.71428571] ; [ 5.71428571 14.28571429],0
b3,1,0.346488,0.886276,[ 3 13] ; [11 24],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
b2,1,0.346488,0.886276,[ 3 13] ; [11 24],[ 4.39215686 11.60784314] ; [ 9.60784314 25.39215686],0
p1,1,0.412036,0.67292,[ 1 31] ; [ 4 50],[ 1.86046512 30.13953488] ; [ 3.13953488 50.86046512],0
p7,1,0.425059,0.636286,[18 13] ; [26 27],[16.23809524 14.76190476] ; [27.76190476 25.23809524],0
p8,1,0.468959,0.524427,[14 18] ; [19 34],[12.42352941 19.57647059] ; [20.57647059 32.42352941],0
s4,1,0.502581,0.449482,[ 8 24] ; [10 43],[ 6.77647059 25.22352941] ; [11.22352941 41.77647059],0
a3,1,0.523898,0.406213,[15 16] ; [30 24],[16.41176471 14.58823529] ; [28.58823529 25.41176471],0
n5,1,0.5562,0.346327,[18 14] ; [32 19],[19.27710843 12.72289157] ; [30.72289157 20.27710843],0
v4,1,0.573223,0.317319,[23  8] ; [39 10],[24.025  6.975] ; [37.975 11.025],0
a1,1,0.604907,0.267658,[ 1 31] ; [ 3 51],[ 1.48837209 30.51162791] ; [ 2.51162791 51.48837209],0
a8,1,0.626263,0.237162,[ 2 28] ; [ 2 46],[ 1.53846154 28.46153846] ; [ 2.46153846 45.53846154],0
b5,1,0.642171,0.215915,[20 12] ; [31 23],[18.97674419 13.02325581] ; [32.02325581 21.97674419],0
n3,1,0.686254,0.16317,[10  5] ; [12  8],[9.42857143 5.57142857] ; [12.57142857  7.42857143],0
s1,1,0.704943,0.143381,[ 1 31] ; [ 1 53],[ 0.74418605 31.25581395] ; [ 1.25581395 52.74418605],0
n2,1,0.918123,0.010568,[10  5] ; [13  7],[9.85714286 5.14285714] ; [13.14285714  6.85714286],0
b4,1,0.950019,0.003929,[18 14] ; [30 24],[17.86046512 14.13953488] ; [30.13953488 23.86046512],0
