Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,0.0,169.869489,[28 22] ; [668  15],[47.47612551  2.52387449] ; [648.52387449  34.47612551],1
r1,1,0.0,120.847842,[14 40] ; [587  95],[44.0951087  9.9048913] ; [556.9048913 125.0951087],1
v4,1,0.0,50.982578,[41 11] ; [669  15],[50.16304348  1.83695652] ; [659.83695652  24.16304348],1
a5,1,4e-06,21.085149,[26 29] ; [519 167],[40.45209177 14.54790823] ; [504.54790823 181.45209177],1
d2,1,0.000553,11.929566,[14 41] ; [340 345],[26.31081081 28.68918919] ; [327.68918919 357.31081081],1
d1,1,0.000954,10.915393,[21 34] ; [418 268],[32.58434548 22.41565452] ; [406.41565452 279.58434548],1
p10,1,0.001132,10.597536,[35 17] ; [576 104],[43.40437158  8.59562842] ; [567.59562842 112.40437158],0
d5,1,0.001495,10.08538,[37 18] ; [575 109],[45.54803789  9.45196211] ; [566.45196211 117.54803789],0
p7,1,0.001904,9.639745,[27 27] ; [472 199],[37.16689655 16.83310345] ; [461.83310345 209.16689655],0
a3,1,0.00212,9.442806,[29 25] ; [501 183],[38.7804878 15.2195122] ; [491.2195122 192.7804878],0
n4,1,0.002251,9.332538,[34 21] ; [543 140],[43.00135501 11.99864499] ; [533.99864499 149.00135501],0
u3,1,0.002401,9.214856,[ 7 18] ; [110  73],[14.0625 10.9375] ; [102.9375  80.0625],0
a6,1,0.002481,9.154256,[28 27] ; [483 202],[37.97972973 17.02027027] ; [473.02027027 211.97972973],0
a2,1,0.002671,9.019546,[ 4 51] ; [173 513],[13.13765182 41.86234818] ; [163.86234818 522.13765182],0
d3,1,0.003527,8.512825,[29 25] ; [496 189],[38.36265223 15.63734777] ; [486.63734777 198.36265223],0
n5,1,0.003693,8.429071,[31 22] ; [521 161],[39.80408163 13.19591837] ; [512.19591837 169.80408163],0
a4,1,0.004017,8.275925,[14 41] ; [311 373],[24.18809202 30.81190798] ; [300.81190798 383.18809202],0
a7,1,0.004495,8.07206,[32 23] ; [517 167],[40.85926928 14.14073072] ; [508.14073072 175.85926928],0
v3,1,0.004807,7.950635,[12 43] ; [273 390],[21.83147632 33.16852368] ; [263.16852368 399.83147632],0
p9,1,0.010359,6.572113,[41 13] ; [597  81],[47.06557377  6.93442623] ; [590.93442623  87.06557377],0
p8,1,0.011065,6.454898,[22 32] ; [395 280],[30.88888889 23.11111111] ; [386.11111111 288.88888889],0
u1,1,0.012786,6.198464,[ 3 52] ; [129 557],[ 9.79757085 45.20242915] ; [122.20242915 563.79757085],0
p4,1,0.020558,5.363843,[27 28] ; [442 241],[34.95257453 20.04742547] ; [434.04742547 248.95257453],0
n6,1,0.035321,4.429601,[40 13] ; [588  95],[45.22282609  7.77717391] ; [582.77717391 100.22282609],0
p3,1,0.036255,4.385065,[21 34] ; [362 323],[28.46621622 26.53378378] ; [354.53378378 330.46621622],0
a8,1,0.055754,3.659401,[ 3 49] ; [ 96 520],[ 7.70658683 44.29341317] ; [ 91.29341317 524.70658683],0
v1,1,0.059815,3.542497,[22 29] ; [380 290],[28.43550624 22.56449376] ; [373.56449376 296.43550624],0
s5,1,0.068884,3.309404,[12 41] ; [231 430],[18.03781513 34.96218487] ; [224.96218487 436.03781513],0
d4,1,0.073524,3.202532,[41 14] ; [574 110],[45.77131258  9.22868742] ; [569.22868742 114.77131258],0
p11,1,0.075746,3.153886,[40 15] ; [565 121],[44.90553306 10.09446694] ; [560.09446694 125.90553306],0
b1,1,0.12463,2.358148,[25 30] ; [241 445],[19.74358974 35.25641026] ; [246.25641026 439.74358974],0
p6,1,0.144082,2.133816,[16 38] ; [268 407],[21.03703704 32.96296296] ; [262.96296296 412.03703704],0
s8,1,0.181483,1.785439,[20 35] ; [312 371],[24.74254743 30.25745257] ; [307.25745257 375.74254743],0
b2,1,0.251159,1.316848,[ 9 23] ; [156 251],[12.02733485 19.97266515] ; [152.97266515 254.02733485],0
b3,1,0.251159,1.316848,[ 9 23] ; [156 251],[12.02733485 19.97266515] ; [152.97266515 254.02733485],0
p12,1,0.259884,1.269377,[ 2 52] ; [ 54 627],[ 4.11428571 49.88571429] ; [ 51.88571429 629.11428571],0
p5,1,0.281782,1.158474,[ 4 51] ; [ 83 601],[ 6.47496617 48.52503383] ; [ 80.52503383 603.47496617],0
v2,1,0.332205,0.940282,[27 26] ; [382 279],[30.35994398 22.64005602] ; [378.64005602 282.35994398],0
n1,1,0.361409,0.832991,[ 5 15] ; [46 84],[ 6.8 13.2] ; [44.2 85.8],0
s6,1,0.370431,0.80222,[34 20] ; [462 209],[36.94344828 17.05655172] ; [459.05655172 211.94344828],0
u2,1,0.434555,0.610618,[12 13] ; [103  80],[13.82211538 11.17788462] ; [101.17788462  81.82211538],0
s7,1,0.473799,0.513103,[23 28] ; [331 327],[25.46403385 25.53596615] ; [328.53596615 329.46403385],0
n3,1,0.526929,0.400311,[14  6] ; [101  31],[15.13157895  4.86842105] ; [99.86842105 32.13157895],0
s3,1,0.57664,0.311699,[28 24] ; [392 286],[29.91780822 22.08219178] ; [390.08219178 287.91780822],0
s1,1,0.616593,0.250686,[ 2 53] ; [ 17 658],[ 1.43150685 53.56849315] ; [ 17.56849315 657.43150685],0
a1,1,0.624621,0.239426,[ 3 52] ; [ 28 658],[ 2.30094467 52.69905533] ; [ 28.69905533 657.30094467],0
s2,1,0.63826,0.221025,[26 28] ; [350 330],[27.66212534 26.33787466] ; [348.33787466 331.66212534],0
s4,1,0.643661,0.213986,[10 45] ; [107 570],[ 8.79098361 46.20901639] ; [108.20901639 568.79098361],0
n2,1,0.647178,0.209476,[14  6] ; [98 33],[14.83443709  5.16556291] ; [97.16556291 33.83443709],0
b5,1,0.735752,0.113895,[32 23] ; [415 271],[33.17813765 21.82186235] ; [413.82186235 272.17813765],0
b4,1,0.985311,0.000339,[32 23] ; [400 286],[32.06477733 22.93522267] ; [399.93522267 286.06477733],0
