Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,28.417436,[184 139] ; [11 47],[165.31496063 157.68503937] ; [29.68503937 28.31496063],1
p7,1,1.6e-05,18.629828,[224  93] ; [23 33],[209.91689008 107.08310992] ; [37.08310992 18.91689008],1
p4,1,0.000149,14.387556,[230  97] ; [26 32],[217.43376623 109.56623377] ; [38.56623377 19.43376623],1
n4,1,0.000661,11.596681,[271  55] ; [37 21],[261.47916667  64.52083333] ; [46.52083333 11.47916667],1
p10,1,0.000776,11.298776,[288  37] ; [41 16],[279.90837696  45.09162304] ; [49.09162304  7.90837696],1
n5,1,0.003692,8.429655,[262  62] ; [37 21],[253.60209424  70.39790576] ; [45.39790576 12.60209424],0
a7,1,0.005312,7.769989,[249  78] ; [34 24],[240.36623377  86.63376623] ; [42.63376623 15.36623377],0
p11,1,0.006882,7.303615,[262  66] ; [37 21],[254.07253886  73.92746114] ; [44.92746114 13.07253886],0
p9,1,0.009963,6.641535,[292  31] ; [44 12],[286.35356201  36.64643799] ; [49.64643799  6.35356201],0
p3,1,0.011886,6.327866,[188 139] ; [23 35],[179.21298701 147.78701299] ; [31.78701299 26.21298701],0
r1,1,0.015943,5.809124,[277  48] ; [42 16],[270.69190601  54.30809399] ; [48.30809399  9.69190601],0
s3,1,0.02164,5.27451,[288  37] ; [45 13],[282.57180157  42.42819843] ; [50.42819843  7.57180157],0
n6,1,0.022857,5.179339,[286  37] ; [45 13],[280.61154856  42.38845144] ; [50.38845144  7.61154856],0
p6,1,0.025901,4.962603,[148 176] ; [17 40],[140.31496063 183.68503937] ; [24.68503937 32.31496063],0
a8,1,0.026439,4.927106,[ 50 250] ; [ 3 54],[ 44.53781513 255.46218487] ; [ 8.46218487 48.53781513],0
d3,1,0.084297,2.980042,[250  78] ; [38 20],[244.7253886  83.2746114] ; [43.2746114 14.7253886],0
p5,1,0.094654,2.793392,[ 44 283] ; [ 3 52],[ 40.23298429 286.76701571] ; [ 6.76701571 48.23298429],0
s5,1,0.172153,1.864094,[158 153] ; [22 32],[153.36986301 157.63013699] ; [26.63013699 27.36986301],0
u4,1,0.198103,1.656304,[ 11 317] ; [ 4 54],[ 12.74611399 315.25388601] ; [ 2.25388601 55.74611399],0
a6,1,0.199661,1.64485,[220 107] ; [34 24],[215.73506494 111.26493506] ; [38.26493506 19.73506494],0
d4,1,0.204445,1.61033,[300  28] ; [50  8],[297.40932642  30.59067358] ; [52.59067358  5.40932642],0
s4,1,0.206764,1.593938,[ 75 247] ; [18 40],[ 78.80526316 243.19473684] ; [14.19473684 43.80526316],0
r4,1,0.21964,1.506719,[304  24] ; [51  7],[301.65803109  26.34196891] ; [53.34196891  4.65803109],0
b1,1,0.225132,1.471354,[125 203] ; [27 31],[129.16062176 198.83937824] ; [22.83937824 35.16062176],0
v4,1,0.25281,1.307707,[318   8] ; [55  3],[316.66145833   9.33854167] ; [56.33854167  1.66145833],0
a4,1,0.265726,1.238676,[172 156] ; [35 23],[175.89637306 152.10362694] ; [31.10362694 26.89637306],0
v3,1,0.267907,1.227431,[141 174] ; [19 33],[137.32970027 177.67029973] ; [22.67029973 29.32970027],0
a2,1,0.307013,1.043484,[101 227] ; [14 44],[ 97.72020725 230.27979275] ; [17.27979275 40.72020725],0
p12,1,0.307236,1.04252,[ 38 290] ; [ 4 53],[ 35.78181818 292.21818182] ; [ 6.21818182 50.78181818],0
s1,1,0.310881,1.02693,[ 13 311] ; [ 4 53],[ 14.45669291 309.54330709] ; [ 2.54330709 54.45669291],0
d2,1,0.347186,0.883717,[187 140] ; [37 21],[190.25454545 136.74545455] ; [33.74545455 24.25454545],0
u3,1,0.415746,0.662308,[48 23] ; [11  3],[49.28235294 21.71764706] ; [9.71764706 4.28235294],0
u2,1,0.426451,0.632471,[43 27] ; [7 7],[41.66666667 28.33333333] ; [8.33333333 5.66666667],0
a1,1,0.471701,0.517989,[ 20 308] ; [ 5 53],[ 21.24352332 306.75647668] ; [ 3.75647668 54.24352332],0
s7,1,0.473476,0.513853,[228  88] ; [35 17],[225.83695652  90.16304348] ; [37.16304348 14.83695652],0
b4,1,0.555006,0.348425,[190 138] ; [36 22],[192.04145078 135.95854922] ; [33.95854922 24.04145078],0
b5,1,0.562318,0.335707,[196 132] ; [37 21],[197.98963731 130.01036269] ; [35.01036269 22.98963731],0
d1,1,0.603724,0.269416,[248  80] ; [42 16],[246.42487047  81.57512953] ; [43.57512953 14.42487047],0
b2,1,0.62805,0.234714,[ 77 120] ; [14 26],[ 75.64135021 121.35864979] ; [15.35864979 24.64135021],0
b3,1,0.62805,0.234714,[ 77 120] ; [14 26],[ 75.64135021 121.35864979] ; [15.35864979 24.64135021],0
r3,1,0.664207,0.188454,[317   8] ; [56  2],[316.51436031   8.48563969] ; [56.48563969  1.51436031],0
p1,1,0.667427,0.184626,[ 28 298] ; [ 4 54],[ 27.16666667 298.83333333] ; [ 4.83333333 53.16666667],0
a3,1,0.681497,0.168446,[256  71] ; [44 14],[254.80519481  72.19480519] ; [45.19480519 12.80519481],0
s6,1,0.711445,0.136838,[286  34] ; [50  7],[285.19893899  34.80106101] ; [50.80106101  6.19893899],0
r2,1,0.730465,0.118685,[316   8] ; [57  1],[316.36649215   7.63350785] ; [56.63350785  1.36649215],0
n3,1,0.746381,0.104597,[49 17] ; [17  7],[48.4 17.6] ; [17.6  6.4],0
a5,1,0.813142,0.055873,[259  69] ; [45 13],[258.32124352  69.67875648] ; [45.67875648 12.32124352],0
v1,1,0.829079,0.046605,[187 129] ; [34 22],[187.7311828 128.2688172] ; [33.2688172 22.7311828],0
u1,1,0.850195,0.035672,[ 83 245] ; [14 44],[ 82.42487047 245.57512953] ; [14.57512953 43.42487047],0
s8,1,0.878773,0.023264,[212 115] ; [37 21],[211.48831169 115.51168831] ; [37.51168831 20.48831169],0
v2,1,0.925209,0.008812,[194 120] ; [33 21],[193.69021739 120.30978261] ; [33.30978261 20.69021739],0
n2,1,0.942567,0.00519,[51 14] ; [19  5],[51.12359551 13.87640449] ; [18.87640449  5.12359551],0
n1,1,0.973359,0.001115,[28 37] ; [10 13],[28.06818182 36.93181818] ; [ 9.93181818 13.06818182],0
