Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,102.164011,[ 3 11] ; [355  19],[12.91752577  1.08247423] ; [345.08247423  28.91752577],1
v4,1,0.0,51.420309,[9 5] ; [366   7],[13.56589147  0.43410853] ; [361.43410853  11.56589147],1
r1,1,0.0,29.501195,[ 4 10] ; [314  57],[11.56363636  2.43636364] ; [306.43636364  64.56363636],1
a7,1,5.5e-05,16.255432,[ 4 10] ; [284  88],[10.44559585  3.55440415] ; [277.55440415  94.44559585],1
s3,1,0.000359,12.733984,[8 6] ; [330  41],[12.29090909  1.70909091] ; [325.70909091  45.29090909],1
a3,1,0.003895,8.331996,[6 8] ; [286  87],[10.56330749  3.43669251] ; [281.43669251  91.56330749],0
d5,1,0.005413,7.736005,[8 6] ; [316  56],[11.75129534  2.24870466] ; [312.24870466  59.75129534],0
a4,1,0.012731,6.206131,[ 2 12] ; [180 194],[6.56701031 7.43298969] ; [175.43298969 198.56701031],0
p9,1,0.020457,5.372484,[10  4] ; [334  35],[12.57441253  1.42558747] ; [331.42558747  37.57441253],0
r3,1,0.021074,5.320693,[12  2] ; [361  11],[13.52849741  0.47150259] ; [359.47150259  12.52849741],0
s5,1,0.034163,4.486547,[ 3 11] ; [179 177],[6.88648649 7.11351351] ; [175.11351351 180.88648649],0
s7,1,0.042384,4.119795,[6 7] ; [261 101],[9.256 3.744] ; [257.744 104.256],0
d2,1,0.065342,3.396318,[ 4 10] ; [200 173],[7.37984496 6.62015504] ; [196.62015504 176.37984496],0
d1,1,0.069995,3.283147,[6 8] ; [248 126],[9.16494845 4.83505155] ; [244.83505155 129.16494845],0
b4,1,0.093462,2.813703,[5 9] ; [218 156],[8.04639175 5.95360825] ; [214.95360825 159.04639175],0
n3,1,0.102444,2.66707,[2 3] ; [54 19],[3.58974359 1.41025641] ; [52.41025641 20.58974359],0
s8,1,0.121338,2.399966,[6 8] ; [236 137],[8.75452196 5.24547804] ; [233.24547804 139.75452196],0
n5,1,0.1261,2.339877,[9 5] ; [300  71],[11.23636364  2.76363636] ; [297.76363636  73.23636364],0
b1,1,0.160684,1.967778,[8 6] ; [144 230],[5.48453608 8.51546392] ; [146.51546392 227.48453608],0
p4,1,0.173907,1.848937,[12  2] ; [256 117],[9.69509044 4.30490956] ; [258.30490956 114.69509044],0
