Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,90.869929,[187 114] ; [ 2 79],[148.92408377 152.07591623] ; [40.07591623 40.92408377],1
d4,1,0.0,77.421081,[258  42] ; [31 49],[228.15789474  71.84210526] ; [60.84210526 19.15789474],1
d3,1,0.0,41.527972,[225  75] ; [30 51],[200.78740157  99.21259843] ; [54.21259843 26.78740157],1
a5,1,0.0,33.787109,[228  73] ; [34 47],[206.44502618  94.55497382] ; [55.55497382 25.44502618],1
r4,1,1.4e-05,18.886817,[274  27] ; [59 22],[262.39005236  38.60994764] ; [70.60994764 10.39005236],1
d2,1,3.1e-05,17.35962,[140 160] ; [17 64],[123.62204724 176.37795276] ; [33.37795276 47.62204724],1
a3,1,0.000235,13.529458,[212  88] ; [39 41],[198.15789474 101.84210526] ; [52.84210526 27.15789474],1
a7,1,0.000491,12.148545,[226  74] ; [45 36],[213.38582677  86.61417323] ; [57.61417323 23.38582677],1
n4,1,0.0006,11.775099,[234  67] ; [47 33],[221.99737533  79.00262467] ; [59.00262467 20.99737533],1
r3,1,0.000601,11.773277,[289  11] ; [69 11],[282.63157895  17.36842105] ; [75.36842105  4.63157895],1
p10,1,0.001266,10.391024,[242  55] ; [51 28],[231.43882979  65.56117021] ; [61.56117021 17.43882979],0
a4,1,0.003389,8.585026,[129 171] ; [20 60],[117.63157895 182.36842105] ; [31.36842105 48.63157895],0
a6,1,0.00565,7.658592,[219  82] ; [46 35],[208.80890052  92.19109948] ; [56.19109948 24.80890052],0
a2,1,0.005871,7.589364,[ 62 239] ; [ 6 75],[ 53.58115183 247.41884817] ; [14.41884817 66.58115183],0
s3,1,0.006509,7.40381,[ 65 233] ; [29 50],[ 74.30238727 223.69761273] ; [19.69761273 59.30238727],0
u1,1,0.006714,7.347829,[ 45 256] ; [ 3 78],[ 37.82198953 263.17801047] ; [10.17801047 70.82198953],0
p4,1,0.009174,6.788584,[180 120] ; [35 45],[169.73684211 130.26315789] ; [45.26315789 34.73684211],0
n5,1,0.011245,6.426219,[216  83] ; [46 34],[206.69656992  92.30343008] ; [55.30343008 24.69656992],0
r2,1,0.012666,6.215208,[275  21] ; [68 13],[269.30503979  26.69496021] ; [73.69496021  7.30503979],0
p3,1,0.021514,5.284699,[151 150] ; [29 52],[141.83246073 159.16753927] ; [38.16753927 42.83246073],0
r1,1,0.021704,5.269394,[239  60] ; [55 26],[231.33157895  67.66842105] ; [62.66842105 18.33157895],0
v2,1,0.026922,4.895797,[165 128] ; [32 44],[156.42547425 136.57452575] ; [40.57452575 35.42547425],0
v1,1,0.029263,4.752074,[163 134] ; [32 46],[154.44 142.56] ; [40.56 37.44],0
p11,1,0.08065,3.051756,[252  49] ; [61 20],[246.63089005  54.36910995] ; [66.36910995 14.63089005],0
b1,1,0.084063,2.984535,[ 99 202] ; [35 46],[105.58638743 195.41361257] ; [28.41361257 52.58638743],0
p9,1,0.087336,2.922804,[254  44] ; [61 18],[248.99204244  49.00795756] ; [66.00795756 12.99204244],0
u3,1,0.130149,2.290727,[46 42] ; [16 26],[41.96923077 46.03076923] ; [20.03076923 21.96923077],0
a8,1,0.135305,2.230554,[ 35 233] ; [ 5 69],[ 31.34502924 236.65497076] ; [ 8.65497076 65.34502924],0
v3,1,0.136645,2.215337,[104 189] ; [21 58],[ 98.45430108 194.54569892] ; [26.54569892 52.45430108],0
s6,1,0.145683,2.11688,[145 151] ; [31 47],[139.29411765 156.70588235] ; [36.70588235 41.29411765],0
n6,1,0.15006,2.071644,[248  53] ; [61 20],[243.47905759  57.52094241] ; [65.52094241 15.47905759],0
p8,1,0.197241,1.662684,[169 125] ; [39 40],[163.9463807 130.0536193] ; [44.0536193 34.9463807],0
p1,1,0.222837,1.486009,[ 21 279] ; [ 9 72],[ 23.62204724 276.37795276] ; [ 6.37795276 74.62204724],0
p6,1,0.238063,1.39203,[ 99 196] ; [21 58],[ 94.65240642 200.34759358] ; [25.34759358 53.65240642],0
s1,1,0.292165,1.109619,[  3 295] ; [ 2 77],[  3.95225464 294.04774536] ; [ 1.04774536 77.95225464],0
s5,1,0.302581,1.062785,[ 60 235] ; [12 67],[ 56.79144385 238.20855615] ; [15.20855615 63.79144385],0
p12,1,0.304196,1.055707,[ 11 286] ; [ 5 74],[ 12.63829787 284.36170213] ; [ 3.36170213 75.63829787],0
v4,1,0.316712,1.002475,[285  14] ; [74  6],[283.22163588  15.77836412] ; [75.77836412  4.22163588],0
u4,1,0.317843,0.9978,[  1 300] ; [ 1 80],[  1.57591623 299.42408377] ; [ 0.42408377 80.57591623],0
s4,1,0.348117,0.880309,[ 27 273] ; [10 70],[ 29.21052632 270.78947368] ; [ 7.78947368 72.21052632],0
a1,1,0.367653,0.811582,[  6 295] ; [ 3 78],[  7.09162304 293.90837696] ; [ 1.90837696 79.09162304],0
p7,1,0.535232,0.384448,[199  98] ; [50 29],[196.68351064 100.31648936] ; [52.31648936 26.68351064],0
u2,1,0.58472,0.298665,[48 41] ; [20 21],[46.55384615 42.44615385] ; [21.44615385 19.55384615],0
s8,1,0.601773,0.272331,[ 76 224] ; [18 62],[ 74.21052632 225.78947368] ; [19.78947368 60.21052632],0
b5,1,0.61191,0.257404,[184 117] ; [47 34],[182.01832461 118.98167539] ; [48.98167539 32.01832461],0
s7,1,0.632382,0.228845,[ 76 210] ; [22 53],[ 77.6398892 208.3601108] ; [20.3601108 54.6398892],0
b2,1,0.690208,0.158861,[ 63 113] ; [14 29],[ 61.88127854 114.11872146] ; [15.11872146 27.88127854],0
b3,1,0.690208,0.158861,[ 63 113] ; [14 29],[ 61.88127854 114.11872146] ; [15.11872146 27.88127854],0
n2,1,0.824166,0.049368,[47 21] ; [16  8],[46.56521739 21.43478261] ; [16.43478261  7.56521739],0
n1,1,0.842855,0.0393,[21 46] ; [ 7 17],[20.61538462 46.38461538] ; [ 7.38461538 16.61538462],0
p5,1,0.973752,0.001083,[ 30 270] ; [ 8 73],[ 29.92125984 270.07874016] ; [ 8.07874016 72.92125984],0
b4,1,0.984044,0.0004,[178 123] ; [48 33],[178.07853403 122.92146597] ; [47.92146597 33.07853403],0
n3,1,1.0,0.0,[51 17] ; [18  6],[51. 17.] ; [18.  6.],0
