Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.002888,8.87667,[142  29] ; [13 10],[136.62371134  34.37628866] ; [18.37628866  4.62371134],0
s6,1,0.017692,5.626372,[122  45] ; [22  1],[126.56842105  40.43157895] ; [17.43157895  5.56842105],0
n4,1,0.02002,5.410135,[150  21] ; [16  7],[146.31958763  24.68041237] ; [19.68041237  3.31958763],0
p4,1,0.029529,4.736504,[142  29] ; [14  8],[138.21761658  32.78238342] ; [17.78238342  4.21761658],0
p7,1,0.120247,2.414094,[145  23] ; [17  6],[142.4921466  25.5078534] ; [19.5078534  3.4921466],0
d5,1,0.128164,2.314599,[146  25] ; [16  6],[143.53367876  27.46632124] ; [18.46632124  3.53367876],0
u3,1,0.156586,2.00689,[23 17] ; [6 1],[24.68085106 15.31914894] ; [4.31914894 2.68085106],0
s4,1,0.162979,1.946363,[ 25 145] ; [ 6 17],[ 27.30569948 142.69430052] ; [ 3.69430052 19.30569948],0
u2,1,0.191477,1.706218,[24 16] ; [6 1],[25.53191489 14.46808511] ; [4.46808511 2.53191489],0
v1,1,0.200729,1.637066,[130  38] ; [15  8],[127.53926702  40.46073298] ; [17.46073298  5.53926702],0
a2,1,0.214197,1.54283,[ 51 120] ; [ 4 19],[ 48.47938144 122.52061856] ; [ 6.52061856 16.47938144],0
n5,1,0.222479,1.488307,[143  27] ; [17  6],[140.93264249  29.06735751] ; [19.06735751  3.93264249],0
s5,1,0.227975,1.453453,[66 95] ; [12 10],[68.62295082 92.37704918] ; [ 9.37704918 12.62295082],0
v3,1,0.261217,1.262295,[97 70] ; [10 12],[94.54497354 72.45502646] ; [12.45502646  9.54497354],0
d4,1,0.282832,1.153432,[147  24] ; [17  5],[145.30569948  25.69430052] ; [18.69430052  3.30569948],0
d3,1,0.29002,1.119531,[127  44] ; [14  8],[124.92746114  46.07253886] ; [16.07253886  5.92746114],0
u1,1,0.301853,1.065989,[ 47 124] ; [ 4 19],[ 44.95360825 126.04639175] ; [ 6.04639175 16.95360825],0
b4,1,0.33718,0.921124,[109  62] ; [17  6],[111.06185567  59.93814433] ; [14.93814433  8.06185567],0
n2,1,0.342782,0.9,[19 11] ; [5 1],[20. 10.] ; [4. 2.],0
p8,1,0.419075,0.652908,[117  52] ; [14  9],[115.30729167  53.69270833] ; [15.69270833  7.30729167],0
a3,1,0.428579,0.626672,[131  39] ; [16  7],[129.48186528  40.51813472] ; [17.51813472  5.48186528],0
p10,1,0.442799,0.589017,[150  20] ; [19  4],[148.86010363  21.13989637] ; [20.13989637  2.86010363],0
b3,1,0.466468,0.530331,[51 57] ; [ 6 10],[49.64516129 58.35483871] ; [7.35483871 8.64516129],0
b2,1,0.466468,0.530331,[51 57] ; [ 6 10],[49.64516129 58.35483871] ; [7.35483871 8.64516129],0
p3,1,0.530888,0.392692,[120  51] ; [14  8],[118.7253886  52.2746114] ; [15.2746114  6.7253886],0
n6,1,0.538856,0.377664,[153  16] ; [19  3],[152.18848168  16.81151832] ; [19.81151832  2.18848168],0
b5,1,0.54802,0.360877,[108  63] ; [16  7],[109.29896907  61.70103093] ; [14.70103093  8.29896907],0
p1,1,0.562525,0.33535,[ 22 148] ; [ 2 21],[ 21.13989637 148.86010363] ; [ 2.86010363 20.13989637],0
a5,1,0.597405,0.278928,[133  38] ; [19  4],[133.97938144  37.02061856] ; [18.02061856  4.97938144],0
r1,1,0.623259,0.241313,[141  30] ; [18  5],[140.14948454  30.85051546] ; [18.85051546  4.14948454],0
a8,1,0.643011,0.214826,[ 23 129] ; [ 4 17],[ 23.72254335 128.27745665] ; [ 3.27745665 17.72254335],0
d2,1,0.676331,0.174285,[93 78] ; [13  9],[93.91709845 77.08290155] ; [12.08290155  9.91709845],0
a7,1,0.688706,0.16049,[132  38] ; [17  6],[131.24352332  38.75647668] ; [17.75647668  5.24352332],0
s2,1,0.692979,0.15588,[103  66] ; [15  8],[103.86458333  65.13541667] ; [14.13541667  8.86458333],0
n1,1,0.697713,0.150862,[12 17] ; [3 3],[12.42857143 16.57142857] ; [2.57142857 3.42857143],0
s1,1,0.71526,0.13308,[  5 165] ; [ 1 22],[  5.28497409 164.71502591] ; [ 0.71502591 22.28497409],0
n3,1,0.719918,0.128571,[23  7] ; [5 1],[23.33333333  6.66666667] ; [4.66666667 1.33333333],0
b1,1,0.733186,0.116207,[ 68 103] ; [10 13],[ 68.75257732 102.24742268] ; [ 9.24742268 13.75257732],0
a6,1,0.749961,0.101564,[118  52] ; [16  6],[118.64583333  51.35416667] ; [15.35416667  6.64583333],0
s7,1,0.768659,0.086512,[104  56] ; [15  7],[104.61538462  55.38461538] ; [14.38461538  7.61538462],0
p12,1,0.794459,0.067873,[ 26 144] ; [ 4 19],[ 26.42487047 143.57512953] ; [ 3.57512953 19.42487047],0
s3,1,0.808559,0.058702,[100  69] ; [13 10],[99.46354167 69.53645833] ; [13.53645833  9.46354167],0
p5,1,0.827001,0.047764,[ 33 138] ; [ 4 19],[ 32.61340206 138.38659794] ; [ 4.38659794 18.61340206],0
u4,1,0.839468,0.041036,[  6 165] ; [ 1 22],[  6.17010309 164.82989691] ; [ 0.82989691 22.17010309],0
v4,1,0.847616,0.036926,[161   9] ; [22  1],[161.19170984   8.80829016] ; [21.80829016  1.19170984],0
r2,1,0.847616,0.036926,[161   9] ; [22  1],[161.19170984   8.80829016] ; [21.80829016  1.19170984],0
d1,1,0.890032,0.019117,[109  62] ; [15  8],[109.29896907  61.70103093] ; [14.70103093  8.29896907],0
r4,1,0.933666,0.006928,[157  14] ; [21  2],[156.89690722  14.10309278] ; [21.10309278  1.89690722],0
a1,1,0.933666,0.006928,[ 14 157] ; [ 2 21],[ 14.10309278 156.89690722] ; [ 1.89690722 21.10309278],0
p9,1,0.940097,0.005647,[156  14] ; [21  2],[155.90673575  14.09326425] ; [21.09326425  1.90673575],0
a4,1,0.948858,0.004114,[83 88] ; [11 12],[82.8556701 88.1443299] ; [11.1443299 11.8556701],0
r3,1,0.958548,0.002701,[163   7] ; [22  1],[162.95336788   7.04663212] ; [22.04663212  0.95336788],0
s8,1,0.976997,0.000831,[101  69] ; [13  9],[100.9375  69.0625] ; [13.0625  8.9375],0
