Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,76.074884,[356  22] ; [3 9],[347.95384615  30.04615385] ; [11.04615385  0.95384615],1
r2,1,0.0,51.420309,[366   9] ; [7 5],[361.43410853  13.56589147] ; [11.56589147  0.43410853],1
r1,1,7e-06,20.23799,[315  61] ; [4 8],[309.13402062  66.86597938] ; [9.86597938 2.13402062],1
d4,1,0.001702,9.845512,[334  43] ; [7 5],[330.48071979  46.51928021] ; [10.51928021  1.48071979],0
s6,1,0.019897,5.420906,[326  46] ; [7 4],[323.43603133  48.56396867] ; [9.56396867 1.43603133],0
s8,1,0.032444,4.574856,[240 137] ; [4 8],[236.47300771 140.52699229] ; [7.52699229 4.47300771],0
p8,1,0.040329,4.20399,[218 156] ; [3 8],[214.68571429 159.31428571] ; [6.31428571 4.68571429],0
a7,1,0.045083,4.015536,[284  92] ; [6 6],[281.03092784  94.96907216] ; [8.96907216 3.03092784],0
d1,1,0.075684,3.155241,[251 127] ; [5 7],[248.12307692 129.87692308] ; [7.87692308 4.12307692],0
d5,1,0.095589,2.777641,[318  58] ; [8 4],[315.91752577  60.08247423] ; [10.08247423  1.91752577],0
p7,1,0.1163,2.466458,[260 106] ; [6 6],[257.55555556 108.44444444] ; [8.44444444 3.55555556],0
a4,1,0.122171,2.389268,[180 198] ; [3 9],[177.36923077 200.63076923] ; [5.63076923 6.36923077],0
u2,1,0.14986,2.073674,[55 35] ; [1 3],[53.61702128 36.38297872] ; [2.38297872 1.61702128],0
b1,1,0.16863,1.895077,[146 232] ; [7 5],[148.29230769 229.70769231] ; [4.70769231 7.29230769],0
v3,1,0.201232,1.633409,[159 206] ; [3 9],[156.84350133 208.15649867] ; [5.15649867 6.84350133],0
b4,1,0.217698,1.519481,[216 162] ; [9 3],[218.07692308 159.92307692] ; [6.92307692 5.07692308],0
s7,1,0.219363,1.508532,[262 104] ; [6 5],[260.18037135 105.81962865] ; [7.81962865 3.18037135],0
d3,1,0.235167,1.409335,[278  99] ; [7 5],[276.20822622 100.79177378] ; [8.79177378 3.20822622],0
u1,1,0.244324,1.355469,[ 85 293] ; [ 1 11],[ 83.35384615 294.64615385] ; [2.64615385 9.35384615],0
v1,1,0.274591,1.193668,[210 155] ; [5 7],[208.15649867 156.84350133] ; [6.84350133 5.15649867],0
p11,1,0.28789,1.129463,[300  78] ; [8 4],[298.52307692  79.47692308] ; [9.47692308 2.52307692],0
n2,1,0.327685,0.958027,[60 16] ; [1 1],[59.43589744 16.56410256] ; [1.56410256 0.43589744],0
r3,1,0.372625,0.794892,[363  13] ; [11  1],[362.43298969  13.56701031] ; [11.56701031  0.43298969],0
a2,1,0.385953,0.751654,[106 272] ; [ 2 10],[104.67692308 273.32307692] ; [3.32307692 8.67692308],0
s5,1,0.39262,0.730811,[178 182] ; [4 7],[176.60377358 183.39622642] ; [5.39622642 5.60377358],0
p4,1,0.40982,0.679323,[262 115] ; [7 5],[260.70179949 116.29820051] ; [8.29820051 3.70179949],0
s1,1,0.419646,0.651306,[ 14 359] ; [ 1 11],[ 14.53246753 358.46753247] ; [ 0.46753247 11.53246753],0
d2,1,0.436827,0.604602,[200 177] ; [5 7],[198.67609254 178.32390746] ; [6.32390746 5.67609254],0
p3,1,0.451269,0.567463,[210 167] ; [8 4],[211.27506427 165.72493573] ; [6.72493573 5.27506427],0
a3,1,0.465443,0.532774,[286  91] ; [8 4],[284.93059126  92.06940874] ; [9.06940874 2.93059126],0
b5,1,0.472607,0.515873,[228 150] ; [6 6],[226.8 151.2] ; [7.2 4.8],0
n3,1,0.479007,0.501124,[56 21] ; [1 1],[55.55696203 21.44303797] ; [1.44303797 0.55696203],0
n6,1,0.515275,0.423341,[331  44] ; [9 2],[330.31088083  44.68911917] ; [9.68911917 1.31088083],0
v2,1,0.530337,0.393747,[209 154] ; [8 4],[210.056 152.944] ; [6.944 5.056],0
a6,1,0.538389,0.378534,[252 125] ; [7 5],[251.01028278 125.98971722] ; [7.98971722 4.01028278],0
