Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.002243,9.339216,[ 9 30] ; [56 53],[17.12837838 21.87162162] ; [47.87162162 61.12837838],0
p3,1,0.003812,8.371207,[ 7 32] ; [48 61],[14.49324324 24.50675676] ; [40.50675676 68.49324324],0
p7,1,0.007669,7.109229,[13 24] ; [63 41],[19.94326241 17.05673759] ; [56.05673759 47.94326241],0
a7,1,0.015575,5.850243,[21 19] ; [80 29],[27.11409396 12.88590604] ; [73.88590604 35.11409396],0
s6,1,0.017392,5.656424,[15 24] ; [66 43],[21.34459459 17.65540541] ; [59.65540541 49.34459459],0
p11,1,0.02277,5.185998,[19 21] ; [74 35],[24.96644295 15.03355705] ; [68.03355705 40.96644295],0
a6,1,0.024418,5.064697,[21 18] ; [80 29],[26.61486486 12.38513514] ; [74.38513514 34.61486486],0
p8,1,0.028341,4.807214,[10 30] ; [48 59],[15.78231293 24.21768707] ; [42.21768707 64.78231293],0
n4,1,0.0301,4.703592,[14 26] ; [60 49],[19.86577181 20.13422819] ; [54.13422819 54.86577181],0
p9,1,0.032458,4.574137,[22 17] ; [80 27],[27.24657534 11.75342466] ; [74.75342466 32.24657534],0
s1,1,0.064328,3.422135,[ 4 35] ; [  3 103],[ 1.88275862 37.11724138] ; [  5.11724138 100.88275862],0
p6,1,0.072759,3.219655,[ 5 33] ; [29 76],[ 9.03496503 28.96503497] ; [24.96503497 80.03496503],0
s5,1,0.117522,2.450036,[ 4 31] ; [25 80],[ 7.25 27.75] ; [21.75 83.25],0
u3,1,0.128452,2.311111,[12  1] ; [28 11],[10.  3.] ; [30.  9.],0
r4,1,0.133342,2.253158,[29 11] ; [91 18],[32.2147651  7.7852349] ; [87.7852349 21.2147651],0
p10,1,0.135009,2.233939,[21 18] ; [72 35],[24.84246575 14.15753425] ; [68.15753425 38.84246575],0
a8,1,0.146069,2.112832,[ 6 34] ; [ 7 92],[ 3.74100719 36.25899281] ; [ 9.25899281 89.74100719],0
d3,1,0.17331,1.854078,[22 17] ; [74 34],[25.46938776 13.53061224] ; [70.53061224 37.46938776],0
s4,1,0.179799,1.799289,[ 4 36] ; [21 88],[ 6.7114094 33.2885906] ; [18.2885906 90.7114094],0
s8,1,0.180233,1.795705,[10 30] ; [40 69],[13.42281879 26.57718121] ; [36.57718121 72.42281879],0
b4,1,0.185684,1.751534,[19 21] ; [65 44],[22.55033557 17.44966443] ; [61.44966443 47.55033557],0
a1,1,0.191416,1.706684,[ 3 37] ; [  3 106],[ 1.61073826 38.38926174] ; [  4.38926174 104.61073826],0
d5,1,0.222684,1.486989,[27 12] ; [86 23],[29.77702703  9.22297297] ; [83.22297297 25.77702703],0
r3,1,0.232687,1.424361,[34  6] ; [99  9],[35.94594595  4.05405405] ; [97.05405405 10.94594595],0
a4,1,0.238348,1.39034,[17 23] ; [35 74],[13.95973154 26.04026846] ; [38.04026846 70.95973154],0
b5,1,0.304783,1.053148,[22 18] ; [70 39],[24.69798658 15.30201342] ; [67.30201342 41.69798658],0
r2,1,0.317875,0.997671,[34  6] ; [98 10],[35.67567568  4.32432432] ; [96.32432432 11.67567568],0
v1,1,0.320444,0.987132,[15 25] ; [49 56],[17.65517241 22.34482759] ; [46.34482759 58.65517241],0
d4,1,0.365408,0.81922,[28 11] ; [86 23],[30.04054054  8.95945946] ; [83.95945946 25.04054054],0
n2,1,0.391039,0.73571,[14  7] ; [24  7],[15.34615385  5.65384615] ; [22.65384615  8.34615385],0
u1,1,0.406655,0.688558,[ 2 38] ; [10 99],[ 3.22147651 36.77852349] ; [  8.77852349 100.22147651],0
u2,1,0.447185,0.577778,[11  2] ; [29 10],[10.  3.] ; [30.  9.],0
p5,1,0.452099,0.565385,[ 1 38] ; [  6 102],[ 1.85714286 37.14285714] ; [  5.14285714 102.85714286],0
s2,1,0.460168,0.545487,[19 21] ; [44 64],[17.02702703 22.97297297] ; [45.97297297 62.02702703],0
b3,1,0.531967,0.390632,[ 7 16] ; [14 45],[ 5.8902439 17.1097561] ; [15.1097561 43.8902439],0
b2,1,0.531967,0.390632,[ 7 16] ; [14 45],[ 5.8902439 17.1097561] ; [15.1097561 43.8902439],0
s7,1,0.559911,0.339859,[11 25] ; [37 66],[12.43165468 23.56834532] ; [35.56834532 67.43165468],0
p1,1,0.604331,0.268513,[ 2 38] ; [  8 100],[ 2.7027027 37.2972973] ; [  7.2972973 100.7027027],0
n1,1,0.630428,0.231481,[ 8 12] ; [10 20],[ 7.2 12.8] ; [10.8 19.2],0
a3,1,0.635306,0.224934,[27 13] ; [69 40],[25.77181208 14.22818792] ; [70.22818792 38.77181208],0
d1,1,0.641362,0.216965,[17 23] ; [51 58],[18.25503356 21.74496644] ; [49.74496644 59.25503356],0
n3,1,0.659027,0.194707,[13  6] ; [23  8],[13.68  5.32] ; [22.32  8.68],0
r1,1,0.669049,0.182716,[29 11] ; [82 26],[30. 10.] ; [81. 27.],0
v2,1,0.710275,0.138003,[16 20] ; [49 53],[16.95652174 19.04347826] ; [48.04347826 53.95652174],0
v3,1,0.75206,0.099808,[ 9 27] ; [28 73],[ 9.72262774 26.27737226] ; [27.27737226 73.72262774],0
n5,1,0.787433,0.072709,[16 23] ; [47 61],[16.71428571 22.28571429] ; [46.28571429 61.71428571],0
b1,1,0.82518,0.048791,[21 19] ; [55 54],[20.40268456 19.59731544] ; [55.59731544 53.40268456],0
d2,1,0.844869,0.038287,[15 24] ; [40 69],[14.49324324 24.50675676] ; [40.50675676 68.49324324],0
s3,1,0.851573,0.035011,[22 18] ; [57 50],[21.49659864 18.50340136] ; [57.50340136 49.49659864],0
a5,1,0.908543,0.013197,[25 15] ; [67 42],[24.69798658 15.30201342] ; [67.30201342 41.69798658],0
a2,1,0.928856,0.007972,[ 6 34] ; [17 92],[ 6.17449664 33.82550336] ; [16.82550336 92.17449664],0
p12,1,0.937443,0.00616,[ 1 38] ; [  3 104],[ 1.06849315 37.93150685] ; [  2.93150685 104.06849315],0
