Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,2.2e-05,18.01418,[16 76] ; [18 14],[25.22580645 66.77419355] ; [ 8.77419355 23.22580645],1
p8,1,2.5e-05,17.751586,[11 82] ; [15 17],[19.344 73.656] ; [ 6.656 25.344],1
p4,1,8.8e-05,15.38263,[14 77] ; [16 16],[22.19512195 68.80487805] ; [ 7.80487805 24.19512195],1
p6,1,0.002627,9.050062,[ 7 86] ; [ 9 23],[11.904 81.096] ; [ 4.096 27.904],0
r4,1,0.010597,6.531664,[56 38] ; [27  5],[61.92063492 32.07936508] ; [21.07936508 10.92063492],0
n2,1,0.01175,6.348157,[21 20] ; [11  1],[24.75471698 16.24528302] ; [7.24528302 4.75471698],0
s6,1,0.026565,4.918833,[32 62] ; [18 14],[37.3015873 56.6984127] ; [12.6984127 19.3015873],0
n3,1,0.034877,4.451201,[18 19] ; [10  2],[21.14285714 15.85714286] ; [6.85714286 5.14285714],0
r3,1,0.065703,3.387248,[67 27] ; [28  4],[70.87301587 23.12698413] ; [24.12698413  7.87301587],0
a5,1,0.099351,2.715939,[52 42] ; [23  9],[55.95238095 38.04761905] ; [19.04761905 12.95238095],0
p1,1,0.109659,2.559127,[ 6 88] ; [ 5 27],[ 8.20634921 85.79365079] ; [ 2.79365079 29.20634921],0
v4,1,0.115527,2.476937,[66 28] ; [27  5],[69.38095238 24.61904762] ; [23.61904762  8.38095238],0
v2,1,0.118611,2.435563,[31 56] ; [16 15],[34.65254237 52.34745763] ; [12.34745763 18.65254237],0
s3,1,0.135782,2.225121,[27 65] ; [14 18],[30.41935484 61.58064516] ; [10.58064516 21.41935484],0
p5,1,0.160441,1.970067,[ 3 90] ; [ 3 29],[ 4.464 88.536] ; [ 1.536 30.464],0
p10,1,0.163333,1.943095,[41 50] ; [19 13],[44.3902439 46.6097561] ; [15.6097561 16.3902439],0
d3,1,0.165298,1.925077,[51 42] ; [13 19],[47.616 45.384] ; [16.384 15.616],0
n6,1,0.172724,1.85914,[57 37] ; [23  8],[60.16 33.84] ; [19.84 11.16],0
r2,1,0.178458,1.810421,[73 18] ; [29  3],[75.46341463 15.53658537] ; [26.53658537  5.46341463],0
s2,1,0.187286,1.738835,[21 72] ; [11 21],[23.808 69.192] ; [ 8.192 23.808],0
b3,1,0.191671,1.704728,[22 37] ; [ 4 15],[19.66666667 39.33333333] ; [ 6.33333333 12.66666667],0
b2,1,0.191671,1.704728,[22 37] ; [ 4 15],[19.66666667 39.33333333] ; [ 6.33333333 12.66666667],0
n4,1,0.213958,1.544441,[56 38] ; [23  9],[58.93650794 35.06349206] ; [20.06349206 11.93650794],0
p9,1,0.272213,1.205559,[40 49] ; [18 14],[42.66115702 46.33884298] ; [15.33884298 16.66115702],0
u3,1,0.299358,1.077054,[17 21] ; [3 8],[15.51020408 22.48979592] ; [4.48979592 6.51020408],0
p11,1,0.299366,1.077018,[40 54] ; [17 15],[42.52380952 51.47619048] ; [14.47619048 17.52380952],0
r1,1,0.304773,1.053191,[55 39] ; [22 10],[57.44444444 36.55555556] ; [19.55555556 12.44444444],0
u2,1,0.382329,0.763201,[19 18] ; [4 7],[17.72916667 19.27083333] ; [5.27083333 5.72916667],0
n5,1,0.389923,0.739183,[56 37] ; [22 10],[58.032 34.968] ; [19.968 12.032],0
n1,1,0.432948,0.614902,[18 21] ; [4 8],[16.82352941 22.17647059] ; [5.17647059 6.82352941],0
b4,1,0.478334,0.50266,[52 42] ; [20 12],[53.71428571 40.28571429] ; [18.28571429 13.71428571],0
s5,1,0.486304,0.484695,[16 75] ; [ 7 23],[17.29752066 73.70247934] ; [ 5.70247934 24.29752066],0
v3,1,0.512642,0.42867,[23 65] ; [10 21],[24.40336134 63.59663866] ; [ 8.59663866 22.40336134],0
a3,1,0.587303,0.294576,[56 37] ; [21 11],[57.288 35.712] ; [19.712 12.288],0
b1,1,0.676919,0.173614,[51 43] ; [16 16],[49.98412698 44.01587302] ; [17.01587302 14.98412698],0
u4,1,0.749245,0.102167,[ 2 92] ; [ 1 31],[ 2.23809524 91.76190476] ; [ 0.76190476 31.23809524],0
s7,1,0.75149,0.100283,[23 67] ; [ 8 20],[23.6440678 66.3559322] ; [ 7.3559322 20.6440678],0
a2,1,0.751525,0.100254,[17 77] ; [ 5 27],[16.41269841 77.58730159] ; [ 5.58730159 26.41269841],0
b5,1,0.754868,0.097485,[50 44] ; [16 16],[49.23809524 44.76190476] ; [16.76190476 15.23809524],0
a4,1,0.764155,0.090017,[35 58] ; [13 19],[35.712 57.288] ; [12.288 19.712],0
u1,1,0.772243,0.083777,[10 84] ; [ 4 28],[10.44444444 83.55555556] ; [ 3.55555556 28.44444444],0
d2,1,0.797139,0.066076,[44 48] ; [14 17],[43.38211382 48.61788618] ; [14.61788618 16.38211382],0
d4,1,0.797451,0.065868,[69 24] ; [23  9],[68.448 24.552] ; [23.552  8.448],0
a6,1,0.813778,0.055486,[53 40] ; [19 13],[53.568 39.432] ; [18.432 13.568],0
p12,1,0.82038,0.051555,[ 7 87] ; [ 2 30],[ 6.71428571 87.28571429] ; [ 2.28571429 29.71428571],0
s4,1,0.823928,0.049504,[16 78] ; [ 6 26],[16.41269841 77.58730159] ; [ 5.58730159 26.41269841],0
d5,1,0.828582,0.046881,[62 31] ; [22 10],[62.496 30.504] ; [21.504 10.496],0
a8,1,0.881723,0.022137,[ 8 83] ; [ 3 28],[ 8.20491803 82.79508197] ; [ 2.79508197 28.20491803],0
s1,1,0.894105,0.017719,[ 8 85] ; [ 3 29],[ 8.184 84.816] ; [ 2.816 29.184],0
d1,1,0.922273,0.00952,[45 49] ; [15 17],[44.76190476 49.23809524] ; [15.23809524 16.76190476],0
a7,1,0.931639,0.007359,[55 39] ; [19 13],[55.20634921 38.79365079] ; [18.79365079 13.20634921],0
s8,1,0.956378,0.002992,[21 73] ; [ 7 25],[20.88888889 73.11111111] ; [ 7.11111111 24.88888889],0
a1,1,0.973514,0.001102,[ 9 85] ; [ 3 29],[ 8.95238095 85.04761905] ; [ 3.04761905 28.95238095],0
