Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a4,1,0.0,35.283247,[ 9 52] ; [60 35],[26.98076923 34.01923077] ; [42.01923077 52.98076923],1
a3,1,0.0,28.310034,[24 37] ; [77 18],[39.49358974 21.50641026] ; [61.50641026 33.49358974],1
d2,1,2e-06,22.195231,[17 44] ; [62 31],[31.29220779 29.70779221] ; [47.70779221 45.29220779],1
d1,1,3e-06,21.948073,[16 45] ; [62 34],[30.30573248 30.69426752] ; [47.69426752 48.30573248],1
a6,1,4e-06,21.448671,[20 41] ; [67 28],[34.01923077 26.98076923] ; [52.98076923 42.01923077],1
d5,1,3.2e-05,17.271991,[31 30] ; [78 17],[42.62179487 18.37820513] ; [66.37820513 28.62179487],1
d4,1,0.003319,8.623296,[38 23] ; [79 16],[45.75 15.25] ; [71.25 23.75],0
a7,1,0.006515,7.401955,[27 34] ; [63 32],[35.19230769 25.80769231] ; [54.80769231 40.19230769],0
s8,1,0.007934,7.048324,[12 49] ; [38 57],[19.55128205 41.44871795] ; [30.44871795 64.55128205],0
d3,1,0.009814,6.668409,[25 36] ; [59 36],[32.84615385 28.15384615] ; [51.15384615 43.84615385],0
s7,1,0.010543,6.540805,[14 44] ; [40 49],[21.30612245 36.69387755] ; [32.69387755 56.30612245],0
s5,1,0.010841,6.491168,[ 6 50] ; [26 65],[12.19047619 43.80952381] ; [19.80952381 71.19047619],0
n4,1,0.067611,3.340087,[35 26] ; [68 27],[40.27564103 20.72435897] ; [62.72435897 32.27564103],0
p9,1,0.06864,3.315244,[25 32] ; [55 38],[30.4 26.6] ; [49.6 43.4],0
p10,1,0.108884,2.570343,[24 34] ; [52 43],[28.81045752 29.18954248] ; [47.18954248 47.81045752],0
v2,1,0.109908,2.555547,[19 38] ; [42 48],[23.65306122 33.34693878] ; [37.34693878 52.65306122],0
p3,1,0.112369,2.520587,[10 51] ; [26 69],[14.07692308 46.92307692] ; [21.92307692 73.07692308],0
r2,1,0.128666,2.30852,[49 12] ; [82 10],[52.22875817  8.77124183] ; [78.77124183 13.22875817],0
n5,1,0.137847,2.201827,[34 26] ; [65 30],[38.32258065 21.67741935] ; [60.67741935 34.32258065],0
p1,1,0.161042,1.96441,[ 3 58] ; [11 85],[ 5.43949045 55.56050955] ; [ 8.56050955 87.43949045],0
a1,1,0.169837,1.884379,[ 4 57] ; [13 83],[ 6.60509554 54.39490446] ; [10.39490446 85.60509554],0
v4,1,0.192416,1.699021,[44 17] ; [77 18],[47.31410256 13.68589744] ; [73.68589744 21.31410256],0
b2,1,0.204894,1.607143,[11 24] ; [31 39],[14. 21.] ; [28. 42.],0
