Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,0.0,49.694996,[31 40] ; [252  50],[53.86863271 17.13136729] ; [229.13136729  72.86863271],1
p9,1,0.0,46.662182,[33 37] ; [253  45],[54.40217391 15.59782609] ; [231.59782609  66.40217391],1
p10,1,0.0,45.886943,[30 40] ; [246  54],[52.21621622 17.78378378] ; [223.78378378  76.21621622],1
r3,1,0.0,42.507784,[53 18] ; [291   9],[65.8328841  5.1671159] ; [278.1671159  21.8328841],1
r4,1,0.0,35.923198,[46 25] ; [277  25],[61.48257373  9.51742627] ; [261.51742627  40.48257373],1
p7,1,0.0,28.560222,[19 50] ; [187 110],[38.83606557 30.16393443] ; [167.16393443 129.83606557],1
p8,1,1e-06,24.635707,[15 56] ; [160 137],[33.76358696 37.23641304] ; [141.23641304 155.76358696],1
v4,1,1.6e-05,18.640999,[57 14] ; [286  14],[65.64150943  5.35849057] ; [277.35849057  22.64150943],1
p4,1,2.1e-05,18.131654,[20 50] ; [171 130],[36.03773585 33.96226415] ; [154.96226415 146.03773585],1
r1,1,3.7e-05,17.018992,[41 30] ; [241  57],[54.2601626 16.7398374] ; [227.7398374  70.2601626],1
v1,1,5e-05,16.465438,[19 52] ; [157 136],[34.32967033 36.67032967] ; [141.67032967 151.32967033],1
a1,1,7.1e-05,15.788965,[ 8 63] ; [  5 297],[ 2.47453083 68.52546917] ; [ 10.52546917 291.47453083],1
p3,1,0.000242,13.473261,[15 55] ; [137 165],[28.60215054 41.39784946] ; [123.39784946 178.60215054],1
s1,1,0.000361,12.723184,[ 5 65] ; [  2 296],[ 1.33152174 68.66847826] ; [  5.66847826 292.33152174],1
n6,1,0.001068,10.705404,[45 25] ; [247  54],[55.09433962 14.90566038] ; [236.90566038  64.09433962],0
p6,1,0.001336,10.292626,[ 8 61] ; [ 91 206],[18.66393443 50.33606557] ; [ 80.33606557 216.66393443],0
a7,1,0.004888,7.92048,[46 25] ; [241  59],[54.9245283 16.0754717] ; [232.0754717  67.9245283],0
a6,1,0.005343,7.759612,[40 31] ; [221  81],[49.68096515 21.31903485] ; [211.31903485  90.68096515],0
s6,1,0.007478,7.15441,[26 44] ; [162 133],[36.05479452 33.94520548] ; [151.94520548 143.05479452],0
d3,1,0.012413,6.250893,[42 29] ; [223  78],[50.57795699 20.42204301] ; [214.42204301  86.57795699],0
r2,1,0.014033,6.034032,[59  9] ; [282  15],[63.52876712  4.47123288] ; [277.47123288  19.52876712],0
n5,1,0.026369,4.931661,[41 30] ; [214  86],[48.80053908 22.19946092] ; [206.19946092  93.80053908],0
n3,1,0.032481,4.572951,[15 12] ; [52 15],[19.24468085  7.75531915] ; [47.75531915 19.24468085],0
u4,1,0.035237,4.433631,[ 2 69] ; [  1 300],[ 0.57258065 70.42741935] ; [  2.42741935 298.57258065],0
n2,1,0.049277,3.865907,[15 13] ; [49 17],[19.06382979  8.93617021] ; [44.93617021 21.06382979],0
s8,1,0.064301,3.422818,[ 9 61] ; [ 69 233],[14.67741935 55.32258065] ; [ 63.32258065 238.67741935],0
s3,1,0.067446,3.344107,[19 51] ; [115 181],[25.6284153 44.3715847] ; [108.3715847 187.6284153],0
n4,1,0.069808,3.287534,[44 27] ; [220  82],[50.25201072 20.74798928] ; [213.74798928  88.25201072],0
a5,1,0.13931,2.185561,[47 24] ; [226  76],[51.96514745 19.03485255] ; [221.03485255  80.96514745],0
v3,1,0.167634,1.903972,[16 51] ; [ 94 195],[20.70224719 46.29775281] ; [ 89.29775281 199.70224719],0
v2,1,0.232948,1.422769,[32 36] ; [157 128],[36.40793201 31.59206799] ; [152.59206799 132.40793201],0
b4,1,0.233904,1.416961,[39 32] ; [189 113],[43.39946381 27.60053619] ; [184.60053619 117.39946381],0
b1,1,0.237612,1.394707,[30 41] ; [105 197],[25.69705094 45.30294906] ; [109.30294906 192.69705094],0
u1,1,0.298566,1.080588,[ 7 64] ; [ 44 258],[ 9.7077748 61.2922252] ; [ 41.2922252 260.7077748],0
a8,1,0.315956,1.005613,[ 5 63] ; [ 32 245],[ 7.29275362 60.70724638] ; [ 29.70724638 247.29275362],0
s2,1,0.348473,0.879009,[17 54] ; [ 88 210],[20.20325203 50.79674797] ; [ 84.79674797 213.20325203],0
s4,1,0.353352,0.861381,[11 58] ; [ 35 261],[ 8.69589041 60.30410959] ; [ 37.30410959 258.69589041],0
a2,1,0.355801,0.85266,[12 59] ; [ 66 236],[14.84718499 56.15281501] ; [ 63.15281501 238.84718499],0
p5,1,0.395954,0.72058,[ 3 68] ; [ 21 280],[ 4.58064516 66.41935484] ; [ 19.41935484 281.58064516],0
s5,1,0.423634,0.640213,[13 54] ; [ 70 222],[15.4902507 51.5097493] ; [ 67.5097493 224.4902507],0
p12,1,0.428893,0.625818,[ 2 69] ; [ 15 285],[ 3.25336927 67.74663073] ; [ 13.74663073 286.25336927],0
a4,1,0.460857,0.543812,[34 36] ; [132 170],[31.23655914 38.76344086] ; [134.76344086 167.23655914],0
d1,1,0.497775,0.459678,[44 27] ; [200 102],[46.44504021 24.55495979] ; [197.55495979 104.44504021],0
d2,1,0.646695,0.210092,[35 34] ; [143 157],[33.28455285 35.71544715] ; [144.71544715 155.28455285],0
a3,1,0.666336,0.185917,[48 23] ; [196 106],[46.44504021 24.55495979] ; [197.55495979 104.44504021],0
p1,1,0.666756,0.18542,[ 6 65] ; [ 21 280],[ 5.15322581 65.84677419] ; [ 21.84677419 279.15322581],0
d4,1,0.699965,0.148508,[63  8] ; [262  39],[62.02956989  8.97043011] ; [262.97043011  38.02956989],0
b2,1,0.840047,0.040737,[14 27] ; [ 51 106],[13.45959596 27.54040404] ; [ 51.54040404 105.45959596],0
b3,1,0.840047,0.040737,[14 27] ; [ 51 106],[13.45959596 27.54040404] ; [ 51.54040404 105.45959596],0
u2,1,0.871977,0.025969,[11 11] ; [55 51],[11.34375 10.65625] ; [54.65625 51.34375],0
n1,1,0.895636,0.017207,[ 9 19] ; [20 45],[ 8.7311828 19.2688172] ; [20.2688172 44.7311828],0
