Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,26.541667,[22 30] ; [86 18],[36. 16.] ; [72. 32.],1
p11,1,0.0,26.280717,[19 39] ; [77 27],[34.37037037 23.62962963] ; [61.62962963 42.37037037],1
v4,1,1e-06,24.785779,[32 26] ; [93 11],[44.75308642 13.24691358] ; [80.24691358 23.75308642],1
p10,1,2e-06,22.698085,[19 37] ; [75 28],[33.10691824 22.89308176] ; [60.89308176 42.10691824],1
r3,1,5.7e-05,16.186914,[33 25] ; [88 15],[43.59006211 14.40993789] ; [77.40993789 25.59006211],1
p4,1,0.000131,14.623775,[11 47] ; [51 52],[22.33540373 35.66459627] ; [39.66459627 63.33540373],1
p7,1,0.000255,13.372516,[14 44] ; [55 47],[25.0125 32.9875] ; [43.9875 58.0125],1
r4,1,0.001047,10.742706,[19 39] ; [62 42],[29. 29.] ; [52. 52.],0
n6,1,0.003046,8.779413,[33 24] ; [83 21],[41.06832298 15.93167702] ; [74.93167702 29.06832298],0
p8,1,0.003515,8.519007,[11 46] ; [43 59],[19.35849057 37.64150943] ; [34.64150943 67.35849057],0
s6,1,0.003609,8.47082,[14 44] ; [48 53],[22.6163522 35.3836478] ; [39.3836478 61.6163522],0
d2,1,0.007934,7.048421,[28 28] ; [30 74],[20.3 35.7] ; [37.7 66.3],0
p1,1,0.008757,6.871782,[ 9 49] ; [  4 100],[ 4.65432099 53.34567901] ; [ 8.34567901 95.65432099],0
a1,1,0.020031,5.409149,[ 9 49] ; [ 5 99],[ 5.01234568 52.98765432] ; [ 8.98765432 95.01234568],0
p6,1,0.021342,5.298616,[ 6 50] ; [27 76],[11.62264151 44.37735849] ; [21.37735849 81.62264151],0
p3,1,0.023881,5.103255,[12 45] ; [40 64],[18.40993789 38.59006211] ; [33.59006211 70.40993789],0
a5,1,0.046348,3.968898,[34 24] ; [44 60],[27.92592593 30.07407407] ; [50.07407407 53.92592593],0
s5,1,0.049458,3.859756,[ 6 50] ; [24 78],[10.63291139 45.36708861] ; [19.36708861 82.63291139],0
v1,1,0.055568,3.664963,[14 43] ; [40 61],[19.48101266 37.51898734] ; [34.51898734 66.48101266],0
a3,1,0.062335,3.474133,[37 21] ; [50 53],[31.34161491 26.65838509] ; [55.65838509 47.34161491],0
