Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p6,1,1e-06,25.092507,[22 21] ; [12 87],[10.29577465 32.70422535] ; [23.70422535 75.29577465],1
p4,1,2e-06,22.64232,[29 14] ; [25 74],[16.35211268 26.64788732] ; [37.64788732 61.35211268],1
p8,1,0.000459,12.276155,[20 23] ; [18 81],[11.50704225 31.49295775] ; [26.49295775 72.50704225],1
p1,1,0.00114,10.585597,[ 8 35] ; [ 3 99],[ 3.26206897 39.73793103] ; [ 7.73793103 94.26206897],0
p7,1,0.001478,10.106098,[26 17] ; [32 68],[17.44055944 25.55944056] ; [40.55944056 59.44055944],0
r4,1,0.005186,7.813352,[36  7] ; [61 41],[28.76551724 14.23448276] ; [68.23448276 33.76551724],0
s3,1,0.00633,7.453736,[27 16] ; [38 62],[19.54545455 23.45454545] ; [45.45454545 54.54545455],0
s2,1,0.008602,6.903719,[23 20] ; [31 71],[16.0137931 26.9862069] ; [37.9862069 64.0137931],0
s6,1,0.012769,6.20079,[27 16] ; [41 61],[20.16551724 22.83448276] ; [47.83448276 54.16551724],0
s5,1,0.022256,5.225689,[14 26] ; [17 82],[ 8.92086331 31.07913669] ; [22.07913669 76.92086331],0
s7,1,0.037155,4.343275,[17 20] ; [26 70],[11.96240602 25.03759398] ; [31.03759398 64.96240602],0
r3,1,0.044374,4.042274,[36  6] ; [71 31],[31.20833333 10.79166667] ; [75.79166667 26.20833333],0
p5,1,0.0458,3.988918,[ 4 39] ; [ 2 98],[ 1.8041958 41.1958042] ; [ 4.1958042 95.8041958],0
p2,1,0.046747,3.954459,[28 15] ; [48 54],[22.53793103 20.46206897] ; [53.46206897 48.53793103],0
a6,1,0.060448,3.525042,[20 23] ; [64 37],[25.08333333 17.91666667] ; [58.91666667 42.08333333],0
n3,1,0.066193,3.375,[11  3] ; [25 24],[8. 6.] ; [28. 21.],0
n2,1,0.094883,2.789518,[11  3] ; [28 24],[8.27272727 5.72727273] ; [30.72727273 21.27272727],0
d4,1,0.101742,2.678029,[35  8] ; [68 32],[30.97202797 12.02797203] ; [72.02797203 27.97202797],0
n4,1,0.119041,2.429891,[30 13] ; [57 45],[25.8 17.2] ; [61.2 40.8],0
s4,1,0.123792,2.368681,[13 30] ; [19 83],[ 9.48965517 33.51034483] ; [22.51034483 79.48965517],0
a7,1,0.151092,2.061196,[24 19] ; [69 32],[27.77083333 15.22916667] ; [65.22916667 35.77083333],0
d1,1,0.151335,2.058739,[25 18] ; [46 56],[21.05517241 21.94482759] ; [49.94482759 52.05517241],0
a2,1,0.160178,1.972543,[ 5 38] ; [22 80],[ 8.00689655 34.99310345] ; [18.99310345 83.00689655],0
b3,1,0.161256,1.962407,[ 6 20] ; [21 33],[ 8.775 17.225] ; [18.225 35.775],0
b2,1,0.161256,1.962407,[ 6 20] ; [21 33],[ 8.775 17.225] ; [18.225 35.775],0
d2,1,0.183057,1.772629,[25 18] ; [46 54],[21.34965035 21.65034965] ; [49.65034965 50.34965035],0
b4,1,0.231041,1.434443,[27 16] ; [53 49],[23.72413793 19.27586207] ; [56.27586207 45.72413793],0
s8,1,0.26548,1.239955,[13 30] ; [22 80],[10.37931034 32.62068966] ; [24.62068966 77.37931034],0
v4,1,0.277338,1.180088,[37  6] ; [79 22],[34.63888889  8.36111111] ; [81.36111111 19.63888889],0
u3,1,0.342614,0.900627,[8 7] ; [14 22],[6.47058824 8.52941176] ; [15.52941176 20.47058824],0
n1,1,0.342622,0.900595,[7 7] ; [18 32],[5.46875 8.53125] ; [19.53125 30.46875],0
