Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.031807,4.608886,[ 4 15] ; [9 7],[ 7.05714286 11.94285714] ; [ 5.94285714 10.05714286],0
b3,1,0.068733,3.31303,[8 7] ; [2 9],[5.76923077 9.23076923] ; [4.23076923 6.76923077],0
b2,1,0.068733,3.31303,[8 7] ; [2 9],[5.76923077 9.23076923] ; [4.23076923 6.76923077],0
p4,1,0.147302,2.099974,[13  7] ; [ 7 10],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
n1,1,0.196706,1.666667,[4 2] ; [1 3],[3. 3.] ; [2. 2.],0
d3,1,0.230659,1.436791,[ 9 11] ; [11  6],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
d2,1,0.253605,1.303337,[12  8] ; [ 7 10],[10.27027027  9.72972973] ; [8.72972973 8.27027027],0
p1,1,0.265854,1.238014,[ 2 18] ; [ 4 13],[ 3.24324324 16.75675676] ; [ 2.75675676 14.24324324],0
a3,1,0.286308,1.136902,[14  6] ; [9 8],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
p9,1,0.288581,1.12623,[17  3] ; [12  5],[15.67567568  4.32432432] ; [13.32432432  3.67567568],0
d5,1,0.294859,1.097304,[15  5] ; [10  7],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
r1,1,0.294859,1.097304,[15  5] ; [10  7],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
s2,1,0.329889,0.949333,[11  9] ; [12  5],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
p11,1,0.329889,0.949333,[11  9] ; [12  5],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
p12,1,0.373415,0.792268,[ 3 17] ; [ 1 16],[ 2.16216216 17.83783784] ; [ 1.83783784 15.16216216],0
s4,1,0.382777,0.761765,[ 6 14] ; [ 3 14],[ 4.86486486 15.13513514] ; [ 4.13513514 12.86486486],0
u3,1,0.393153,0.729167,[5 1] ; [5 3],[4.28571429 1.71428571] ; [5.71428571 2.28571429],0
d1,1,0.431176,0.619654,[12  8] ; [8 9],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
v2,1,0.440068,0.596104,[14  6] ; [8 6],[12.94117647  7.05882353] ; [9.05882353 4.94117647],0
a5,1,0.477897,0.503658,[14  6] ; [10  7],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
p5,1,0.497727,0.459779,[ 2 18] ; [ 3 14],[ 2.7027027 17.2972973] ; [ 2.2972973 14.7027027],0
b5,1,0.50137,0.452036,[12  8] ; [12  5],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
n4,1,0.50137,0.452036,[12  8] ; [12  5],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
n5,1,0.50137,0.452036,[12  8] ; [12  5],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
b4,1,0.50137,0.452036,[12  8] ; [12  5],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
p8,1,0.591465,0.288062,[10 10] ; [10  7],[10.81081081  9.18918919] ; [9.18918919 7.81081081],0
d4,1,0.658725,0.195076,[14  6] ; [13  4],[14.59459459  5.40540541] ; [12.40540541  4.59459459],0
a8,1,0.72739,0.121522,[ 3 16] ; [ 2 15],[ 2.63888889 16.36111111] ; [ 2.36111111 14.63888889],0
p7,1,0.73173,0.117529,[14  6] ; [11  6],[13.51351351  6.48648649] ; [11.48648649  5.51351351],0
a6,1,0.768651,0.086518,[12  8] ; [11  6],[12.43243243  7.56756757] ; [10.56756757  6.43243243],0
n3,1,0.77816,0.079365,[4 2] ; [3 1],[4.2 1.8] ; [2.8 1.2],0
s6,1,0.812524,0.05625,[18  2] ; [14  2],[17.77777778  2.22222222] ; [14.22222222  1.77777778],0
v1,1,0.815019,0.054736,[11  9] ; [10  7],[11.35135135  8.64864865] ; [9.64864865 7.35135135],0
s7,1,0.820596,0.051429,[12  8] ; [9 7],[11.66666667  8.33333333] ; [9.33333333 6.66666667],0
n6,1,0.855494,0.033165,[16  4] ; [14  3],[16.21621622  3.78378378] ; [13.78378378  3.21621622],0
b1,1,0.858424,0.03182,[10 10] ; [9 8],[10.27027027  9.72972973] ; [8.72972973 8.27027027],0
r4,1,0.86322,0.029679,[18  2] ; [15  2],[17.83783784  2.16216216] ; [15.16216216  1.83783784],0
u1,1,0.86322,0.029679,[ 2 18] ; [ 2 15],[ 2.16216216 17.83783784] ; [ 1.83783784 15.16216216],0
a2,1,0.86322,0.029679,[ 2 18] ; [ 2 15],[ 2.16216216 17.83783784] ; [ 1.83783784 15.16216216],0
u2,1,0.872081,0.025926,[4 2] ; [5 3],[3.85714286 2.14285714] ; [5.14285714 2.85714286],0
a4,1,0.900339,0.015683,[ 9 11] ; [8 9],[ 9.18918919 10.81081081] ; [7.81081081 9.18918919],0
a1,1,0.905841,0.013992,[ 1 19] ; [ 1 16],[ 1.08108108 18.91891892] ; [ 0.91891892 16.08108108],0
v4,1,0.905841,0.013992,[19  1] ; [16  1],[18.91891892  1.08108108] ; [16.08108108  0.91891892],0
s8,1,0.940215,0.005625,[11  9] ; [9 7],[11.11111111  8.88888889] ; [8.88888889 7.11111111],0
a7,1,0.942094,0.005276,[12  8] ; [10  7],[11.89189189  8.10810811] ; [10.10810811  6.89189189],0
p10,1,0.9851,0.000349,[13  7] ; [11  6],[12.97297297  7.02702703] ; [11.02702703  5.97297297],0
s5,1,1.0,0.0,[9 9] ; [8 8],[9. 9.] ; [8. 8.],0
s3,1,1.0,0.0,[10 10] ; [8 8],[10. 10.] ; [8. 8.],0
