Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,27.731553,[93  5] ; [19 14],[83.78625954 14.21374046] ; [28.21374046  4.78625954],1
v4,1,0.003567,8.492051,[92  6] ; [25  8],[87.52671756 10.47328244] ; [29.47328244  3.52671756],0
n4,1,0.003608,8.471427,[86 11] ; [22 11],[80.58461538 16.41538462] ; [27.41538462  5.58461538],0
r2,1,0.003847,8.354632,[91  6] ; [25  8],[86.55384615 10.44615385] ; [29.44615385  3.55384615],0
p1,1,0.005108,7.840882,[ 8 89] ; [ 9 24],[12.68461538 84.31538462] ; [ 4.31538462 28.68461538],0
b3,1,0.02006,5.406694,[36 33] ; [ 7 20],[30.90625 38.09375] ; [12.09375 14.90625],0
b2,1,0.02006,5.406694,[36 33] ; [ 7 20],[30.90625 38.09375] ; [12.09375 14.90625],0
p8,1,0.036906,4.354747,[66 30] ; [16 17],[61.02325581 34.97674419] ; [20.97674419 12.02325581],0
p10,1,0.039421,4.242621,[81 16] ; [22 11],[76.85384615 20.14615385] ; [26.14615385  6.85384615],0
a3,1,0.041732,4.146034,[77 21] ; [20 13],[72.5648855 25.4351145] ; [24.4351145  8.5648855],0
p11,1,0.052675,3.754197,[81 17] ; [22 11],[77.05343511 20.94656489] ; [25.94656489  7.05343511],0
v2,1,0.05821,3.587658,[54 41] ; [12 20],[49.37007874 45.62992126] ; [16.62992126 15.37007874],0
r3,1,0.06005,3.536003,[93  5] ; [28  5],[90.51908397  7.48091603] ; [30.48091603  2.51908397],0
s5,1,0.07271,3.220764,[49 45] ; [10 20],[44.72580645 49.27419355] ; [14.27419355 15.72580645],0
b5,1,0.075319,3.163123,[39 59] ; [19 14],[43.38931298 54.61068702] ; [14.61068702 18.38931298],0
d5,1,0.07819,3.102134,[79 18] ; [22 11],[75.36153846 21.63846154] ; [25.63846154  7.36153846],0
p2,1,0.094997,2.787595,[83 14] ; [24  9],[79.83846154 17.16153846] ; [27.16153846  5.83846154],0
n5,1,0.138725,2.192046,[77 20] ; [22 11],[73.86923077 23.13076923] ; [25.13076923  7.86923077],0
a5,1,0.148003,2.092718,[80 18] ; [23 10],[77.05343511 20.94656489] ; [25.94656489  7.05343511],0
s8,1,0.164851,1.929154,[61 37] ; [16 17],[57.60305344 40.39694656] ; [19.39694656 13.60305344],0
u2,1,0.183226,1.771266,[13  8] ; [5 8],[11.11764706  9.88235294] ; [6.88235294 6.11764706],0
v3,1,0.19038,1.714678,[47 49] ; [11 20],[43.84251969 52.15748031] ; [14.15748031 16.84251969],0
