Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,177.882567,[195  23] ; [ 42 137],[130.14105793  87.85894207] ; [106.85894207  72.14105793],1
s8,1,0.0,70.465795,[156  62] ; [ 52 126],[114.50505051 103.49494949] ; [93.49494949 84.50505051],1
s6,1,0.0,68.675347,[191  23] ; [90 85],[154.58611825  59.41388175] ; [126.41388175  48.58611825],1
s7,1,0.0,62.735153,[159  48] ; [ 61 107],[121.44  85.56] ; [98.56 69.44],1
s5,1,0.0,37.363954,[113  92] ; [ 43 134],[ 83.71727749 121.28272251] ; [ 72.28272251 104.71727749],1
d4,1,0.000103,15.078655,[198  19] ; [139  41],[184.20403023  32.79596977] ; [152.79596977  27.20403023],1
p12,1,0.001132,10.597639,[ 35 183] ; [ 10 168],[ 24.77272727 193.22727273] ; [ 20.22727273 157.77272727],0
d1,1,0.001249,10.41644,[154  64] ; [99 81],[138.57788945  79.42211055] ; [114.42211055  65.57788945],0
p6,1,0.003215,8.68129,[123  94] ; [ 73 102],[108.5 108.5] ; [87.5 87.5],0
d2,1,0.004554,8.048467,[128  90] ; [ 80 100],[113.92964824 104.07035176] ; [94.07035176 85.92964824],0
s4,1,0.006268,7.471702,[ 48 168] ; [ 21 158],[ 37.73164557 178.26835443] ; [ 31.26835443 147.73164557],0
p4,1,0.009043,6.814373,[191  27] ; [140  40],[181.30150754  36.69849246] ; [149.69849246  30.30150754],0
u3,1,0.009414,6.742606,[33 10] ; [27 26],[26.875 16.125] ; [33.125 19.875],0
u1,1,0.01322,6.1394,[ 59 159] ; [ 30 150],[ 48.74874372 169.25125628] ; [ 40.25125628 139.74874372],0
a3,1,0.017395,5.656046,[175  42] ; [126  53],[164.94191919  52.05808081] ; [136.05808081  42.94191919],0
n1,1,0.019289,5.475113,[18 16] ; [ 6 20],[13.6 20.4] ; [10.4 15.6],0
a2,1,0.028134,4.819837,[ 70 148] ; [ 40 140],[ 60.25125628 157.74874372] ; [ 49.74874372 130.25125628],0
n5,1,0.037443,4.330126,[179  37] ; [133  46],[170.61265823  45.38734177] ; [141.38734177  37.61265823],0
a4,1,0.048518,3.891961,[113 105] ; [ 75 104],[103.23425693 114.76574307] ; [84.76574307 94.23425693],0
u2,1,0.074836,3.173627,[29 13] ; [27 26],[24.75789474 17.24210526] ; [31.24210526 21.75789474],0
a1,1,0.081736,3.030042,[ 16 202] ; [  6 174],[ 12.05025126 205.94974874] ; [  9.94974874 170.05025126],0
a5,1,0.082084,3.023151,[178  40] ; [134  46],[170.89447236  47.10552764] ; [141.10552764  38.89447236],0
s1,1,0.103035,2.657928,[  8 209] ; [  2 178],[  5.46599496 211.53400504] ; [  4.53400504 175.46599496],0
d3,1,0.151257,2.059524,[162  56] ; [122  58],[155.55778894  62.44221106] ; [128.44221106  51.55778894],0
n4,1,0.166634,1.91297,[185  32] ; [144  36],[179.83123426  37.16876574] ; [149.16876574  30.83123426],0
p10,1,0.169513,1.887247,[195  22] ; [151  26],[190.56345178  26.43654822] ; [155.43654822  21.56345178],0
n6,1,0.194198,1.68548,[193  23] ; [153  27],[188.72727273  27.27272727] ; [157.27272727  22.72727273],0
b5,1,0.249248,1.327517,[130  88] ; [97 83],[124.33668342  93.66331658] ; [102.66331658  77.33668342],0
p9,1,0.250705,1.319372,[201  16] ; [159  19],[197.7721519  19.2278481] ; [162.2278481  15.7721519],0
r3,1,0.253686,1.302892,[210   7] ; [170  10],[207.70780856   9.29219144] ; [172.29219144   7.70780856],0
v3,1,0.262407,1.256015,[101 108] ; [ 75 101],[ 95.54285714 113.45714286] ; [80.45714286 95.54285714],0
p1,1,0.26478,1.243592,[ 31 186] ; [ 19 161],[ 27.32997481 189.67002519] ; [ 22.67002519 157.32997481],0
r1,1,0.297311,1.086214,[181  36] ; [142  37],[176.99747475  40.00252525] ; [146.00252525  32.99747475],0
b2,1,0.323164,0.976098,[60 79] ; [43 73],[56.14509804 82.85490196] ; [46.85490196 69.14509804],0
b3,1,0.323164,0.976098,[60 79] ; [43 73],[56.14509804 82.85490196] ; [46.85490196 69.14509804],0
a6,1,0.333199,0.936426,[147  70] ; [130  50],[151.40806045  65.59193955] ; [125.59193955  54.40806045],0
p5,1,0.438962,0.598993,[ 44 173] ; [ 31 149],[ 40.99496222 176.00503778] ; [ 34.00503778 145.99496222],0
d5,1,0.440433,0.595155,[188  29] ; [151  29],[185.29722922  31.70277078] ; [153.70277078  26.29722922],0
a8,1,0.502021,0.450662,[ 29 178] ; [ 18 137],[ 26.87569061 180.12430939] ; [ 20.12430939 134.87569061],0
n3,1,0.51116,0.431691,[25  9] ; [21  5],[26.06666667  7.93333333] ; [19.93333333  6.06666667],0
b1,1,0.570716,0.321487,[ 97 121] ; [ 75 105],[ 94.21105528 123.78894472] ; [ 77.78894472 102.21105528],0
p8,1,0.576086,0.312605,[147  71] ; [124  53],[149.56455696  68.43544304] ; [121.43544304  55.56455696],0
r4,1,0.584828,0.298493,[203  15] ; [165  15],[201.5678392  16.4321608] ; [166.4321608  13.5678392],0
p7,1,0.58984,0.290595,[170  46] ; [144  34],[172.14213198  43.85786802] ; [141.85786802  36.14213198],0
r2,1,0.657618,0.19643,[208   9] ; [168   9],[207.08629442   9.91370558] ; [168.91370558   8.08629442],0
b4,1,0.680397,0.169679,[128  90] ; [102  78],[125.9798995  92.0201005] ; [104.0201005  75.9798995],0
v1,1,0.703182,0.145183,[132  79] ; [108  70],[130.17994859  80.82005141] ; [109.82005141  68.17994859],0
p11,1,0.726104,0.122719,[180  38] ; [151  29],[181.30150754  36.69849246] ; [149.69849246  30.30150754],0
a7,1,0.730874,0.118311,[157  60] ; [133  47],[158.5138539  58.4861461] ; [131.4861461  48.5138539],0
v2,1,0.830898,0.045604,[128  82] ; [106  71],[126.97674419  83.02325581] ; [107.02325581  69.97674419],0
v4,1,0.856124,0.032873,[210   8] ; [174   6],[210.33165829   7.66834171] ; [173.66834171   6.33165829],0
n2,1,0.909474,0.012928,[24 10] ; [18  8],[23.8 10.2] ; [18.2  7.8],0
