Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,0.000112,14.930169,[42 30] ; [133  29],[53.84615385 18.15384615] ; [121.15384615  40.84615385],1
v1,1,0.000242,13.470349,[34 41] ; [115  49],[46.75732218 28.24267782] ; [102.24267782  61.75732218],1
d1,1,0.001376,10.238203,[42 34] ; [130  42],[52.70967742 23.29032258] ; [119.29032258  52.70967742],0
s6,1,0.005383,7.746032,[60 15] ; [156  13],[66.39344262  8.60655738] ; [149.60655738  19.39344262],0
a3,1,0.008979,6.82698,[53 23] ; [144  27],[60.61538462 15.38461538] ; [136.38461538  34.61538462],0
r4,1,0.01374,6.071258,[65 11] ; [163   9],[69.87096774  6.12903226] ; [158.12903226  13.87096774],0
v4,1,0.015187,5.89459,[69  7] ; [168   4],[72.62903226  3.37096774] ; [164.37096774   7.62903226],0
p9,1,0.015264,5.885721,[63 13] ; [159  12],[68.30769231  7.69230769] ; [153.69230769  17.30769231],0
v2,1,0.025153,5.013312,[37 38] ; [106  58],[44.87447699 30.12552301] ; [98.12552301 65.87447699],0
p2,1,0.029685,4.72746,[62 14] ; [156  15],[67.07692308  8.92307692] ; [150.92307692  20.07692308],0
a7,1,0.029994,4.709663,[61 15] ; [114  57],[53.84615385 22.15384615] ; [121.15384615  49.84615385],0
p10,1,0.03436,4.476676,[61 15] ; [154  17],[66.15384615  9.84615385] ; [148.84615385  22.15384615],0
d5,1,0.038661,4.275711,[60 16] ; [152  19],[65.23076923 10.76923077] ; [146.76923077  24.23076923],0
a5,1,0.062613,3.466779,[57 19] ; [146  26],[62.20967742 13.79032258] ; [140.79032258  31.20967742],0
p8,1,0.070774,3.264976,[42 34] ; [115  56],[48.30769231 27.69230769] ; [108.69230769  62.30769231],0
v3,1,0.071476,3.248793,[29 46] ; [83 79],[35.44303797 39.55696203] ; [76.55696203 85.44303797],0
n5,1,0.077167,3.123581,[56 19] ; [144  27],[60.97560976 14.02439024] ; [139.02439024  31.97560976],0
d2,1,0.087117,2.926854,[38 38] ; [106  66],[44.12903226 31.87096774] ; [99.87096774 72.12903226],0
u3,1,0.090277,2.86943,[14  9] ; [23  5],[16.68627451  6.31372549] ; [20.31372549  7.68627451],0
b3,1,0.092014,2.838788,[12 26] ; [57 64],[16.49056604 21.50943396] ; [52.50943396 68.49056604],0
b2,1,0.092014,2.838788,[12 26] ; [57 64],[16.49056604 21.50943396] ; [52.50943396 68.49056604],0
s3,1,0.107874,2.585091,[63 13] ; [155  17],[66.80645161  9.19354839] ; [151.19354839  20.80645161],0
s4,1,0.129227,2.30177,[22 53] ; [ 35 136],[17.37804878 57.62195122] ; [ 39.62195122 131.37804878],0
p5,1,0.131059,2.279913,[10 66] ; [ 36 133],[14.26938776 61.73061224] ; [ 31.73061224 137.26938776],0
p6,1,0.134706,2.237412,[36 40] ; [98 72],[41.39837398 34.60162602] ; [92.60162602 77.39837398],0
p11,1,0.134717,2.237287,[57 19] ; [143  29],[61.29032258 14.70967742] ; [138.70967742  33.29032258],0
n6,1,0.145583,2.117934,[64 12] ; [154  16],[67.3495935  8.6504065] ; [150.6504065  19.3495935],0
r2,1,0.178584,1.809365,[71  5] ; [166   5],[72.92307692  3.07692308] ; [164.07692308   6.92307692],0
p12,1,0.191045,1.709538,[ 8 68] ; [ 29 142],[11.38461538 64.61538462] ; [ 25.61538462 145.38461538],0
n1,1,0.202462,1.624528,[5 8] ; [19 13],[6.93333333 6.06666667] ; [17.06666667 14.93333333],0
p7,1,0.231394,1.432275,[53 23] ; [130  39],[56.76734694 19.23265306] ; [126.23265306  42.76734694],0
b5,1,0.256405,1.288067,[41 35] ; [106  66],[45.0483871 30.9516129] ; [101.9516129  70.0483871],0
a8,1,0.310696,1.027717,[ 7 67] ; [ 23 139],[ 9.40677966 64.59322034] ; [ 20.59322034 141.40677966],0
r3,1,0.34937,0.875743,[71  4] ; [167   5],[72.26720648  2.73279352] ; [165.73279352   6.26720648],0
n2,1,0.367395,0.812455,[11  2] ; [23  9],[9.82222222 3.17777778] ; [24.17777778  7.82222222],0
p1,1,0.374133,0.78989,[ 8 68] ; [ 25 145],[10.19512195 65.80487805] ; [ 22.80487805 147.19512195],0
d3,1,0.400674,0.706302,[57 19] ; [120  52],[54.24193548 21.75806452] ; [122.75806452  49.24193548],0
r1,1,0.402352,0.701286,[59 16] ; [143  29],[61.33603239 13.66396761] ; [140.66396761  31.33603239],0
a6,1,0.408856,0.682125,[47 29] ; [115  56],[49.84615385 26.15384615] ; [112.15384615  58.84615385],0
p4,1,0.438328,0.600656,[62 14] ; [147  25],[64.0483871 11.9516129] ; [144.9516129  27.0483871],0
a4,1,0.444496,0.584649,[42 34] ; [86 86],[39.22580645 36.77419355] ; [88.77419355 83.22580645],0
d4,1,0.452113,0.565349,[67  9] ; [156  15],[68.61538462  7.38461538] ; [154.38461538  16.61538462],0
b4,1,0.473486,0.513829,[47 29] ; [98 74],[44.43548387 31.56451613] ; [100.56451613  71.43548387],0
b1,1,0.520332,0.413236,[32 44] ; [80 92],[34.32258065 41.67741935] ; [77.67741935 94.32258065],0
u1,1,0.547743,0.361376,[18 58] ; [ 47 125],[19.91935484 56.08064516] ; [ 45.08064516 126.91935484],0
