Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.016351,5.764706,[12  5] ; [ 5 12],[8.5 8.5] ; [8.5 8.5],0
p6,1,0.048796,3.882353,[8 8] ; [ 3 14],[ 5.33333333 10.66666667] ; [ 5.66666667 11.33333333],0
p7,1,0.049437,3.86046,[12  4] ; [ 7 10],[9.21212121 6.78787879] ; [9.78787879 7.21212121],0
p8,1,0.049437,3.86046,[10  7] ; [ 4 12],[7.21212121 9.78787879] ; [6.78787879 9.21212121],0
a4,1,0.051938,3.777778,[ 7 10] ; [ 2 15],[ 4.5 12.5] ; [ 4.5 12.5],0
d5,1,0.071944,3.238095,[12  5] ; [16  1],[14.  3.] ; [14.  3.],0
a7,1,0.084171,2.982456,[ 7 10] ; [12  5],[9.5 7.5] ; [9.5 7.5],0
s3,1,0.102959,2.659095,[14  3] ; [9 7],[11.84848485  5.15151515] ; [11.15151515  4.84848485],0
r4,1,0.132184,2.266667,[14  3] ; [10  7],[12.  5.] ; [12.  5.],0
u3,1,0.136844,2.213095,[5 1] ; [2 3],[3.81818182 2.18181818] ; [3.18181818 1.81818182],0
v4,1,0.146306,2.110345,[16  1] ; [13  4],[14.5  2.5] ; [14.5  2.5],0
p11,1,0.163359,1.942857,[12  5] ; [8 9],[10.  7.] ; [10.  7.],0
n5,1,0.163359,1.942857,[ 5 12] ; [9 8],[ 7. 10.] ; [ 7. 10.],0
a5,1,0.163359,1.942857,[12  5] ; [8 9],[10.  7.] ; [10.  7.],0
n4,1,0.169327,1.888889,[ 6 11] ; [10  7],[8. 9.] ; [8. 9.],0
v2,1,0.169327,1.888889,[ 6 11] ; [10  7],[8. 9.] ; [8. 9.],0
a6,1,0.169327,1.888889,[ 7 10] ; [11  6],[9. 8.] ; [9. 8.],0
s6,1,0.203225,1.619048,[15  2] ; [12  5],[13.5  3.5] ; [13.5  3.5],0
p9,1,0.243537,1.36,[14  3] ; [11  6],[12.5  4.5] ; [12.5  4.5],0
p10,1,0.271434,1.209486,[13  4] ; [10  7],[11.5  5.5] ; [11.5  5.5],0
d4,1,0.287065,1.133333,[16  1] ; [14  3],[15.  2.] ; [15.  2.],0
r3,1,0.287065,1.133333,[16  1] ; [14  3],[15.  2.] ; [15.  2.],0
p1,1,0.287065,1.133333,[ 3 14] ; [ 1 16],[ 2. 15.] ; [ 2. 15.],0
d3,1,0.451587,0.566667,[11  6] ; [13  4],[12.  5.] ; [12.  5.],0
s4,1,0.472917,0.515152,[ 7 10] ; [ 5 12],[ 6. 11.] ; [ 6. 11.],0
s8,1,0.491967,0.472222,[8 9] ; [10  7],[9. 8.] ; [9. 8.],0
d2,1,0.491967,0.472222,[ 7 10] ; [9 8],[8. 9.] ; [8. 9.],0
a1,1,0.545417,0.365591,[ 1 16] ; [ 2 15],[ 1.5 15.5] ; [ 1.5 15.5],0
a2,1,0.545417,0.365591,[ 2 15] ; [ 1 16],[ 1.5 15.5] ; [ 1.5 15.5],0
n1,1,0.614295,0.253968,[4 3] ; [4 5],[3.5 3.5] ; [4.5 4.5],0
n3,1,0.614295,0.253968,[4 3] ; [4 5],[3.5 3.5] ; [4.5 4.5],0
b3,1,0.627867,0.234965,[6 7] ; [4 7],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
b2,1,0.627867,0.234965,[6 7] ; [4 7],[5.41666667 7.58333333] ; [4.58333333 6.41666667],0
p2,1,0.671464,0.179894,[14  3] ; [13  4],[13.5  3.5] ; [13.5  3.5],0
n2,1,0.686591,0.1628,[6 1] ; [7 2],[5.6875 1.3125] ; [7.3125 1.6875],0
a3,1,0.713926,0.134387,[11  6] ; [12  5],[11.5  5.5] ; [11.5  5.5],0
b4,1,0.724159,0.124542,[10  7] ; [11  6],[10.5  6.5] ; [10.5  6.5],0
d1,1,0.729797,0.119298,[10  7] ; [9 8],[9.5 7.5] ; [9.5 7.5],0
s2,1,0.881162,0.022349,[10  7] ; [9 7],[9.78787879 7.21212121] ; [9.21212121 6.78787879],0
s7,1,0.881162,0.022349,[9 7] ; [10  7],[9.21212121 6.78787879] ; [9.78787879 7.21212121],0
r1,1,0.908575,0.013187,[11  5] ; [12  5],[11.15151515  4.84848485] ; [11.84848485  5.15151515],0
r2,1,0.948428,0.004184,[15  2] ; [14  2],[14.93939394  2.06060606] ; [14.06060606  1.93939394],0
v3,1,1.0,0.0,[ 3 13] ; [ 3 13],[ 3. 13.] ; [ 3. 13.],0
v1,1,1.0,0.0,[10  6] ; [10  6],[10.  6.] ; [10.  6.],0
u1,1,1.0,0.0,[ 1 16] ; [ 1 16],[ 1. 16.] ; [ 1. 16.],0
b5,1,1.0,0.0,[9 8] ; [9 8],[9. 8.] ; [9. 8.],0
b1,1,1.0,0.0,[9 8] ; [9 8],[9. 8.] ; [9. 8.],0
