Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,27.791487,[42 65] ; [103  39],[62.30923695 44.69076305] ; [82.69076305 59.30923695],1
v3,1,1.4e-05,18.887325,[30 78] ; [78 63],[46.84337349 61.15662651] ; [61.15662651 79.84337349],1
n5,1,0.002609,9.062768,[75 35] ; [122  23],[84.98039216 25.01960784] ; [112.01960784  32.98039216],0
p2,1,0.004075,8.249936,[88 23] ; [133  12],[95.82421875 15.17578125] ; [125.17578125  19.82421875],0
b5,1,0.005862,7.592219,[54 57] ; [96 50],[64.78599222 46.21400778] ; [85.21400778 60.78599222],0
r2,1,0.007388,7.176248,[97 12] ; [141   4],[102.13385827   6.86614173] ; [135.86614173   9.13385827],0
p9,1,0.013086,6.15746,[85 26] ; [128  17],[92.35546875 18.64453125] ; [120.64453125  24.35546875],0
p10,1,0.017949,5.601109,[81 29] ; [124  21],[88.43137255 21.56862745] ; [116.56862745  28.43137255],0
n1,1,0.036338,4.381158,[ 6 21] ; [9 8],[ 9.20454545 17.79545455] ; [ 5.79545455 11.20454545],0
s3,1,0.037744,4.316521,[63 47] ; [64 81],[54.78431373 55.21568627] ; [72.21568627 72.78431373],0
d5,1,0.042817,4.102616,[84 27] ; [125  21],[90.26848249 20.73151751] ; [118.73151751  27.26848249],0
a7,1,0.050356,3.82958,[77 34] ; [116  29],[83.68359375 27.31640625] ; [109.31640625  35.68359375],0
d3,1,0.056358,3.641448,[64 47] ; [101  45],[71.26459144 39.73540856] ; [93.73540856 52.26459144],0
r4,1,0.074783,3.174793,[95 16] ; [135  11],[99.3385214 11.6614786] ; [130.6614786  15.3385214],0
a4,1,0.088057,2.909545,[41 70] ; [69 76],[47.6953125 63.3046875] ; [62.3046875 82.6953125],0
n3,1,0.093257,2.817236,[20  7] ; [16  1],[22.09090909  4.90909091] ; [13.90909091  3.09090909],0
n2,1,0.102464,2.666762,[14 13] ; [13  4],[16.56818182 10.43181818] ; [10.43181818  6.56818182],0
p12,1,0.107635,2.588605,[  6 105] ; [ 16 128],[  9.57647059 101.42352941] ; [ 12.42352941 131.57647059],0
d1,1,0.108862,2.570669,[55 56] ; [87 59],[61.3307393 49.6692607] ; [80.6692607 65.3307393],0
b3,1,0.123431,2.37323,[22 51] ; [40 56],[26.78106509 46.21893491] ; [35.21893491 60.78106509],0
b2,1,0.123431,2.37323,[22 51] ; [40 56],[26.78106509 46.21893491] ; [35.21893491 60.78106509],0
n6,1,0.131352,2.276448,[88 22] ; [127  19],[92.3828125 17.6171875] ; [122.6171875  23.3828125],0
r1,1,0.142031,2.155821,[82 29] ; [119  27],[86.81322957 24.18677043] ; [114.18677043  31.81322957],0
p11,1,0.16115,1.963405,[85 26] ; [122  24],[89.40466926 21.59533074] ; [117.59533074  28.40466926],0
a5,1,0.195164,1.678201,[78 33] ; [113  33],[82.49416342 28.50583658] ; [108.50583658  37.49416342],0
u3,1,0.240719,1.376379,[16 18] ; [26 17],[18.54545455 15.45454545] ; [23.45454545 19.54545455],0
r3,1,0.276147,1.185957,[102   9] ; [139   7],[104.08949416   6.91050584] ; [136.91050584   9.08949416],0
a6,1,0.317709,0.998353,[75 36] ; [107  39],[78.60700389 32.39299611] ; [103.39299611  42.60700389],0
d4,1,0.319051,0.992831,[84 27] ; [118  28],[87.24513619 23.75486381] ; [114.75486381  31.24513619],0
s2,1,0.331023,0.944892,[48 63] ; [54 91],[44.2265625 66.7734375] ; [57.7734375 87.2265625],0
s7,1,0.333829,0.933989,[46 60] ; [68 69],[49.72839506 56.27160494] ; [64.27160494 72.72839506],0
p7,1,0.338204,0.917227,[79 31] ; [111  33],[82.28346457 27.71653543] ; [107.71653543  36.28346457],0
p1,1,0.358751,0.842262,[13 98] ; [ 12 133],[ 10.83984375 100.16015625] ; [ 14.16015625 130.83984375],0
s6,1,0.39447,0.725119,[62 48] ; [90 56],[65.3125 44.6875] ; [86.6875 59.3125],0
v4,1,0.413789,0.667889,[103   8] ; [139   7],[104.52140078   6.47859922] ; [137.47859922   8.52140078],0
u4,1,0.459147,0.547974,[  1 110] ; [  3 143],[  1.72762646 109.27237354] ; [  2.27237354 143.72762646],0
s4,1,0.48928,0.478109,[17 94] ; [ 18 128],[15.11673152 95.88326848] ; [ 19.88326848 126.11673152],0
d2,1,0.49712,0.46108,[50 61] ; [72 74],[52.692607 58.307393] ; [69.307393 76.692607],0
b4,1,0.504759,0.444917,[60 51] ; [85 61],[62.62645914 48.37354086] ; [82.37354086 63.62645914],0
p4,1,0.557033,0.344867,[84 27] ; [115  31],[85.94941634 25.05058366] ; [113.05058366  32.94941634],0
n4,1,0.57963,0.306834,[89 22] ; [121  25],[90.70038911 20.29961089] ; [119.29961089  26.70038911],0
a2,1,0.600698,0.273945,[25 86] ; [ 37 109],[26.77821012 84.22178988] ; [ 35.22178988 110.77821012],0
p8,1,0.614707,0.253377,[68 43] ; [92 51],[69.92125984 41.07874016] ; [90.07874016 52.92125984],0
a1,1,0.625745,0.237875,[  6 105] ; [  6 140],[  5.18287938 105.81712062] ; [  6.81712062 139.18287938],0
u2,1,0.632222,0.22906,[19 16] ; [20 21],[17.96052632 17.03947368] ; [21.03947368 19.96052632],0
p5,1,0.638116,0.221215,[ 11 100] ; [ 12 134],[  9.93385214 101.06614786] ; [ 13.06614786 132.93385214],0
