Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p1,1,0.001064,10.712024,[ 18 309] ; [ 5 16],[ 21.61206897 305.38793103] ; [ 1.38793103 19.61206897],0
p4,1,0.014123,6.022706,[122 204] ; [13  7],[127.19653179 198.80346821] ; [ 7.80346821 12.19653179],0
s5,1,0.01778,5.617688,[ 82 237] ; [10 10],[ 86.57227139 232.42772861] ; [ 5.42772861 14.57227139],0
v1,1,0.020797,5.343723,[149 172] ; [14  5],[153.89117647 167.10882353] ; [9.10882353 9.89117647],0
p8,1,0.022348,5.21851,[118 202] ; [13  8],[122.93255132 197.06744868] ; [ 8.06744868 12.93255132],0
d5,1,0.056015,3.651625,[248  79] ; [12  9],[244.31034483  82.68965517] ; [15.68965517  5.31034483],0
p6,1,0.05995,3.538781,[ 83 239] ; [ 9 11],[ 86.61988304 235.38011696] ; [ 5.38011696 14.61988304],0
b1,1,0.063936,3.432222,[121 207] ; [12  9],[124.99713467 203.00286533] ; [ 8.00286533 12.99713467],0
p7,1,0.098202,2.734503,[154 161] ; [13  6],[157.5 157.5] ; [9.5 9.5],0
s7,1,0.100247,2.70161,[130 185] ; [12  8],[133.52238806 181.47761194] ; [ 8.47761194 11.52238806],0
s6,1,0.102854,2.660725,[201 124] ; [16  4],[204.42028986 120.57971014] ; [12.57971014  7.42028986],0
p10,1,0.109015,2.56845,[239  84] ; [18  2],[242.01457726  80.98542274] ; [14.98542274  5.01457726],0
s1,1,0.1624,1.951738,[ 11 306] ; [ 2 19],[ 12.19230769 304.80769231] ; [ 0.80769231 20.19230769],0
p9,1,0.168676,1.894667,[248  71] ; [19  2],[250.50882353  68.49117647] ; [16.49117647  4.50882353],0
n1,1,0.185333,1.754332,[42 59] ; [3 1],[43.28571429 57.71428571] ; [1.71428571 2.28571429],0
p2,1,0.242292,1.367212,[251  77] ; [13  7],[248.82758621  79.17241379] ; [15.17241379  4.82758621],0
u1,1,0.251375,1.315645,[ 44 284] ; [ 1 20],[ 42.29226361 285.70773639] ; [ 2.70773639 18.29226361],0
r3,1,0.268242,1.225716,[289  36] ; [17  4],[287.42774566  37.57225434] ; [18.57225434  2.42774566],0
v3,1,0.276228,1.185553,[105 212] ; [ 9 11],[107.23442136 209.76557864] ; [ 6.76557864 13.23442136],0
p12,1,0.315323,1.008248,[ 16 312] ; [ 2 18],[ 16.96551724 311.03448276] ; [ 1.03448276 18.96551724],0
s8,1,0.315898,1.005854,[120 207] ; [10 11],[122.15517241 204.84482759] ; [ 7.84482759 13.15517241],0
a3,1,0.329135,0.952299,[220 106] ; [12  9],[217.95965418 108.04034582] ; [14.04034582  6.95965418],0
n4,1,0.364897,0.82097,[271  56] ; [19  2],[272.5  54.5] ; [17.5  3.5],0
a6,1,0.422111,0.64443,[215 112] ; [12  9],[213.30172414 113.69827586] ; [13.69827586  7.30172414],0
s4,1,0.440898,0.593944,[ 51 272] ; [ 2 19],[ 49.76453488 273.23546512] ; [ 3.23546512 17.76453488],0
d3,1,0.463033,0.538554,[207 119] ; [15  6],[208.5648415 117.4351585] ; [13.4351585  7.5648415],0
r4,1,0.479156,0.500784,[270  58] ; [16  5],[268.79083095  59.20916905] ; [17.20916905  3.79083095],0
v2,1,0.483967,0.48991,[149 161] ; [ 8 12],[147.48484848 162.51515152] ; [ 9.51515152 10.48484848],0
d1,1,0.63653,0.223309,[170 158] ; [12  9],[171.0487106 156.9512894] ; [10.9512894 10.0487106],0
a7,1,0.654319,0.200498,[218 109] ; [13  8],[217.06034483 109.93965517] ; [13.93965517  7.06034483],0
a4,1,0.65473,0.199988,[140 185] ; [ 8 13],[139.01734104 185.98265896] ; [ 8.98265896 12.01734104],0
a2,1,0.707905,0.140378,[ 74 254] ; [ 4 17],[ 73.30659026 254.69340974] ; [ 4.69340974 16.30659026],0
r1,1,0.727122,0.12177,[244  82] ; [15  6],[243.32564841  82.67435159] ; [15.67435159  5.32564841],0
u2,1,0.728539,0.120457,[54 53] ; [4 5],[53.5 53.5] ; [4.5 4.5],0
n6,1,0.732373,0.116944,[270  56] ; [18  3],[270.57060519  55.42939481] ; [17.42939481  3.57060519],0
u3,1,0.748765,0.102572,[54 54] ; [4 5],[53.53846154 54.46153846] ; [4.46153846 4.53846154],0
p11,1,0.761557,0.092074,[240  88] ; [16  5],[240.59598854  87.40401146] ; [15.40401146  5.59598854],0
b4,1,0.781992,0.076576,[193 135] ; [13  8],[193.60458453 134.39541547] ; [12.39541547  8.60458453],0
n3,1,0.830013,0.04609,[66 36] ; [3 2],[65.77570093 36.22429907] ; [3.22429907 1.77570093],0
