Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,39.413708,[44  8] ; [ 71 127],[23.92 28.08] ; [ 91.08 106.92],1
s7,1,0.000877,11.070555,[26 23] ; [ 55 141],[16.2 32.8] ; [ 64.8 131.2],1
s8,1,0.00111,10.634986,[24 28] ; [ 48 157],[14.56809339 37.43190661] ; [ 57.43190661 147.56809339],0
p4,1,0.005638,7.662486,[24 29] ; [ 52 150],[15.79607843 37.20392157] ; [ 60.20392157 141.79607843],0
p8,1,0.0115,6.38638,[26 27] ; [ 62 141],[18.21875 34.78125] ; [ 69.78125 133.21875],0
b5,1,0.01488,5.930651,[39 14] ; [113  92],[31.2248062 21.7751938] ; [120.7751938  84.2248062],0
v2,1,0.021938,5.250707,[27 25] ; [ 67 127],[19.8699187 32.1300813] ; [ 74.1300813 119.8699187],0
b3,1,0.025133,5.014685,[14 15] ; [29 80],[ 9.03623188 19.96376812] ; [33.96376812 75.03623188],0
b2,1,0.025133,5.014685,[14 15] ; [29 80],[ 9.03623188 19.96376812] ; [33.96376812 75.03623188],0
p2,1,0.028293,4.810126,[44  9] ; [138  66],[37.53307393 15.46692607] ; [144.46692607  59.53307393],0
s6,1,0.041628,4.150283,[34 17] ; [102  99],[27.52380952 23.47619048] ; [108.47619048  92.52380952],0
s2,1,0.046462,3.964773,[26 26] ; [ 71 132],[19.78039216 32.21960784] ; [ 77.21960784 125.78039216],0
v1,1,0.04857,3.890158,[28 24] ; [ 77 122],[21.75298805 30.24701195] ; [ 83.24701195 115.75298805],0
a5,1,0.053152,3.739135,[19 34] ; [104 101],[25.26744186 27.73255814] ; [ 97.73255814 107.26744186],0
p5,1,0.06781,3.33524,[ 5 48] ; [  7 195],[ 2.49411765 50.50588235] ; [  9.50588235 192.49411765],0
a3,1,0.081254,3.039646,[22 31] ; [111  91],[27.64313725 25.35686275] ; [105.35686275  96.64313725],0
p1,1,0.088739,2.897102,[ 6 47] ; [ 10 192],[ 3.3254902 49.6745098] ; [ 12.6745098 189.3254902],0
a8,1,0.098422,2.73093,[11 38] ; [ 25 167],[ 7.31950207 41.68049793] ; [ 28.68049793 163.31950207],0
