Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.848078,[ 2 21] ; [63 32],[12.66949153 10.33050847] ; [52.33050847 42.66949153],1
d3,1,1e-05,19.604678,[ 7 14] ; [77 18],[15.20689655  5.79310345] ; [68.79310345 26.20689655],1
r4,1,5e-05,16.459527,[15  8] ; [90  5],[20.46610169  2.53389831] ; [84.53389831 10.46610169],1
d5,1,0.000505,12.095865,[11 11] ; [80 15],[17.11111111  4.88888889] ; [73.88888889 21.11111111],1
a3,1,0.002022,9.529817,[ 8 15] ; [66 29],[14.42372881  8.57627119] ; [59.57627119 35.42372881],0
p1,1,0.002056,9.498978,[ 6 17] ; [ 5 90],[ 2.1440678 20.8559322] ; [ 8.8559322 86.1440678],0
r3,1,0.004487,8.075308,[18  5] ; [91  4],[21.24576271  1.75423729] ; [87.75423729  7.24576271],0
s3,1,0.006212,7.487771,[ 7 15] ; [60 34],[12.70689655  9.29310345] ; [54.29310345 39.70689655],0
b1,1,0.007655,7.112426,[13 10] ; [26 69],[ 7.60169492 15.39830508] ; [31.39830508 63.60169492],0
d2,1,0.007703,7.101251,[ 5 18] ; [50 45],[10.72033898 12.27966102] ; [44.27966102 50.72033898],0
a7,1,0.010293,6.583425,[10 12] ; [70 25],[15.04273504  6.95726496] ; [64.95726496 30.04273504],0
s6,1,0.014389,5.989808,[11 12] ; [69 24],[15.86206897  7.13793103] ; [64.13793103 28.86206897],0
p9,1,0.017612,5.634318,[15  8] ; [82 13],[18.90677966  4.09322034] ; [78.09322034 16.90677966],0
a4,1,0.01826,5.571036,[ 5 17] ; [48 47],[ 9.96581197 12.03418803] ; [43.03418803 51.96581197],0
r1,1,0.018946,5.506521,[13 10] ; [76 19],[17.34745763  5.65254237] ; [71.65254237 23.34745763],0
a5,1,0.033511,4.519467,[10 13] ; [64 31],[14.42372881  8.57627119] ; [59.57627119 35.42372881],0
a2,1,0.041023,4.17506,[ 1 22] ; [22 73],[ 4.48305085 18.51694915] ; [18.51694915 76.48305085],0
r2,1,0.054854,3.686508,[20  3] ; [91  3],[21.82051282  1.17948718] ; [89.17948718  4.82051282],0
s8,1,0.077366,3.119392,[ 8 15] ; [52 42],[11.79487179 11.20512821] ; [48.20512821 45.79487179],0
u1,1,0.0874,2.921616,[ 1 22] ; [18 77],[ 3.70338983 19.29661017] ; [15.29661017 79.70338983],0
p11,1,0.100169,2.702848,[15  8] ; [77 18],[17.93220339  5.06779661] ; [74.06779661 20.93220339],0
v1,1,0.1215,2.397874,[10 13] ; [57 36],[13.28448276  9.71551724] ; [53.71551724 39.28448276],0
a6,1,0.122394,2.38641,[11 12] ; [62 33],[14.22881356  8.77118644] ; [58.77118644 36.22881356],0
u3,1,0.163444,1.942069,[6 9] ; [18 11],[8.18181818 6.81818182] ; [15.81818182 13.18181818],0
s2,1,0.19345,1.691142,[10 13] ; [55 39],[12.77777778 10.22222222] ; [52.22222222 41.77777778],0
v4,1,0.236818,1.399435,[21  2] ; [92  3],[22.02542373  0.97457627] ; [90.97457627  4.02542373],0
p5,1,0.275413,1.189587,[ 3 20] ; [ 6 89],[ 1.75423729 21.24576271] ; [ 7.24576271 87.75423729],0
n1,1,0.329114,0.952381,[5 4] ; [10 17],[3.75 5.25] ; [11.25 15.75],0
n6,1,0.346019,0.888004,[18  5] ; [81 13],[19.46153846  3.53846154] ; [79.53846154 14.46153846],0
p4,1,0.382682,0.762068,[12 11] ; [59 36],[13.83898305  9.16101695] ; [57.16101695 37.83898305],0
n4,1,0.39949,0.70986,[16  7] ; [74 21],[17.54237288  5.45762712] ; [72.45762712 22.54237288],0
p7,1,0.426887,0.631278,[19  4] ; [68 23],[17.55263158  5.44736842] ; [69.44736842 21.55263158],0
s1,1,0.466243,0.530866,[ 2 19] ; [ 5 89],[ 1.27826087 19.72173913] ; [ 5.72173913 88.27826087],0
v2,1,0.510372,0.433305,[10 12] ; [49 43],[11.38596491 10.61403509] ; [47.61403509 44.38596491],0
b4,1,0.521228,0.411463,[15  8] ; [55 40],[13.6440678  9.3559322] ; [56.3559322 38.6440678],0
n5,1,0.601204,0.273184,[17  6] ; [75 20],[17.93220339  5.06779661] ; [74.06779661 20.93220339],0
a8,1,0.6033,0.270048,[ 4 18] ; [12 75],[ 3.2293578 18.7706422] ; [12.7706422 74.2293578],0
p8,1,0.613686,0.254842,[11 12] ; [51 44],[12.08474576 10.91525424] ; [49.91525424 45.08474576],0
b5,1,0.619787,0.246167,[15  8] ; [67 28],[15.98305085  7.01694915] ; [66.01694915 28.98305085],0
s5,1,0.64479,0.212532,[ 7 16] ; [32 58],[ 7.9380531 15.0619469] ; [31.0619469 58.9380531],0
p2,1,0.649634,0.206362,[19  4] ; [82 13],[19.68644068  3.31355932] ; [81.31355932 13.68644068],0
n3,1,0.667436,0.184615,[7 2] ; [19  8],[6.5 2.5] ; [19.5  7.5],0
s7,1,0.67457,0.176302,[10 11] ; [49 44],[10.86842105 10.13157895] ; [48.13157895 44.86842105],0
p10,1,0.68356,0.166145,[16  6] ; [73 22],[16.73504274  5.26495726] ; [72.26495726 22.73504274],0
s4,1,0.685305,0.164215,[ 3 19] ; [16 77],[ 3.63478261 18.36521739] ; [15.36521739 77.63478261],0
n2,1,0.785704,0.073926,[6 3] ; [20  8],[6.32432432 2.67567568] ; [19.67567568  8.32432432],0
v3,1,0.816741,0.053703,[ 7 16] ; [30 61],[ 7.46491228 15.53508772] ; [29.53508772 61.46491228],0
b3,1,0.837072,0.042288,[5 6] ; [24 33],[4.69117647 6.30882353] ; [24.30882353 32.69117647],0
b2,1,0.837072,0.042288,[5 6] ; [24 33],[4.69117647 6.30882353] ; [24.30882353 32.69117647],0
p12,1,0.857709,0.032146,[ 1 22] ; [ 5 90],[ 1.16949153 21.83050847] ; [ 4.83050847 90.16949153],0
u2,1,0.893716,0.01785,[9 6] ; [18 11],[9.20454545 5.79545455] ; [17.79545455 11.20454545],0
