Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,1.6e-05,18.601189,[13 50] ; [14  5],[20.74390244 42.25609756] ; [ 6.25609756 12.74390244],1
p8,1,0.004111,8.234058,[14 47] ; [11  8],[19.0625 41.9375] ; [ 5.9375 13.0625],0
p7,1,0.006656,7.363513,[22 39] ; [13  5],[27.02531646 33.97468354] ; [ 7.97468354 10.02531646],0
s8,1,0.009661,6.696418,[22 41] ; [13  6],[26.8902439 36.1097561] ; [ 8.1097561 10.8902439],0
p1,1,0.043987,4.057073,[ 2 61] ; [ 3 16],[ 3.84146341 59.15853659] ; [ 1.15853659 17.84146341],0
a2,1,0.059771,3.543731,[ 6 57] ; [ 5 14],[ 8.45121951 54.54878049] ; [ 2.54878049 16.45121951],0
v3,1,0.060723,3.517514,[16 45] ; [ 1 17],[13.12658228 47.87341772] ; [ 3.87341772 14.12658228],0
s1,1,0.071875,3.239683,[ 1 61] ; [ 2 17],[ 2.2962963 59.7037037] ; [ 0.7037037 18.2962963],0
a7,1,0.082589,3.013207,[43 20] ; [16  2],[45.88888889 17.11111111] ; [13.11111111  4.88888889],0
p9,1,0.084552,2.975155,[47 14] ; [18  1],[49.5625 11.4375] ; [15.4375  3.5625],0
s7,1,0.086378,2.940621,[28 33] ; [13  6],[31.2625 29.7375] ; [9.7375 9.2625],0
s6,1,0.101541,2.681178,[48 11] ; [12  7],[45.38461538 13.61538462] ; [14.61538462  4.38461538],0
u1,1,0.108899,2.570121,[ 5 58] ; [ 4 15],[ 6.91463415 56.08536585] ; [ 2.08536585 16.91463415],0
p2,1,0.112338,2.521017,[41 22] ; [16  3],[43.79268293 19.20731707] ; [13.20731707  5.79268293],0
a4,1,0.126464,2.335384,[18 45] ; [ 9 10],[20.74390244 42.25609756] ; [ 6.25609756 12.74390244],0
u2,1,0.126752,2.331838,[11 14] ; [6 2],[12.87878788 12.12121212] ; [4.12121212 3.87878788],0
d3,1,0.129765,2.295316,[45 18] ; [16  2],[47.44444444 15.55555556] ; [13.55555556  4.44444444],0
d4,1,0.174758,1.841648,[43 20] ; [16  3],[45.32926829 17.67073171] ; [13.67073171  5.32926829],0
d1,1,0.201794,1.62934,[26 37] ; [11  8],[28.42682927 34.57317073] ; [ 8.57317073 10.42682927],0
b5,1,0.208929,1.578835,[40 23] ; [15  4],[42.25609756 20.74390244] ; [12.74390244  6.25609756],0
n5,1,0.238687,1.388334,[37 26] ; [14  5],[39.18292683 23.81707317] ; [11.81707317  7.18292683],0
r3,1,0.265063,1.242117,[56  7] ; [15  4],[54.54878049  8.45121951] ; [16.45121951  2.54878049],0
d2,1,0.265586,1.239406,[21 42] ; [ 9 10],[23.04878049 39.95121951] ; [ 6.95121951 12.04878049],0
u3,1,0.338426,0.916385,[14 11] ; [6 2],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
p11,1,0.346536,0.886103,[39 24] ; [14  5],[40.7195122 22.2804878] ; [12.2804878  6.7195122],0
b2,1,0.352637,0.863944,[ 5 23] ; [4 9],[ 6.14634146 21.85365854] ; [ 2.85365854 10.14634146],0
b3,1,0.352637,0.863944,[ 5 23] ; [4 9],[ 6.14634146 21.85365854] ; [ 2.85365854 10.14634146],0
p5,1,0.362589,0.828906,[ 1 62] ; [ 1 18],[ 1.53658537 61.46341463] ; [ 0.46341463 18.53658537],0
b1,1,0.405145,0.693001,[14 49] ; [ 6 13],[15.36585366 47.63414634] ; [ 4.63414634 14.36585366],0
p10,1,0.440766,0.594288,[47 15] ; [16  3],[48.22222222 13.77777778] ; [14.77777778  4.22222222],0
n1,1,0.460181,0.545455,[ 6 19] ; [2 3],[ 6.66666667 18.33333333] ; [1.33333333 3.66666667],0
s2,1,0.509835,0.434405,[40 21] ; [14  5],[41.175 19.825] ; [12.825  6.175],0
d5,1,0.510173,0.433712,[44 19] ; [14  4],[45.11111111 17.88888889] ; [12.88888889  5.11111111],0
s3,1,0.512468,0.429024,[41 21] ; [11  8],[39.80246914 22.19753086] ; [12.19753086  6.80246914],0
s5,1,0.555404,0.347725,[26 32] ; [9 8],[27.06666667 30.93333333] ; [7.93333333 9.06666667],0
v2,1,0.560636,0.338605,[28 32] ; [ 7 11],[26.92307692 33.07692308] ; [8.07692308 9.92307692],0
r4,1,0.640393,0.218229,[50 13] ; [16  3],[50.70731707 12.29268293] ; [15.29268293  3.70731707],0
a6,1,0.640873,0.217603,[36 27] ; [12  7],[36.87804878 26.12195122] ; [11.12195122  7.87804878],0
a5,1,0.640873,0.217603,[36 27] ; [12  7],[36.87804878 26.12195122] ; [11.12195122  7.87804878],0
n6,1,0.646462,0.21039,[52 11] ; [14  4],[51.33333333 11.66666667] ; [14.66666667  3.33333333],0
r1,1,0.678646,0.171654,[43 20] ; [12  7],[42.25609756 20.74390244] ; [12.74390244  6.25609756],0
p12,1,0.680773,0.169257,[ 2 60] ; [ 1 18],[ 2.2962963 59.7037037] ; [ 0.7037037 18.2962963],0
n2,1,0.711923,0.136364,[18  7] ; [4 1],[18.33333333  6.66666667] ; [3.66666667 1.33333333],0
v1,1,0.756786,0.095917,[22 41] ; [ 7 11],[22.55555556 40.44444444] ; [ 6.44444444 11.55555556],0
b4,1,0.763053,0.090887,[34 29] ; [11  8],[34.57317073 28.42682927] ; [10.42682927  8.57317073],0
a3,1,0.850283,0.035629,[38 25] ; [11  8],[37.64634146 25.35365854] ; [11.35365854  7.64634146],0
n4,1,0.918428,0.010489,[34 29] ; [10  9],[33.80487805 29.19512195] ; [10.19512195  8.80487805],0
a8,1,0.93358,0.006946,[ 3 53] ; [ 1 16],[ 3.06849315 52.93150685] ; [ 0.93150685 16.06849315],0
