Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,2.9e-05,17.480766,[37 31] ; [133  31],[49.82758621 18.17241379] ; [120.17241379  43.82758621],1
p6,1,0.001978,9.570115,[23 45] ; [91 71],[33.70434783 34.29565217] ; [80.29565217 81.70434783],0
p10,1,0.003074,8.762774,[56 13] ; [153  10],[62.15948276  6.84051724] ; [146.84051724  16.15948276],0
p12,1,0.006918,7.294056,[ 2 67] ; [ 25 138],[ 8.03017241 60.96982759] ; [ 18.96982759 144.03017241],0
p1,1,0.011245,6.426169,[ 3 66] ; [ 27 136],[ 8.92241379 60.07758621] ; [ 21.07758621 141.92241379],0
p5,1,0.013363,6.120435,[ 7 62] ; [ 40 124],[13.91845494 55.08154506] ; [ 33.08154506 130.91845494],0
u3,1,0.033772,4.506207,[ 6 12] ; [23 13],[9.66666667 8.33333333] ; [19.33333333 16.66666667],0
a5,1,0.040714,4.187886,[48 21] ; [134  30],[53.89699571 15.10300429] ; [128.10300429  35.89699571],0
p2,1,0.048591,3.889415,[60  9] ; [155   9],[63.6695279  5.3304721] ; [151.3304721  12.6695279],0
b1,1,0.072867,3.217227,[20 49] ; [68 96],[26.06008584 42.93991416] ; [ 61.93991416 102.06008584],0
u1,1,0.078615,3.093296,[ 9 60] ; [ 38 126],[13.91845494 55.08154506] ; [ 33.08154506 130.91845494],0
n4,1,0.081897,3.026854,[55 14] ; [145  19],[59.22746781  9.77253219] ; [140.77253219  23.22746781],0
s5,1,0.109638,2.55943,[24 45] ; [73 85],[29.4845815 39.5154185] ; [67.5154185 90.4845815],0
s7,1,0.118189,2.441155,[37 29] ; [104  51],[42.10859729 23.89140271] ; [98.89140271 56.10859729],0
p9,1,0.128908,2.305606,[59 10] ; [150  13],[62.15948276  6.84051724] ; [146.84051724  16.15948276],0
n5,1,0.131627,2.273214,[54 14] ; [143  21],[57.74137931 10.25862069] ; [139.25862069  24.74137931],0
d3,1,0.156806,2.004761,[55 14] ; [116  48],[50.63948498 18.36051502] ; [120.36051502  43.63948498],0
p8,1,0.158312,1.990274,[44 23] ; [122  41],[48.35652174 18.64347826] ; [117.64347826  45.35652174],0
a2,1,0.184629,1.759968,[14 55] ; [ 47 117],[18.06437768 50.93562232] ; [ 42.93562232 121.06437768],0
d5,1,0.191454,1.706394,[55 14] ; [141  22],[58.29310345 10.70689655] ; [137.70689655  25.29310345],0
a7,1,0.226147,1.464929,[44 25] ; [117  46],[47.88362069 21.11637931] ; [113.11637931  49.88362069],0
n2,1,0.239084,1.385984,[15  5] ; [17  2],[16.41025641  3.58974359] ; [15.58974359  3.41025641],0
a3,1,0.278633,1.173746,[50 19] ; [128  34],[53.16883117 15.83116883] ; [124.83116883  37.16883117],0
n1,1,0.283232,1.151515,[ 4 15] ; [ 7 12],[ 5.5 13.5] ; [ 5.5 13.5],0
b3,1,0.317915,0.997505,[16 31] ; [46 62],[18.8 28.2] ; [43.2 64.8],0
b2,1,0.317915,0.997505,[16 31] ; [46 62],[18.8 28.2] ; [43.2 64.8],0
p11,1,0.3593,0.840338,[57 12] ; [143  21],[59.22746781  9.77253219] ; [140.77253219  23.22746781],0
u2,1,0.372355,0.795789,[ 9 10] ; [21 14],[10.55555556  8.44444444] ; [19.44444444 15.55555556],0
v1,1,0.436151,0.606388,[46 23] ; [117  46],[48.47844828 20.52155172] ; [114.52155172  48.47844828],0
s4,1,0.455579,0.556735,[ 8 61] ; [ 25 138],[ 9.81465517 59.18534483] ; [ 23.18534483 139.81465517],0
n6,1,0.45975,0.546503,[61  7] ; [151  12],[62.40692641  5.59307359] ; [149.59307359  13.40692641],0
d1,1,0.46826,0.52608,[42 27] ; [108  56],[44.42060086 24.57939914] ; [105.57939914  58.42060086],0
b5,1,0.469709,0.52266,[41 28] ; [89 75],[38.49785408 30.50214592] ; [91.50214592 72.49785408],0
a1,1,0.474577,0.5113,[ 4 65] ; [ 14 150],[ 5.3304721 63.6695279] ; [ 12.6695279 151.3304721],0
a6,1,0.522016,0.409908,[44 25] ; [111  52],[46.09913793 22.90086207] ; [108.90086207  54.09913793],0
s8,1,0.536608,0.381862,[37 32] ; [94 68],[39.12987013 29.87012987] ; [91.87012987 70.12987013],0
n3,1,0.583411,0.300752,[15  6] ; [15  4],[15.75  5.25] ; [14.25  4.75],0
r4,1,0.615423,0.252354,[65  4] ; [157   7],[65.74248927  3.25751073] ; [156.25751073   7.74248927],0
r3,1,0.629996,0.232066,[68  1] ; [159   4],[67.51293103  1.48706897] ; [159.48706897   3.51293103],0
v4,1,0.639708,0.219124,[67  1] ; [159   4],[66.52813853  1.47186147] ; [159.47186147   3.52813853],0
s2,1,0.670951,0.180492,[40 29] ; [89 73],[38.53246753 30.46753247] ; [90.46753247 71.53246753],0
r1,1,0.69375,0.155055,[59  9] ; [139  25],[58.03448276  9.96551724] ; [139.96551724  24.03448276],0
s6,1,0.736973,0.112805,[45 21] ; [112  47],[46.05333333 19.94666667] ; [110.94666667  48.05333333],0
s3,1,0.819299,0.052188,[41 25] ; [98 64],[40.23684211 25.76315789] ; [98.76315789 63.23684211],0
a8,1,0.824053,0.049433,[11 52] ; [ 24 124],[10.45023697 52.54976303] ; [ 24.54976303 123.45023697],0
d2,1,0.827381,0.047551,[36 33] ; [83 81],[35.24034335 33.75965665] ; [83.75965665 80.24034335],0
s1,1,0.831974,0.045016,[ 2 66] ; [  4 159],[ 1.76623377 66.23376623] ; [  4.23376623 158.76623377],0
u4,1,0.839773,0.040878,[ 2 67] ; [  4 160],[ 1.77682403 67.22317597] ; [  4.22317597 159.77682403],0
r2,1,0.871776,0.026051,[65  3] ; [155   8],[64.76190476  3.23809524] ; [155.23809524   7.76190476],0
a4,1,0.928924,0.007956,[33 36] ; [79 84],[33.31034483 35.68965517] ; [78.68965517 84.31034483],0
v2,1,0.931696,0.007346,[55 13] ; [131  30],[55.23144105 12.76855895] ; [130.76855895  30.23144105],0
b4,1,0.952486,0.00355,[39 30] ; [92 72],[38.79399142 30.20600858] ; [92.20600858 71.79399142],0
d4,1,0.963699,0.002071,[59 10] ; [139  24],[58.88793103 10.11206897] ; [139.11206897  23.88793103],0
