Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s3,1,0.0,110.205802,[107  17] ; [ 27 104],[65.16078431 58.83921569] ; [68.83921569 62.16078431],1
s6,1,0.0,71.611479,[109  15] ; [48 84],[76.046875 47.953125] ; [80.953125 51.046875],1
s7,1,0.0,69.301669,[87 38] ; [ 23 106],[54.13385827 70.86614173] ; [55.86614173 73.13385827],1
s8,1,0.0,32.575235,[71 55] ; [ 29 104],[48.64864865 77.35135135] ; [51.35135135 81.64864865],1
s5,1,1e-06,23.285304,[51 70] ; [ 19 110],[33.88 87.12] ; [36.12 92.88],1
s4,1,0.000739,11.388355,[28 96] ; [ 10 122],[ 18.40625 105.59375] ; [ 19.59375 112.40625],1
p10,1,0.001972,9.575477,[103  23] ; [86 47],[91.94594595 34.05405405] ; [97.05405405 35.94594595],0
v4,1,0.002912,8.862021,[123   3] ; [117  16],[116.75675676   9.24324324] ; [123.24324324   9.75675676],0
p9,1,0.003109,8.74212,[106  18] ; [91 39],[96.17322835 27.82677165] ; [100.82677165  29.17322835],0
v1,1,0.003565,8.493228,[67 57] ; [47 84],[55.43529412 68.56470588] ; [58.56470588 72.43529412],0
n5,1,0.020402,5.377128,[96 30] ; [83 49],[87.41860465 38.58139535] ; [91.58139535 40.41860465],0
r3,1,0.020474,5.37105,[124   3] ; [120  12],[119.64478764   7.35521236] ; [124.35521236   7.64478764],0
p2,1,0.025809,4.96876,[102  25] ; [90 42],[94.14671815 32.85328185] ; [97.85328185 34.14671815],0
v2,1,0.025937,4.960204,[78 41] ; [66 62],[69.37651822 49.62348178] ; [74.62348178 53.37651822],0
p4,1,0.030535,4.678931,[60 66] ; [45 86],[51.47859922 74.52140078] ; [53.52140078 77.47859922],0
p6,1,0.033569,4.51651,[39 85] ; [ 26 105],[31.60784314 92.39215686] ; [33.39215686 97.60784314],0
u1,1,0.039811,4.225928,[33 94] ; [ 21 113],[ 26.27586207 100.72413793] ; [ 27.72413793 106.27586207],0
s1,1,0.04892,3.878106,[  6 119] ; [  1 129],[  3.43137255 121.56862745] ; [  3.56862745 126.43137255],0
a8,1,0.102459,2.66685,[18 95] ; [ 11 112],[13.88559322 99.11440678] ; [ 15.11440678 107.88559322],0
r4,1,0.104734,2.631931,[114  13] ; [111  23],[109.48275862  17.51724138] ; [115.51724138  18.48275862],0
