Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-05,18.22124,[76 31] ; [ 5 17],[67.18604651 39.81395349] ; [13.81395349  8.18604651],1
d5,1,6.6e-05,15.916569,[93 14] ; [11 11],[86.26356589 20.73643411] ; [17.73643411  4.26356589],1
a5,1,0.002224,9.354948,[83 24] ; [10 12],[77.13953488 29.86046512] ; [15.86046512  6.13953488],0
a4,1,0.004392,8.114219,[55 52] ; [ 4 18],[48.9379845 58.0620155] ; [10.0620155 11.9379845],0
a3,1,0.005042,7.864143,[80 26] ; [10 12],[74.53125 31.46875] ; [15.46875  6.53125],0
p1,1,0.006904,7.297777,[  6 100] ; [ 5 16],[ 9.18110236 96.81889764] ; [ 1.81889764 19.18110236],0
d2,1,0.009674,6.694007,[61 45] ; [ 6 16],[55.484375 50.515625] ; [11.515625 10.484375],0
b2,1,0.051222,3.800991,[32 39] ; [1 8],[29.2875 41.7125] ; [3.7125 5.2875],0
b3,1,0.051222,3.800991,[32 39] ; [1 8],[29.2875 41.7125] ; [3.7125 5.2875],0
p8,1,0.054473,3.698147,[38 65] ; [13  9],[42.024 60.976] ; [ 8.976 13.024],0
v1,1,0.062796,3.46196,[61 44] ; [ 8 14],[57.04724409 47.95275591] ; [11.95275591 10.04724409],0
s7,1,0.08615,2.944875,[60 47] ; [16  5],[63.53125 43.46875] ; [12.46875  8.53125],0
p7,1,0.092916,2.823113,[57 44] ; [16  5],[60.43442623 40.56557377] ; [12.56557377  8.43442623],0
r1,1,0.109872,2.556066,[87 19] ; [14  7],[84.2992126 21.7007874] ; [16.7007874  4.2992126],0
u1,1,0.138915,2.189942,[18 89] ; [ 1 21],[15.75968992 91.24031008] ; [ 3.24031008 18.75968992],0
s4,1,0.15046,2.067579,[27 78] ; [ 9 13],[29.76377953 75.23622047] ; [ 6.23622047 15.76377953],0
s1,1,0.15311,2.040992,[  3 102] ; [ 2 19],[  4.16666667 100.83333333] ; [ 0.83333333 20.16666667],0
r3,1,0.183007,1.773037,[100   6] ; [19  3],[98.546875  7.453125] ; [20.453125  1.546875],0
a7,1,0.195739,1.673883,[78 29] ; [13  9],[75.48062016 31.51937984] ; [15.51937984  6.48062016],0
n3,1,0.211011,1.564477,[21 10] ; [8 1],[22.475  8.525] ; [6.525 2.475],0
u4,1,0.211843,1.558789,[  1 106] ; [ 1 21],[  1.65891473 105.34108527] ; [ 0.34108527 21.65891473],0
b5,1,0.223363,1.482635,[59 48] ; [ 9 13],[56.40310078 50.59689922] ; [11.59689922 10.40310078],0
n5,1,0.244653,1.353582,[73 32] ; [18  4],[75.23622047 29.76377953] ; [15.76377953  6.23622047],0
b1,1,0.292241,1.109269,[36 71] ; [10 12],[38.15503876 68.84496124] ; [ 7.84496124 14.15503876],0
n2,1,0.293694,1.10261,[23  9] ; [8 1],[24.19512195  7.80487805] ; [6.80487805 2.19512195],0
p12,1,0.296339,1.090595,[13 94] ; [ 1 21],[11.6124031 95.3875969] ; [ 2.3875969 19.6124031],0
