Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p4,1,0.000662,11.592575,[47 83] ; [37 22],[57.77777778 72.22222222] ; [26.22222222 32.77777778],1
p7,1,0.003751,8.40049,[58 67] ; [39 17],[66.98895028 58.01104972] ; [30.01104972 25.98895028],0
u3,1,0.041973,4.136287,[18 12] ; [15  2],[21.06382979  8.93617021] ; [11.93617021  5.06382979],0
s8,1,0.059163,3.560691,[81 49] ; [45 14],[86.66666667 43.33333333] ; [39.33333333 19.66666667],0
r4,1,0.08078,3.049129,[107  24] ; [54  5],[111.00526316  19.99473684] ; [49.99473684  9.00526316],0
p2,1,0.083062,3.003947,[96 35] ; [50  9],[100.66315789  30.33684211] ; [45.33684211 13.66315789],0
n6,1,0.086988,2.929244,[102  26] ; [53  6],[106.09625668  21.90374332] ; [48.90374332 10.09625668],0
s5,1,0.091612,2.84581,[47 81] ; [28 28],[52.17391304 75.82608696] ; [22.82608696 33.17391304],0
u2,1,0.096921,2.755498,[15 14] ; [13  4],[17.65217391 11.34782609] ; [10.34782609  6.65217391],0
v1,1,0.124754,2.356597,[59 68] ; [34 24],[63.84324324 63.15675676] ; [29.15675676 28.84324324],0
r2,1,0.134549,2.239217,[118   9] ; [57  1],[120.13513514   6.86486486] ; [54.86486486  3.13513514],0
d3,1,0.149621,2.076115,[88 42] ; [46 13],[92.16931217 37.83068783] ; [41.83068783 17.16931217],0
s1,1,0.150903,2.063102,[  6 123] ; [ 6 53],[  8.23404255 120.76595745] ; [ 3.76595745 55.23404255],0
n4,1,0.180255,1.795523,[99 31] ; [50  9],[102.48677249  27.51322751] ; [46.51322751 12.48677249],0
p1,1,0.183387,1.769957,[  5 126] ; [ 5 54],[  6.89473684 124.10526316] ; [ 3.10526316 55.89473684],0
p5,1,0.234232,1.414976,[  7 122] ; [ 6 53],[  8.92021277 120.07978723] ; [ 4.07978723 54.92021277],0
b5,1,0.249256,1.327468,[75 56] ; [39 20],[78.6 52.4] ; [35.4 23.6],0
u1,1,0.262001,1.258153,[ 24 107] ; [15 44],[ 26.88947368 104.11052632] ; [12.11052632 46.88947368],0
n2,1,0.270826,1.212557,[37  9] ; [10  5],[35.44262295 10.55737705] ; [11.55737705  3.44262295],0
b3,1,0.299102,1.078196,[31 58] ; [19 24],[33.71212121 55.28787879] ; [16.28787879 26.71212121],0
b2,1,0.299102,1.078196,[31 58] ; [19 24],[33.71212121 55.28787879] ; [16.28787879 26.71212121],0
v2,1,0.314268,1.012654,[73 53] ; [29 29],[69.84782609 56.15217391] ; [32.15217391 25.84782609],0
p9,1,0.319484,0.991056,[103  25] ; [51  8],[105.41176471  22.58823529] ; [48.58823529 10.41176471],0
r3,1,0.328673,0.954117,[122   8] ; [53  6],[120.37037037   9.62962963] ; [54.62962963  4.37037037],0
p8,1,0.33305,0.937001,[49 79] ; [27 32],[52.02139037 75.97860963] ; [23.97860963 35.02139037],0
a3,1,0.382115,0.763886,[101  30] ; [42 17],[98.59473684 32.40526316] ; [44.40526316 14.59473684],0
s2,1,0.390187,0.738359,[92 39] ; [45 14],[94.45789474 36.54210526] ; [42.54210526 16.45789474],0
a6,1,0.407639,0.685675,[80 50] ; [40 19],[82.53968254 47.46031746] ; [37.46031746 21.53968254],0
b4,1,0.421945,0.644892,[77 54] ; [31 28],[74.46315789 56.53684211] ; [33.53684211 25.46315789],0
n3,1,0.434599,0.610501,[28 17] ; [11  4],[29.25 15.75] ; [9.75 5.25],0
