Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2e-06,22.511325,[20 11] ; [ 6 41],[10.33333333 20.66666667] ; [15.66666667 31.33333333],1
p3,1,0.000183,13.999574,[15 17] ; [ 5 44],[ 7.90123457 24.09876543] ; [12.09876543 36.90123457],1
p11,1,0.000329,12.897086,[26  6] ; [20 29],[18.17283951 13.82716049] ; [27.82716049 21.17283951],1
p10,1,0.00085,11.128293,[26  6] ; [20 26],[18.87179487 13.12820513] ; [27.12820513 18.87179487],1
p2,1,0.000981,10.862554,[27  4] ; [25 24],[20.15 10.85] ; [31.85 17.15],1
r3,1,0.001565,10.0,[30  2] ; [30 18],[24.  8.] ; [36. 12.],0
p7,1,0.002347,9.255928,[24  7] ; [19 26],[17.53947368 13.46052632] ; [25.46052632 19.53947368],0
p6,1,0.002413,9.20544,[13 17] ; [ 6 41],[ 7.4025974 22.5974026] ; [11.5974026 35.4025974],0
s8,1,0.002875,8.884933,[15 17] ; [ 8 41],[ 9.08641975 22.91358025] ; [13.91358025 35.08641975],0
p9,1,0.003548,8.501812,[28  4] ; [26 20],[22.15384615  9.84615385] ; [31.84615385 14.15384615],0
r4,1,0.005883,7.585849,[26  6] ; [25 24],[20.14814815 11.85185185] ; [30.85185185 18.14814815],0
n1,1,0.030902,4.658385,[6 1] ; [ 9 14],[3.5 3.5] ; [11.5 11.5],0
v2,1,0.037226,4.340029,[18 12] ; [16 29],[13.6 16.4] ; [20.4 24.6],0
s2,1,0.038088,4.301075,[16 15] ; [14 35],[11.625 19.375] ; [18.375 30.625],0
p5,1,0.053783,3.719411,[ 4 27] ; [ 1 47],[ 1.96202532 29.03797468] ; [ 3.03797468 44.96202532],0
s6,1,0.056364,3.641271,[20 12] ; [20 29],[15.80246914 16.19753086] ; [24.19753086 24.80246914],0
v4,1,0.060153,3.533159,[28  3] ; [35 13],[24.72151899  6.27848101] ; [38.27848101  9.72151899],0
d5,1,0.066652,3.363615,[25  7] ; [28 20],[21.2 10.8] ; [31.8 16.2],0
v1,1,0.06887,3.30974,[17 14] ; [16 31],[13.11538462 17.88461538] ; [19.88461538 27.11538462],0
n3,1,0.077241,3.12202,[7 1] ; [12 11],[4.90322581 3.09677419] ; [14.09677419  8.90322581],0
u3,1,0.100348,2.7,[6 3] ; [ 6 12],[4. 5.] ; [ 8. 10.],0
a5,1,0.113966,2.498341,[22 10] ; [25 24],[18.56790123 13.43209877] ; [28.43209877 20.56790123],0
a8,1,0.131202,2.27822,[ 3 25] ; [12 36],[ 5.52631579 22.47368421] ; [ 9.47368421 38.52631579],0
s7,1,0.181332,1.786672,[12 18] ; [12 35],[ 9.35064935 20.64935065] ; [14.64935065 32.35064935],0
b1,1,0.194578,1.682612,[21 11] ; [25 24],[18.17283951 13.82716049] ; [27.82716049 21.17283951],0
b5,1,0.194578,1.682612,[21 11] ; [25 24],[18.17283951 13.82716049] ; [27.82716049 21.17283951],0
d1,1,0.19796,1.657361,[15 17] ; [16 33],[12.24691358 19.75308642] ; [18.75308642 30.24691358],0
s1,1,0.315484,1.007578,[ 2 28] ; [ 1 46],[ 1.16883117 28.83116883] ; [ 1.83116883 45.16883117],0
n4,1,0.334772,0.93035,[21 11] ; [37 12],[22.91358025  9.08641975] ; [35.08641975 13.91358025],0
n2,1,0.345779,0.888889,[7 1] ; [17  7],[6. 2.] ; [18.  6.],0
d2,1,0.401736,0.703125,[11 21] ; [21 27],[12.8 19.2] ; [19.2 28.8],0
a4,1,0.412347,0.672023,[14 18] ; [17 32],[12.24691358 19.75308642] ; [18.75308642 30.24691358],0
s5,1,0.425025,0.63638,[ 7 25] ; [ 7 40],[ 5.67088608 26.32911392] ; [ 8.32911392 38.67088608],0
v3,1,0.47431,0.511918,[ 8 20] ; [10 37],[ 6.72 21.28] ; [11.28 35.72],0
r2,1,0.493745,0.468355,[27  4] ; [39  9],[25.89873418  5.10126582] ; [40.10126582  7.89873418],0
a3,1,0.49514,0.465337,[23  9] ; [31 17],[21.6 10.4] ; [32.4 15.6],0
p1,1,0.542734,0.370496,[ 1 31] ; [ 3 46],[ 1.58024691 30.41975309] ; [ 2.41975309 46.58024691],0
r1,1,0.559842,0.339977,[21 11] ; [29 20],[19.75308642 12.24691358] ; [30.24691358 18.75308642],0
u1,1,0.584771,0.298584,[ 3 29] ; [ 3 46],[ 2.37037037 29.62962963] ; [ 3.62962963 45.37037037],0
d4,1,0.586464,0.2959,[21 11] ; [28 19],[19.84810127 12.15189873] ; [29.15189873 17.84810127],0
s3,1,0.62548,0.23824,[17 13] ; [25 24],[15.94936709 14.05063291] ; [26.05063291 22.94936709],0
s4,1,0.664208,0.188452,[ 5 27] ; [ 6 43],[ 4.34567901 27.65432099] ; [ 6.65432099 42.34567901],0
a6,1,0.765087,0.089286,[23  9] ; [33 15],[22.4  9.6] ; [33.6 14.4],0
p12,1,0.770017,0.08547,[ 1 31] ; [ 1 47],[ 0.8 31.2] ; [ 1.2 46.8],0
a2,1,0.777942,0.079525,[ 6 26] ; [ 8 41],[ 5.5308642 26.4691358] ; [ 8.4691358 40.5308642],0
b4,1,0.7875,0.072662,[16 16] ; [26 23],[16.59259259 15.40740741] ; [25.40740741 23.59259259],0
d3,1,0.788734,0.0718,[18 14] ; [25 22],[17.41772152 14.58227848] ; [25.58227848 21.41772152],0
a7,1,0.796773,0.06632,[20 12] ; [32 17],[20.54320988 11.45679012] ; [31.45679012 17.54320988],0
b3,1,0.965802,0.001838,[ 6 15] ; [ 7 18],[ 5.93478261 15.06521739] ; [ 7.06521739 17.93478261],0
b2,1,0.965802,0.001838,[ 6 15] ; [ 7 18],[ 5.93478261 15.06521739] ; [ 7.06521739 17.93478261],0
