Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,170.808338,[26 37] ; [408  16],[56.14373717  6.85626283] ; [377.85626283  46.14373717],1
p11,1,0.0,48.020732,[33 30] ; [372  53],[52.28483607 10.71516393] ; [352.71516393  72.28483607],1
p7,1,0.000538,11.980745,[37 26] ; [332  90],[47.93195876 15.06804124] ; [321.06804124 100.93195876],1
p8,1,0.000617,11.724043,[30 33] ; [293 129],[41.95670103 21.04329897] ; [281.04329897 140.95670103],1
p3,1,0.0074,7.173248,[34 29] ; [300 124],[43.2073922 19.7926078] ; [290.7926078 133.2073922],0
p12,1,0.01848,5.550025,[ 1 62] ; [ 47 378],[ 6.19672131 56.80327869] ; [ 41.80327869 383.19672131],0
p5,1,0.036023,4.39601,[ 5 58] ; [ 79 345],[10.86652977 52.13347023] ; [ 73.13347023 350.86652977],0
p6,1,0.046494,3.963593,[24 38] ; [221 202],[31.31958763 30.68041237] ; [213.68041237 209.31958763],0
b1,1,0.125526,2.346985,[31 32] ; [166 259],[25.43237705 37.56762295] ; [171.56762295 253.43237705],0
p1,1,0.960876,0.002406,[ 7 56] ; [ 48 376],[ 7.11498973 55.88501027] ; [ 47.88501027 376.11498973],0
