Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,91.365373,[159  87] ; [ 34 151],[110.15777262 135.84222738] ; [ 82.84222738 102.15777262],1
p6,1,0.0,58.476355,[124 120] ; [ 27 154],[ 86.69176471 157.30823529] ; [ 64.30823529 116.69176471],1
p8,1,0.0,34.047395,[160  85] ; [ 67 115],[130.24590164 114.75409836] ; [96.75409836 85.24590164],1
p7,1,0.0,31.945472,[179  64] ; [83 95],[151.22565321  91.77434679] ; [110.77434679  67.22565321],1
d1,1,3.7e-05,17.022631,[147 100] ; [ 73 112],[125.78703704 121.21296296] ; [94.21296296 90.78703704],1
a5,1,4.4e-05,16.689026,[193  54] ; [111  74],[173.81481481  73.18518519] ; [130.18518519  54.81481481],1
s6,1,6.1e-05,16.06654,[176  68] ; [97 85],[156.36619718  87.63380282] ; [116.63380282  65.36619718],1
p10,1,8.3e-05,15.489063,[217  28] ; [136  48],[201.5967366  43.4032634] ; [151.4032634  32.5967366],1
s7,1,0.000131,14.621487,[116 121] ; [ 55 126],[ 96.95454545 140.04545455] ; [ 74.04545455 106.95454545],1
a4,1,0.000289,13.138437,[117 129] ; [ 56 129],[ 98.7424594 147.2575406] ; [ 74.2575406 110.7424594],1
s8,1,0.000486,12.168427,[109 138] ; [ 51 133],[ 91.6937355 155.3062645] ; [ 68.3062645 115.6937355],1
n4,1,0.000849,11.131126,[198  49] ; [122  63],[182.96296296  64.03703704] ; [137.03703704  47.96296296],1
d2,1,0.001488,10.093211,[121 126] ; [ 62 122],[104.87470998 142.12529002] ; [ 78.12529002 105.87470998],0
d5,1,0.002386,9.225858,[203  44] ; [129  56],[189.82407407  57.17592593] ; [142.17592593  42.82407407],0
n5,1,0.00349,8.531964,[189  57] ; [117  66],[175.46853147  70.53146853] ; [130.53146853  52.46853147],0
s2,1,0.003803,8.375465,[126 120] ; [ 68 115],[111.24475524 134.75524476] ; [ 82.75524476 100.24475524],0
d4,1,0.005862,7.592249,[206  41] ; [134  51],[194.39814815  52.60185185] ; [145.60185185  39.39814815],0
d3,1,0.006137,7.509534,[173  74] ; [106  79],[159.52083333  87.47916667] ; [119.47916667  65.52083333],0
p2,1,0.00636,7.445365,[218  27] ; [147  38],[207.96511628  37.03488372] ; [157.03488372  27.96511628],0
a7,1,0.008473,6.930667,[184  63] ; [116  69],[171.52777778  75.47222222] ; [128.47222222  56.52777778],0
p5,1,0.016261,5.774446,[ 28 217] ; [  9 176],[ 21.08139535 223.91860465] ; [ 15.91860465 169.08139535],0
v1,1,0.019426,5.462733,[118 124] ; [ 66 111],[106.27207637 135.72792363] ; [77.72792363 99.27207637],0
v4,1,0.027449,4.86237,[235  11] ; [164  18],[229.3317757  16.6682243] ; [169.6682243  12.3317757],0
a2,1,0.030452,4.683603,[ 55 192] ; [ 26 159],[ 46.3125 200.6875] ; [ 34.6875 150.3125],0
p9,1,0.031394,4.631294,[218  29] ; [147  35],[210.15151515  36.84848485] ; [154.84848485  27.15151515],0
b1,1,0.061955,3.484262,[ 99 148] ; [ 58 127],[ 89.7662037 157.2337963] ; [ 67.2337963 117.7662037],0
u1,1,0.079479,3.075526,[ 43 204] ; [ 21 164],[ 36.59259259 210.40740741] ; [ 27.40740741 157.59259259],0
a3,1,0.081425,3.036217,[172  75] ; [114  71],[163.52314815  83.47685185] ; [122.47685185  62.52314815],0
a6,1,0.085646,2.954371,[173  74] ; [115  70],[164.66666667  82.33333333] ; [123.33333333  61.66666667],0
u2,1,0.140173,2.17606,[45 29] ; [34 36],[40.59722222 33.40277778] ; [38.40277778 31.59722222],0
a1,1,0.144006,2.134621,[ 10 237] ; [  3 182],[  7.43287037 239.56712963] ; [  5.56712963 179.43287037],0
p1,1,0.157381,1.999216,[ 19 227] ; [  8 175],[ 15.48251748 230.51748252] ; [ 11.51748252 171.48251748],0
s5,1,0.170049,1.882511,[ 80 159] ; [ 49 131],[ 73.5823389 165.4176611] ; [ 55.4176611 124.5823389],0
s1,1,0.204049,1.613152,[  9 236] ; [  3 181],[  6.85314685 238.14685315] ; [  5.14685315 178.85314685],0
