Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,86.598224,[115  79] ; [ 38 198],[ 69.02790698 124.97209302] ; [ 83.97209302 152.02790698],1
p6,1,0.0,38.65931,[ 78 117] ; [ 32 202],[ 50. 145.] ; [ 60. 174.],1
p2,1,0.0,34.356172,[169  26] ; [145  91],[142.0649652  52.9350348] ; [171.9350348  64.0649652],1
s6,1,0.0,30.632906,[134  60] ; [ 99 135],[105.61214953  88.38785047] ; [127.38785047 106.61214953],1
p7,1,0.0,29.708694,[129  64] ; [ 94 139],[101.03051643  91.96948357] ; [121.96948357 111.03051643],1
p8,1,0.0,27.803184,[105  90] ; [ 67 166],[ 78.36448598 116.63551402] ; [ 93.63551402 139.36448598],1
s7,1,1.5e-05,18.74535,[93 92] ; [ 66 159],[ 71.74390244 113.25609756] ; [ 87.25609756 137.74390244],1
s2,1,0.000102,15.096033,[103  92] ; [ 80 154],[ 83.18181818 111.81818182] ; [ 99.81818182 134.18181818],1
s8,1,0.000269,13.273202,[ 80 115] ; [ 58 178],[ 62.4361949 132.5638051] ; [ 75.5638051 160.4361949],1
a5,1,0.000287,13.150614,[142  53] ; [132 104],[123.9675174  71.0324826] ; [150.0324826  85.9675174],1
v4,1,0.001294,10.351053,[184  11] ; [198  36],[173.63636364  21.36363636] ; [208.36363636  25.63636364],0
s3,1,0.001513,10.062646,[114  80] ; [101 132],[97.68149883 96.31850117] ; [117.31850117 115.68149883],0
p10,1,0.002726,8.982628,[148  46] ; [147  87],[133.71495327  60.28504673] ; [161.28504673  72.71495327],0
d3,1,0.002896,8.871981,[140  55] ; [135  98],[125.29205607  69.70794393] ; [149.70794393  83.29205607],0
r4,1,0.005327,7.764935,[168  27] ; [178  58],[156.54292343  38.45707657] ; [189.45707657  46.54292343],0
p9,1,0.005773,7.619979,[153  42] ; [152  77],[140.27122642  54.72877358] ; [164.72877358  64.27122642],0
r3,1,0.009914,6.650253,[181  13] ; [200  34],[172.69626168  21.30373832] ; [208.30373832  25.69626168],0
s5,1,0.009967,6.640834,[ 57 132] ; [ 44 184],[ 45.77697842 143.22302158] ; [ 55.22302158 172.77697842],0
p11,1,0.011725,6.352044,[146  49] ; [150  86],[133.92111369  61.07888631] ; [162.07888631  73.92111369],0
r1,1,0.016395,5.760012,[148  46] ; [155  81],[136.70232558  57.29767442] ; [166.29767442  69.70232558],0
u2,1,0.018021,5.594128,[39 23] ; [40 52],[31.80519481 30.19480519] ; [47.19480519 44.80519481],0
d1,1,0.019043,5.497568,[113  82] ; [110 126],[100.89327146  94.10672854] ; [122.10672854 113.89327146],0
d5,1,0.030811,4.663459,[156  39] ; [166  68],[146.36363636  48.63636364] ; [175.63636364  58.36363636],0
a4,1,0.038544,4.280845,[ 88 107] ; [ 83 152],[ 77.54651163 117.45348837] ; [ 93.45348837 141.54651163],0
n4,1,0.050308,3.831178,[142  53] ; [151  85],[132.5638051  62.4361949] ; [160.4361949  75.5638051],0
n6,1,0.060098,3.534668,[157  38] ; [171  64],[148.74418605  46.25581395] ; [179.25581395  55.74418605],0
n3,1,0.064796,3.410161,[39 12] ; [50 32],[34.12781955 16.87218045] ; [54.87218045 27.12781955],0
n5,1,0.114385,2.492573,[132  62] ; [142  92],[124.19626168  69.80373832] ; [149.80373832  84.19626168],0
d4,1,0.132368,2.264507,[156  39] ; [172  61],[149.43925234  45.56074766] ; [178.56074766  54.43925234],0
r2,1,0.133615,2.249998,[176  16] ; [203  30],[171.21882353  20.78117647] ; [207.78117647  25.21882353],0
d2,1,0.152923,2.042849,[ 95 100] ; [ 97 135],[ 87.68149883 107.31850117] ; [104.31850117 127.68149883],0
a3,1,0.174222,1.846234,[131  64] ; [143  92],[124.25581395  70.74418605] ; [149.74418605  85.25581395],0
a2,1,0.181219,1.787597,[ 43 152] ; [ 40 196],[ 37.55220418 157.44779582] ; [ 45.44779582 190.55220418],0
a7,1,0.262756,1.254177,[139  56] ; [155  79],[133.63636364  61.36363636] ; [160.36363636  73.63636364],0
a1,1,0.299683,1.075603,[  6 189] ; [ 12 224],[  8.14385151 186.85614849] ; [  9.85614849 226.14385151],0
s4,1,0.348633,0.878427,[ 43 149] ; [ 44 191],[ 39.11943794 152.88056206] ; [ 47.88056206 187.11943794],0
u1,1,0.358967,0.841504,[ 29 166] ; [ 28 208],[ 25.78886311 169.21113689] ; [ 31.21113689 204.78886311],0
a6,1,0.363616,0.825365,[131  64] ; [148  87],[126.52325581  68.47674419] ; [152.47674419  82.52325581],0
v2,1,0.373204,0.792968,[ 79 110] ; [ 84 140],[ 74.59322034 114.40677966] ; [ 88.40677966 135.59322034],0
u3,1,0.375332,0.785936,[32 29] ; [42 51],[29.31168831 31.68831169] ; [44.68831169 48.31168831],0
b3,1,0.493606,0.468656,[36 75] ; [36 91],[33.57983193 77.42016807] ; [38.42016807 88.57983193],0
b2,1,0.493606,0.468656,[36 75] ; [36 91],[33.57983193 77.42016807] ; [38.42016807 88.57983193],0
s1,1,0.538933,0.37752,[  9 186] ; [  8 224],[  7.76346604 187.23653396] ; [  9.23653396 222.76346604],0
n2,1,0.559478,0.340608,[35 15] ; [56 30],[33.45588235 16.54411765] ; [57.54411765 28.45588235],0
p1,1,0.64532,0.211852,[ 12 183] ; [ 12 222],[ 10.90909091 184.09090909] ; [ 13.09090909 220.90909091],0
u4,1,0.677473,0.172984,[  1 194] ; [  2 234],[  1.35730858 193.64269142] ; [  1.64269142 234.35730858],0
p12,1,0.685515,0.163984,[  9 186] ; [  9 226],[  8.1627907 186.8372093] ; [  9.8372093 225.1627907],0
b5,1,0.771426,0.084396,[108  87] ; [134 102],[109.48955916  85.51044084] ; [132.51044084 103.48955916],0
v3,1,0.792167,0.069431,[ 46 144] ; [ 58 171],[ 47.15990453 142.84009547] ; [ 56.84009547 172.15990453],0
b4,1,0.876179,0.024278,[113  82] ; [135 101],[112.20417633  82.79582367] ; [135.79582367 100.20417633],0
n1,1,0.93701,0.006246,[17 33] ; [28 56],[16.79104478 33.20895522] ; [28.20895522 55.79104478],0
a8,1,0.949645,0.003988,[ 19 160] ; [ 24 198],[ 19.19451372 159.80548628] ; [ 23.80548628 198.19451372],0
b1,1,0.997819,7e-06,[ 81 114] ; [ 98 138],[ 80.98607889 114.01392111] ; [ 98.01392111 137.98607889],0
