Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.000241,13.480276,[26 29] ; [19 80],[16.07142857 38.92857143] ; [28.92857143 70.07142857],1
p2,1,0.001118,10.621118,[39 17] ; [42 57],[29.26451613 26.73548387] ; [51.73548387 47.26451613],0
p3,1,0.002852,8.899856,[23 32] ; [19 79],[15.09803922 39.90196078] ; [26.90196078 71.09803922],0
d3,1,0.00389,8.334441,[40 16] ; [47 52],[31.43225806 24.56774194] ; [55.56774194 43.43225806],0
s6,1,0.006251,7.476562,[29 27] ; [29 69],[21.09090909 34.90909091] ; [36.90909091 61.09090909],0
p5,1,0.013022,6.166166,[ 5 50] ; [ 1 98],[ 2.14285714 52.85714286] ; [ 3.85714286 95.14285714],0
r4,1,0.015403,5.86974,[46 10] ; [63 36],[39.38064516 16.61935484] ; [69.61935484 29.38064516],0
p7,1,0.023877,5.103559,[32 23] ; [38 59],[25.32894737 29.67105263] ; [44.67105263 52.32894737],0
u1,1,0.034991,4.445617,[11 45] ; [ 8 91],[ 6.86451613 49.13548387] ; [12.13548387 86.86451613],0
s3,1,0.046288,3.971091,[28 28] ; [33 65],[22.18181818 33.81818182] ; [38.81818182 59.18181818],0
n6,1,0.055724,3.660287,[40 15] ; [56 42],[34.50980392 20.49019608] ; [61.49019608 36.50980392],0
v2,1,0.077295,3.120873,[29 26] ; [36 59],[23.83333333 31.16666667] ; [41.16666667 53.83333333],0
a5,1,0.081919,3.026412,[38 18] ; [53 46],[32.87741935 23.12258065] ; [58.12258065 40.87741935],0
r3,1,0.08742,2.92126,[50  6] ; [76 21],[46.11764706  9.88235294] ; [79.88235294 17.11764706],0
a3,1,0.090549,2.864583,[27 29] ; [61 37],[32. 24.] ; [56. 42.],0
u2,1,0.092579,2.828955,[10 18] ; [21 16],[13.35384615 14.64615385] ; [17.64615385 19.35384615],0
p6,1,0.098115,2.735922,[14 41] ; [14 82],[10.1986755 44.8013245] ; [17.8013245 78.1986755],0
p1,1,0.09944,2.714495,[ 7 49] ; [ 5 93],[ 4.36363636 51.63636364] ; [ 7.63636364 90.36363636],0
