Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,32.804492,[23 14] ; [15 92],[ 9.76388889 27.23611111] ; [28.23611111 78.76388889],1
p8,1,0.000379,12.631579,[15 21] ; [15 93],[ 7.5 28.5] ; [22.5 85.5],1
s8,1,0.001651,9.902151,[16 21] ; [19 89],[ 8.93103448 28.06896552] ; [26.06896552 81.93103448],0
s2,1,0.002955,8.834994,[19 18] ; [27 81],[11.73793103 25.26206897] ; [34.26206897 73.73793103],0
s6,1,0.005116,7.837838,[22 15] ; [36 72],[14.8 22.2] ; [43.2 64.8],0
p6,1,0.00532,7.76729,[ 9 27] ; [ 8 98],[ 4.30985915 31.69014085] ; [12.69014085 93.30985915],0
s3,1,0.007887,7.058848,[21 16] ; [34 72],[14.23076923 22.76923077] ; [40.76923077 65.23076923],0
p7,1,0.00889,6.844729,[17 19] ; [25 79],[10.8 25.2] ; [31.2 72.8],0
r3,1,0.02076,5.346805,[33  4] ; [75 32],[27.75  9.25] ; [80.25 26.75],0
n3,1,0.027029,4.888953,[11  2] ; [21 21],[7.56363636 5.43636364] ; [24.43636364 17.56363636],0
p10,1,0.030198,4.697968,[23 14] ; [44 62],[17.33566434 19.66433566] ; [49.66433566 56.33566434],0
r4,1,0.03637,4.379686,[29  8] ; [64 44],[23.73103448 13.26896552] ; [69.26896552 38.73103448],0
v4,1,0.049164,3.869732,[32  5] ; [75 32],[27.49305556  9.50694444] ; [79.50694444 27.49305556],0
p11,1,0.051179,3.802422,[24 13] ; [50 58],[18.88275862 18.11724138] ; [55.11724138 52.88275862],0
v2,1,0.071011,3.259485,[19 16] ; [38 65],[14.45652174 20.54347826] ; [42.54347826 60.45652174],0
n6,1,0.101308,2.68483,[27  9] ; [64 43],[22.90909091 13.09090909] ; [68.09090909 38.90909091],0
p9,1,0.104408,2.636884,[23 14] ; [48 55],[18.76428571 18.23571429] ; [52.23571429 50.76428571],0
p5,1,0.129801,2.294878,[ 3 31] ; [  3 104],[ 1.44680851 32.55319149] ; [  4.55319149 102.44680851],0
u2,1,0.150088,2.071356,[9 4] ; [19 22],[6.74074074 6.25925926] ; [21.25925926 19.74074074],0
a5,1,0.168882,1.892843,[25 12] ; [59 49],[21.43448276 15.56551724] ; [62.56551724 45.43448276],0
v1,1,0.183551,1.768637,[14 20] ; [31 76],[10.85106383 23.14893617] ; [34.14893617 72.85106383],0
s7,1,0.203909,1.614151,[13 21] ; [27 74],[10.07407407 23.92592593] ; [29.92592593 71.07407407],0
d5,1,0.21577,1.532283,[27 10] ; [66 41],[23.89583333 13.10416667] ; [69.10416667 37.89583333],0
n2,1,0.263436,1.250609,[10  3] ; [27 18],[8.29310345 4.70689655] ; [28.70689655 16.29310345],0
p1,1,0.306015,1.047796,[ 1 36] ; [  8 100],[ 2.29655172 34.70344828] ; [  6.70344828 101.29655172],0
a7,1,0.307015,1.043475,[20 17] ; [68 39],[22.61111111 14.38888889] ; [65.38888889 41.61111111],0
u3,1,0.339632,0.91182,[8 5] ; [19 22],[6.5 6.5] ; [20.5 20.5],0
a2,1,0.355124,0.855063,[ 5 32] ; [22 86],[ 6.88965517 30.11034483] ; [20.11034483 87.88965517],0
u1,1,0.374305,0.789324,[ 7 30] ; [14 94],[ 5.35862069 31.64137931] ; [15.64137931 92.35862069],0
n4,1,0.388476,0.743708,[22 15] ; [72 35],[24.15277778 12.84722222] ; [69.84722222 37.15277778],0
