Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.0,40.886105,[175  26] ; [109  78],[147.12371134  53.87628866] ; [136.87628866  50.12371134],1
p8,1,0.0,29.431542,[154  48] ; [93 94],[128.2622108  73.7377892] ; [118.7377892  68.2622108],1
p5,1,0.000984,10.857115,[ 49 154] ; [ 21 165],[ 36.52956298 166.47043702] ; [ 33.47043702 152.52956298],1
a4,1,0.001848,9.6943,[114  88] ; [ 76 111],[ 98.66323907 103.33676093] ; [91.33676093 95.66323907],0
s8,1,0.003866,8.345472,[133  70] ; [95 91],[118.98200514  84.01799486] ; [109.01799486  76.98200514],0
s5,1,0.006325,7.455292,[103  93] ; [ 71 113],[ 89.74736842 106.25263158] ; [84.25263158 99.74736842],0
p9,1,0.010155,6.607585,[189  14] ; [159  28],[181.13846154  21.86153846] ; [166.86153846  20.13846154],0
p12,1,0.015428,5.86697,[ 31 172] ; [ 14 174],[ 23.36317136 179.63682864] ; [ 21.63682864 166.36317136],0
p10,1,0.018144,5.582146,[181  20] ; [152  34],[172.95348837  28.04651163] ; [160.04651163  25.95348837],0
b3,1,0.022301,5.222119,[56 73] ; [35 84],[47.33467742 81.66532258] ; [43.66532258 75.33467742],0
b2,1,0.022301,5.222119,[56 73] ; [35 84],[47.33467742 81.66532258] ; [43.66532258 75.33467742],0
a6,1,0.028335,4.807568,[128  75] ; [138  50],[138.10230179  64.89769821] ; [127.89769821  60.10230179],0
n4,1,0.036629,4.367586,[174  29] ; [145  42],[166.04358974  36.95641026] ; [152.95641026  34.04358974],0
a1,1,0.037786,4.314618,[ 18 185] ; [  7 181],[ 12.97953964 190.02046036] ; [ 12.02046036 175.97953964],0
v1,1,0.039083,4.257269,[128  72] ; [97 84],[118.11023622  81.88976378] ; [106.88976378  74.11023622],0
p3,1,0.041301,4.163632,[149  54] ; [120  68],[139.65984655  63.34015345] ; [129.34015345  58.65984655],0
s4,1,0.04183,4.14206,[ 51 148] ; [ 32 155],[ 42.79015544 156.20984456] ; [ 40.20984456 146.79015544],0
s7,1,0.046016,3.981016,[133  59] ; [105  72],[123.83739837  68.16260163] ; [114.16260163  62.83739837],0
n6,1,0.050388,3.828507,[183  18] ; [159  29],[176.71465296  24.28534704] ; [165.28534704  22.71465296],0
p11,1,0.057603,3.605085,[170  33] ; [143  45],[162.50383632  40.49616368] ; [150.49616368  37.50383632],0
s2,1,0.057821,3.598818,[147  56] ; [118  68],[138.29048843  64.70951157] ; [126.70951157  59.29048843],0
p1,1,0.080642,3.05192,[ 26 176] ; [ 14 173],[ 20.77120823 181.22879177] ; [ 19.22879177 167.77120823],0
d1,1,0.085742,2.952562,[143  60] ; [117  71],[134.98721228  68.01278772] ; [125.01278772  62.98721228],0
d4,1,0.144834,2.125837,[179  23] ; [157  31],[174.03076923  27.96923077] ; [161.96923077  26.03076923],0
b5,1,0.153636,2.035774,[113  90] ; [118  70],[119.93094629  83.06905371] ; [111.06905371  76.93094629],0
d2,1,0.194561,1.682737,[118  85] ; [97 91],[111.62404092  91.37595908] ; [103.37595908  84.62404092],0
r2,1,0.200205,1.640881,[192   8] ; [174  13],[189.14728682  10.85271318] ; [176.85271318  10.14728682],0
u1,1,0.20477,1.608019,[ 52 151] ; [ 38 150],[ 46.72634271 156.27365729] ; [ 43.27365729 144.72634271],0
b1,1,0.252767,1.307943,[ 86 117] ; [ 69 119],[ 80.47314578 122.52685422] ; [ 74.52685422 113.47314578],0
r3,1,0.2988,1.079542,[198   4] ; [181   7],[196.3025641   5.6974359] ; [182.6974359   5.3025641],0
d3,1,0.308479,1.037178,[159  44] ; [139  49],[154.71611253  48.28388747] ; [143.28388747  44.71611253],0
d5,1,0.309942,1.030922,[177  25] ; [158  30],[173.51282051  28.48717949] ; [161.48717949  26.51282051],0
n5,1,0.332901,0.93758,[168  33] ; [150  38],[164.31362468  36.68637532] ; [153.68637532  34.31362468],0
p2,1,0.346036,0.887941,[185  18] ; [165  22],[182.17948718  20.82051282] ; [167.82051282  19.17948718],0
b4,1,0.348475,0.879002,[125  78] ; [107  81],[120.45012788  82.54987212] ; [111.54987212  76.45012788],0
a8,1,0.408672,0.682662,[ 28 161] ; [ 20 149],[ 25.34078212 163.65921788] ; [ 22.65921788 146.34078212],0
r4,1,0.412778,0.670786,[192  11] ; [174  14],[190.02046036  12.97953964] ; [175.97953964  12.02046036],0
a2,1,0.49934,0.45634,[ 58 145] ; [ 48 140],[ 55.03324808 147.96675192] ; [ 50.96675192 137.03324808],0
v3,1,0.50917,0.435771,[ 79 119] ; [ 77 101],[ 82.14893617 115.85106383] ; [ 73.85106383 104.14893617],0
n2,1,0.514068,0.425778,[25 12] ; [29 10],[26.28947368 10.71052632] ; [27.71052632 11.28947368],0
v2,1,0.548686,0.359676,[120  81] ; [102  78],[117.11811024  83.88188976] ; [104.88188976  75.11811024],0
s3,1,0.561987,0.336276,[142  60] ; [125  60],[139.36434109  62.63565891] ; [127.63565891  57.36434109],0
r1,1,0.605137,0.267318,[172  31] ; [154  32],[170.12339332  32.87660668] ; [155.87660668  30.12339332],0
u4,1,0.690286,0.158776,[  8 195] ; [  6 182],[  7.2685422 195.7314578] ; [  6.7314578 181.2685422],0
a5,1,0.695748,0.152933,[162  41] ; [147  41],[160.42710997  42.57289003] ; [148.57289003  39.42710997],0
a7,1,0.696318,0.152331,[148  54] ; [141  47],[149.68717949  52.31282051] ; [139.31282051  48.68717949],0
s1,1,0.705871,0.142436,[  8 194] ; [  6 179],[  7.30749354 194.69250646] ; [  6.69250646 178.30749354],0
a3,1,0.729505,0.119567,[150  53] ; [136  52],[148.4859335  54.5140665] ; [137.5140665  50.4859335],0
v4,1,0.731376,0.117852,[194   9] ; [180   7],[194.67179487   8.32820513] ; [179.32820513   7.67179487],0
u3,1,0.779393,0.078462,[34 18] ; [34 16],[34.66666667 17.33333333] ; [33.33333333 16.66666667],0
u2,1,0.952877,0.003492,[34 19] ; [33 18],[34.14423077 18.85576923] ; [32.85576923 18.14423077],0
n1,1,0.965692,0.00185,[15 22] ; [16 23],[15.09210526 21.90789474] ; [15.90789474 23.09210526],0
n3,1,0.984004,0.000402,[25 11] ; [27 12],[24.96 11.04] ; [27.04 11.96],0
