Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,77.231427,[103  76] ; [ 36 191],[ 61.28325123 117.71674877] ; [ 77.71674877 149.28325123],1
p8,1,0.0,44.181543,[106  70] ; [ 62 165],[ 73.36972705 102.63027295] ; [ 94.63027295 132.36972705],1
p6,1,0.0,33.276404,[ 62 114] ; [ 25 198],[ 38.37593985 137.62406015] ; [ 48.62406015 174.37593985],1
p7,1,0.0,30.202359,[118  59] ; [ 87 136],[90.7125 86.2875] ; [114.2875 108.7125],1
p5,1,8e-06,19.854838,[ 23 155] ; [  4 222],[ 11.8960396 166.1039604] ; [ 15.1039604 210.8960396],1
p2,1,1.8e-05,18.40558,[149  28] ; [148  79],[130.12128713  46.87871287] ; [166.87871287  60.12128713],1
a5,1,6.6e-05,15.929859,[130  49] ; [122 107],[110.55882353  68.44117647] ; [141.44117647  87.55882353],1
p10,1,7.5e-05,15.675538,[139  38] ; [135  90],[120.64179104  56.35820896] ; [153.35820896  71.64179104],1
p11,1,9.2e-05,15.288598,[145  34] ; [145  84],[127.23039216  51.76960784] ; [162.76960784  66.23039216],1
s6,1,0.000213,13.712112,[93 80] ; [ 80 147],[74.8225 98.1775] ; [ 98.1775 128.8225],1
r4,1,0.00022,13.65175,[156  23] ; [165  64],[140.83088235  38.16911765] ; [180.16911765  48.83088235],1
v1,1,0.000348,12.790952,[93 80] ; [ 81 145],[75.44360902 97.55639098] ; [ 98.55639098 127.44360902],1
n4,1,0.000567,11.882374,[133  46] ; [132  96],[116.54791155  62.45208845] ; [148.45208845  79.54791155],1
d5,1,0.000892,11.040036,[145  34] ; [151  77],[130.18181818  48.81818182] ; [165.81818182  62.18181818],1
d1,1,0.00255,9.104153,[98 81] ; [ 91 138],[82.91911765 96.08088235] ; [106.08088235 122.91911765],0
n6,1,0.002691,9.005768,[147  30] ; [160  68],[134.17037037  42.82962963] ; [172.82962963  55.17037037],0
v2,1,0.00303,8.789544,[96 76] ; [ 87 127],[81.54404145 90.45595855] ; [101.45595855 112.54404145],0
a4,1,0.003335,8.614492,[81 97] ; [ 71 156],[ 66.80493827 111.19506173] ; [ 85.19506173 141.80493827],0
r1,1,0.004265,8.167195,[135  42] ; [143  84],[121.7970297  55.2029703] ; [156.2029703  70.7970297],0
d3,1,0.010191,6.601173,[124  55] ; [129  98],[111.54433498  67.45566502] ; [141.45566502  85.54433498],0
u3,1,0.01159,6.372591,[42 30] ; [38 60],[33.88235294 38.11764706] ; [46.11764706 51.88235294],0
r3,1,0.011612,6.369148,[165  13] ; [191  35],[156.85148515  21.14851485] ; [199.14851485  26.85148515],0
u1,1,0.012903,6.182416,[ 26 153] ; [ 16 213],[ 18.42647059 160.57352941] ; [ 23.57352941 205.42647059],0
a7,1,0.015586,5.849012,[137  42] ; [148  78],[125.96296296  53.03703704] ; [159.03703704  66.96296296],0
v3,1,0.016501,5.748643,[ 57 113] ; [ 50 171],[ 46.52173913 123.47826087] ; [ 60.47826087 160.52173913],0
