Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,88.882032,[ 48 181] ; [138  73],[ 96.80454545 132.19545455] ; [ 89.19545455 121.80454545],1
p2,1,0.0,34.627952,[150  79] ; [189  23],[176.03401361  52.96598639] ; [162.96598639  49.03401361],1
p8,1,0.0,30.741009,[ 65 162] ; [115  95],[ 93.50114416 133.49885584] ; [ 86.49885584 123.50114416],1
p10,1,2.9e-05,17.496955,[158  71] ; [181  30],[176.43409091  52.56590909] ; [162.56590909  48.43409091],1
r4,1,4.5e-05,16.645237,[181  49] ; [196  16],[196.17647059  33.82352941] ; [180.82352941  31.17647059],1
p7,1,0.000104,15.06087,[ 93 132] ; [127  85],[113.27231121 111.72768879] ; [106.72768879 105.27231121],1
p9,1,0.000148,14.402576,[159  64] ; [182  29],[175.21428571  47.78571429] ; [165.78571429  45.21428571],1
s6,1,0.000172,14.115983,[119 108] ; [145  62],[138.08294931  88.91705069] ; [125.91705069  81.08294931],1
n6,1,0.000327,12.909474,[176  52] ; [189  21],[190.  38.] ; [175.  35.],1
v4,1,0.000327,12.908835,[197  31] ; [202   8],[207.69863014  20.30136986] ; [191.30136986  18.69863014],1
d1,1,0.000558,11.912243,[110 120] ; [136  76],[128.00904977 101.99095023] ; [117.99095023  94.00904977],1
v1,1,0.000758,11.341238,[ 90 132] ; [116  88],[107.35211268 114.64788732] ; [ 98.64788732 105.35211268],1
r3,1,0.000963,10.897887,[197  30] ; [203   9],[206.83371298  20.16628702] ; [193.16628702  18.83371298],1
p5,1,0.001617,9.940236,[  9 220] ; [ 25 183],[ 17.81693364 211.18306636] ; [ 16.18306636 191.81693364],0
n5,1,0.001657,9.89587,[179  49] ; [189  22],[191.12528474  36.87471526] ; [176.87471526  34.12528474],0
p11,1,0.001863,9.680094,[166  64] ; [179  33],[179.52488688  50.47511312] ; [165.47511312  46.52488688],0
s2,1,0.00396,8.301862,[ 88 141] ; [108  99],[102.94495413 126.05504587] ; [ 93.05504587 113.94495413],0
s7,1,0.005142,7.828732,[ 82 137] ; [103  99],[ 96.23515439 122.76484561] ; [ 88.76484561 113.23515439],0
d5,1,0.007024,7.26675,[172  57] ; [181  31],[183.30385488  45.69614512] ; [169.69614512  42.30385488],0
s8,1,0.009926,6.648081,[ 73 156] ; [ 92 118],[ 86.07061503 142.92938497] ; [ 78.92938497 131.07061503],0
d3,1,0.023216,5.152274,[135  94] ; [147  65],[146.43537415  82.56462585] ; [135.56462585  76.43537415],0
a6,1,0.027559,4.855433,[145  84] ; [155  57],[155.78231293  73.21768707] ; [144.21768707  67.78231293],0
s5,1,0.03017,4.699596,[ 49 174] ; [ 64 141],[ 58.87616822 164.12383178] ; [ 54.12383178 150.87616822],0
v2,1,0.033233,4.533724,[104 114] ; [119  86],[114.92671395 103.07328605] ; [108.07328605  96.92671395],0
d2,1,0.035954,4.399302,[101 125] ; [116  96],[111.96803653 114.03196347] ; [105.03196347 106.96803653],0
v3,1,0.051048,3.806706,[ 77 146] ; [ 88 113],[ 86.78066038 136.21933962] ; [ 78.21933962 122.78066038],0
s3,1,0.07184,3.240469,[111 115] ; [119  87],[120.32407407 105.67592593] ; [109.67592593  96.32407407],0
u1,1,0.073236,3.208957,[ 31 199] ; [ 42 170],[ 37.98642534 192.01357466] ; [ 35.01357466 176.98642534],0
a5,1,0.073535,3.20229,[163  67] ; [166  46],[171.19909502  58.80090498] ; [157.80090498  54.19909502],0
d4,1,0.085595,2.955323,[173  55] ; [175  37],[180.32727273  47.67272727] ; [167.67272727  44.32727273],0
u3,1,0.085975,2.948162,[30 42] ; [34 26],[34.90909091 37.09090909] ; [29.09090909 30.90909091],0
r1,1,0.094524,2.795585,[172  56] ; [173  38],[179.17995444  48.82004556] ; [165.82004556  45.17995444],0
a8,1,0.125615,2.345873,[ 40 173] ; [ 25 165],[ 34.35483871 178.64516129] ; [ 30.64516129 159.35483871],0
a7,1,0.127818,2.318802,[151  78] ; [154  58],[158.37868481  70.62131519] ; [146.62131519  65.37868481],0
p1,1,0.129769,2.295261,[ 12 216] ; [ 19 193],[ 16.06363636 211.93636364] ; [ 14.93636364 197.06363636],0
a1,1,0.193735,1.688987,[ 15 215] ; [  8 204],[ 11.96832579 218.03167421] ; [ 11.03167421 200.96832579],0
a2,1,0.207471,1.58899,[ 48 182] ; [ 55 157],[ 53.59728507 176.40271493] ; [ 49.40271493 162.59728507],0
b4,1,0.402684,0.700298,[136  94] ; [117  95],[131.65158371  98.34841629] ; [121.34841629  90.65158371],0
u2,1,0.404504,0.694897,[34 36] ; [33 26],[36.35658915 33.64341085] ; [30.64341085 28.35658915],0
b2,1,0.423359,0.640973,[50 88] ; [46 99],[46.81272085 91.18727915] ; [49.18727915 95.81272085],0
b3,1,0.423359,0.640973,[50 88] ; [46 99],[46.81272085 91.18727915] ; [49.18727915 95.81272085],0
