Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.000107,15.009815,[82 24] ; [17 22],[72.37241379 33.62758621] ; [26.62758621 12.37241379],1
r3,1,0.000123,14.740264,[93 13] ; [23 16],[84.8 21.2] ; [31.2  7.8],1
p9,1,0.000689,11.518868,[74 29] ; [15 22],[65.47857143 37.52142857] ; [23.52142857 13.47857143],1
p11,1,0.00088,11.064375,[82 24] ; [19 20],[73.83448276 32.16551724] ; [27.16551724 11.83448276],1
p10,1,0.002157,9.41079,[70 35] ; [14 23],[62.11267606 42.88732394] ; [21.88732394 15.11267606],0
v4,1,0.003092,8.752476,[94 12] ; [25 12],[88.20979021 17.79020979] ; [30.79020979  6.20979021],0
r4,1,0.003736,8.407805,[83 23] ; [21 18],[76.02758621 29.97241379] ; [27.97241379 11.02758621],0
p8,1,0.011833,6.335756,[32 72] ; [ 4 35],[26.18181818 77.81818182] ; [ 9.81818182 29.18181818],0
a5,1,0.014419,5.986131,[70 36] ; [17 22],[63.6 42.4] ; [23.4 15.6],0
p7,1,0.025162,5.012736,[51 53] ; [11 28],[45.09090909 58.90909091] ; [16.90909091 22.09090909],0
d5,1,0.038983,4.261611,[69 37] ; [18 21],[63.6 42.4] ; [23.4 15.6],0
p2,1,0.048839,3.880883,[70 35] ; [19 20],[64.89583333 40.10416667] ; [24.10416667 14.89583333],0
p6,1,0.059176,3.560331,[23 81] ; [ 3 34],[19.17730496 84.82269504] ; [ 6.82269504 30.17730496],0
s6,1,0.068613,3.315894,[53 50] ; [13 25],[48.21276596 54.78723404] ; [17.78723404 20.21276596],0
b1,1,0.077104,3.124923,[45 61] ; [23 16],[49.71034483 56.28965517] ; [18.28965517 20.71034483],0
r2,1,0.095257,2.783212,[95 11] ; [30  8],[92.01388889 13.98611111] ; [32.98611111  5.01388889],0
s7,1,0.104803,2.63089,[40 63] ; [ 8 26],[36.08759124 66.91240876] ; [11.91240876 22.08759124],0
s8,1,0.110838,2.542226,[36 69] ; [ 8 31],[32.08333333 72.91666667] ; [11.91666667 27.08333333],0
n4,1,0.114704,2.488181,[77 29] ; [23 16],[73.10344828 32.89655172] ; [26.89655172 12.10344828],0
u2,1,0.129432,2.299301,[13 25] ; [10  8],[15.60714286 22.39285714] ; [ 7.39285714 10.60714286],0
d4,1,0.130697,2.284211,[73 33] ; [21 17],[69.19444444 36.80555556] ; [24.80555556 13.19444444],0
a6,1,0.136106,2.221443,[50 56] ; [13 26],[46.05517241 59.94482759] ; [16.94482759 22.05517241],0
b5,1,0.143628,2.138653,[58 48] ; [16 23],[54.09655172 51.90344828] ; [19.90344828 19.09655172],0
a1,1,0.148763,2.084892,[  6 100] ; [ 5 34],[ 8.04137931 97.95862069] ; [ 2.95862069 36.04137931],0
a4,1,0.160281,1.971575,[43 62] ; [11 28],[39.375 65.625] ; [14.625 24.375],0
s5,1,0.189695,1.719984,[30 72] ; [ 7 31],[26.95714286 75.04285714] ; [10.04285714 27.95714286],0
a3,1,0.230886,1.435393,[68 37] ; [21 18],[64.89583333 40.10416667] ; [24.10416667 14.89583333],0
d3,1,0.246759,1.341558,[38 68] ; [10 29],[35.08965517 70.91034483] ; [12.91034483 26.08965517],0
s2,1,0.254146,1.300369,[40 64] ; [11 28],[37.09090909 66.90909091] ; [13.90909091 25.09090909],0
u1,1,0.270138,1.216048,[ 8 98] ; [ 1 38],[ 6.57931034 99.42068966] ; [ 2.42068966 36.57931034],0
v2,1,0.279844,1.167849,[43 60] ; [11 24],[40.30434783 62.69565217] ; [13.69565217 21.30434783],0
v3,1,0.365311,0.819551,[31 72] ; [ 8 28],[28.89928058 74.10071942] ; [10.10071942 25.89928058],0
b3,1,0.395473,0.722047,[27 41] ; [11 11],[28.71111111 39.28888889] ; [ 9.28888889 12.71111111],0
b2,1,0.395473,0.722047,[27 41] ; [11 11],[28.71111111 39.28888889] ; [ 9.28888889 12.71111111],0
s4,1,0.417511,0.657312,[18 87] ; [ 9 30],[19.6875 85.3125] ; [ 7.3125 31.6875],0
r1,1,0.431639,0.618411,[70 36] ; [23 16],[67.9862069 38.0137931] ; [25.0137931 13.9862069],0
s3,1,0.46438,0.535317,[48 57] ; [20 18],[49.93006993 55.06993007] ; [18.06993007 19.93006993],0
n3,1,0.521245,0.411429,[23 12] ; [12  9],[21.875 13.125] ; [13.125  7.875],0
n1,1,0.560233,0.3393,[12 24] ; [ 9 13],[13.03448276 22.96551724] ; [ 7.96551724 14.03448276],0
u3,1,0.589485,0.29115,[12 26] ; [ 7 11],[12.89285714 25.10714286] ; [ 6.10714286 11.89285714],0
d2,1,0.604665,0.268018,[43 61] ; [18 21],[44.36363636 59.63636364] ; [16.63636364 22.36363636],0
v1,1,0.679359,0.170848,[44 60] ; [18 21],[45.09090909 58.90909091] ; [16.90909091 22.09090909],0
d1,1,0.700151,0.148314,[39 67] ; [13 26],[38.0137931 67.9862069] ; [13.9862069 25.0137931],0
p1,1,0.818578,0.052612,[ 7 99] ; [ 3 36],[ 7.31034483 98.68965517] ; [ 2.68965517 36.31034483],0
p3,1,0.834068,0.043885,[26 79] ; [ 9 30],[25.52083333 79.47916667] ; [ 9.47916667 29.52083333],0
p12,1,0.90782,0.013407,[ 6 98] ; [ 2 36],[ 5.85915493 98.14084507] ; [ 2.14084507 35.85915493],0
n2,1,0.919668,0.010171,[25 11] ; [15  7],[24.82758621 11.17241379] ; [15.17241379  6.82758621],0
s1,1,0.927627,0.00825,[  5 100] ; [ 2 37],[ 5.10416667 99.89583333] ; [ 1.89583333 37.10416667],0
b4,1,0.935732,0.006502,[59 47] ; [22 17],[59.2137931 46.7862069] ; [21.7862069 17.2137931],0
