Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,1e-06,23.429389,[ 25 109] ; [27 22],[38.07650273 95.92349727] ; [13.92349727 35.07650273],1
p8,1,0.000141,14.485622,[ 18 117] ; [19 30],[ 27.14673913 107.85326087] ; [ 9.85326087 39.14673913],1
s6,1,0.000462,12.264422,[55 78] ; [34 14],[65.39779006 67.60220994] ; [23.60220994 24.39779006],1
p6,1,0.000912,10.998343,[ 16 117] ; [16 32],[ 23.51381215 109.48618785] ; [ 8.48618785 39.51381215],1
s2,1,0.004322,8.143179,[44 90] ; [27 21],[52.27472527 81.72527473] ; [18.72527473 29.27472527],0
r3,1,0.006838,7.315054,[102  32] ; [46  3],[108.3715847  25.6284153] ; [39.6284153  9.3715847],0
s8,1,0.016652,5.732645,[ 33 101] ; [21 28],[39.54098361 94.45901639] ; [14.45901639 34.54098361],0
r4,1,0.019443,5.461187,[89 46] ; [41  8],[95.38043478 39.61956522] ; [34.61956522 14.38043478],0
v4,1,0.021071,5.32092,[99 35] ; [44  5],[104.71038251  29.28961749] ; [38.28961749 10.71038251],0
p7,1,0.039426,4.242424,[34 98] ; [20 28],[39.6 92.4] ; [14.4 33.6],0
p11,1,0.046486,3.963896,[63 72] ; [31 18],[68.9673913 66.0326087] ; [25.0326087 23.9673913],0
p9,1,0.047291,3.935004,[65 63] ; [33 16],[70.8700565 57.1299435] ; [27.1299435 21.8700565],0
a5,1,0.052631,3.755604,[78 57] ; [36 13],[83.64130435 51.35869565] ; [30.35869565 18.64130435],0
s5,1,0.053209,3.737347,[ 24 104] ; [15 31],[28.68965517 99.31034483] ; [10.31034483 35.68965517],0
p10,1,0.063017,3.456158,[63 69] ; [31 18],[68.55248619 63.44751381] ; [25.44751381 23.55248619],0
d5,1,0.086585,2.93674,[86 48] ; [38 11],[90.79781421 43.20218579] ; [33.20218579 15.79781421],0
v2,1,0.10598,2.613163,[55 71] ; [27 20],[59.72254335 66.27745665] ; [22.27745665 24.72254335],0
n3,1,0.111141,2.537921,[29 24] ; [13  4],[31.8 21.2] ; [10.2  6.8],0
v1,1,0.120289,2.413551,[43 91] ; [21 26],[47.38121547 86.61878453] ; [16.61878453 30.38121547],0
n6,1,0.124875,2.355087,[85 49] ; [37 12],[89.33333333 44.66666667] ; [32.66666667 16.33333333],0
n2,1,0.137861,2.201672,[36 21] ; [14  3],[38.51351351 18.48648649] ; [11.48648649  5.51351351],0
a4,1,0.176771,1.824561,[53 80] ; [25 24],[57. 76.] ; [21. 28.],0
n4,1,0.190135,1.716573,[88 46] ; [27 22],[84.20765027 49.79234973] ; [30.79234973 18.20765027],0
r1,1,0.201718,1.629892,[82 52] ; [35 14],[85.67213115 48.32786885] ; [31.32786885 17.67213115],0
u2,1,0.242694,1.364879,[23 28] ; [11  7],[25.13043478 25.86956522] ; [8.86956522 9.13043478],0
u1,1,0.254234,1.299886,[ 16 119] ; [ 9 40],[ 18.3423913 116.6576087] ; [ 6.6576087 42.3423913],0
d1,1,0.270909,1.212137,[62 73] ; [27 22],[65.29891304 69.70108696] ; [23.70108696 25.29891304],0
u3,1,0.291984,1.110452,[25 26] ; [12  7],[26.95714286 24.04285714] ; [10.04285714  8.95714286],0
a7,1,0.321908,0.981178,[82 52] ; [26 23],[79.08196721 54.91803279] ; [28.91803279 20.08196721],0
s3,1,0.359894,0.838265,[52 80] ; [23 26],[54.6961326 77.3038674] ; [20.3038674 28.6961326],0
p1,1,0.379095,0.773633,[ 14 121] ; [ 3 46],[ 12.47282609 122.52717391] ; [ 4.52717391 44.47282609],0
a8,1,0.381784,0.764949,[ 14 116] ; [ 3 44],[ 12.48587571 117.51412429] ; [ 4.51412429 42.48587571],0
r2,1,0.381966,0.764364,[111  20] ; [44  5],[112.80555556  18.19444444] ; [42.19444444  6.80555556],0
s7,1,0.441748,0.591737,[40 87] ; [17 28],[42.0872093 84.9127907] ; [14.9127907 30.0872093],0
d2,1,0.448469,0.574519,[59 73] ; [25 24],[61.25966851 70.74033149] ; [22.74033149 26.25966851],0
n5,1,0.495583,0.464383,[84 50] ; [28 21],[82.01092896 51.98907104] ; [29.98907104 19.01092896],0
a6,1,0.595067,0.2825,[77 57] ; [26 23],[75.42076503 58.57923497] ; [27.57923497 21.42076503],0
s4,1,0.649624,0.206374,[ 26 108] ; [11 38],[ 27.09289617 106.90710383] ; [ 9.90710383 39.09289617],0
a2,1,0.650502,0.205268,[ 26 109] ; [ 8 41],[ 24.94565217 110.05434783] ; [ 9.05434783 39.94565217],0
d3,1,0.681459,0.168488,[72 62] ; [28 21],[73.22404372 60.77595628] ; [26.77595628 22.22404372],0
v3,1,0.683401,0.166323,[40 87] ; [13 33],[38.90751445 88.09248555] ; [14.09248555 31.90751445],0
u4,1,0.70569,0.14262,[  4 131] ; [ 2 47],[  4.40217391 130.59782609] ; [ 1.59782609 47.40217391],0
b5,1,0.745845,0.105055,[78 57] ; [27 22],[77.03804348 57.96195652] ; [27.96195652 21.03804348],0
b1,1,0.746878,0.104174,[67 68] ; [23 26],[66.0326087 68.9673913] ; [23.9673913 25.0326087],0
p12,1,0.751697,0.100111,[  7 127] ; [ 2 47],[  6.59016393 127.40983607] ; [ 2.40983607 46.59016393],0
a1,1,0.761416,0.092186,[ 13 122] ; [ 4 45],[ 12.47282609 122.52717391] ; [ 4.52717391 44.47282609],0
b2,1,0.797314,0.065959,[32 52] ; [11 20],[31.40869565 52.59130435] ; [11.59130435 19.40869565],0
b3,1,0.797314,0.065959,[32 52] ; [11 20],[31.40869565 52.59130435] ; [11.59130435 19.40869565],0
a3,1,0.810987,0.057194,[84 49] ; [30 19],[83.30769231 49.69230769] ; [30.69230769 18.30769231],0
d4,1,0.884433,0.021127,[97 37] ; [36 13],[97.38797814 36.61202186] ; [35.61202186 13.38797814],0
b4,1,0.95637,0.002993,[75 60] ; [27 22],[74.83695652 60.16304348] ; [27.16304348 21.83695652],0
s1,1,0.989231,0.000182,[ 11 122] ; [ 4 44],[ 11.02209945 121.97790055] ; [ 3.97790055 44.02209945],0
n1,1,0.993768,6.1e-05,[25 32] ; [7 9],[24.98630137 32.01369863] ; [7.01369863 8.98630137],0
