Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.1e-05,19.294641,[53 16] ; [ 6 17],[44.25 24.75] ; [14.75  8.25],1
n6,1,0.006114,7.51634,[56 13] ; [12 11],[51. 18.] ; [17.  6.],0
a4,1,0.027773,4.842105,[33 36] ; [ 5 18],[28.5 40.5] ; [ 9.5 13.5],0
s7,1,0.047968,3.911111,[34 32] ; [ 6 16],[30. 36.] ; [10. 12.],0
v2,1,0.04863,3.888063,[44 24] ; [ 9 13],[40.04444444 27.95555556] ; [12.95555556  9.04444444],0
v3,1,0.080308,3.058654,[33 35] ; [ 6 16],[29.46666667 38.53333333] ; [ 9.53333333 12.46666667],0
b1,1,0.091911,2.84058,[38 31] ; [ 8 15],[34.5 34.5] ; [11.5 11.5],0
p10,1,0.117205,2.45428,[52 15] ; [14  9],[49.13333333 17.86666667] ; [16.86666667  6.13333333],0
a5,1,0.136646,2.215323,[53 16] ; [14  9],[50.25 18.75] ; [16.75  6.25],0
u3,1,0.151494,2.057143,[9 9] ; [5 1],[10.5  7.5] ; [3.5 2.5],0
s8,1,0.16582,1.92033,[35 33] ; [ 8 15],[32.13186813 35.86813187] ; [10.86813187 12.13186813],0
p2,1,0.18128,1.787102,[47 22] ; [19  4],[49.5 19.5] ; [16.5  6.5],0
n1,1,0.196667,1.666955,[6 5] ; [1 4],[4.8125 6.1875] ; [2.1875 2.8125],0
p6,1,0.227769,1.454737,[19 48] ; [ 3 17],[16.94252874 50.05747126] ; [ 5.05747126 14.94252874],0
b5,1,0.264488,1.245113,[45 24] ; [12 11],[42.75 26.25] ; [14.25  8.75],0
a8,1,0.29304,1.105601,[ 8 56] ; [ 1 21],[ 6.69767442 57.30232558] ; [ 2.30232558 19.69767442],0
a2,1,0.29794,1.083393,[16 53] ; [ 3 20],[14.25 54.75] ; [ 4.75 18.25],0
u1,1,0.314666,1.010989,[12 57] ; [ 2 21],[10.5 58.5] ; [ 3.5 19.5],0
u2,1,0.323296,0.975566,[ 6 11] ; [3 2],[ 6.95454545 10.04545455] ; [2.04545455 2.95454545],0
s6,1,0.337495,0.919923,[36 31] ; [15  8],[37.96666667 29.03333333] ; [13.03333333  9.96666667],0
r1,1,0.363584,0.825474,[51 17] ; [15  8],[49.31868132 18.68131868] ; [16.68131868  6.31868132],0
a7,1,0.38546,0.753216,[41 28] ; [16  7],[42.75 26.25] ; [14.25  8.75],0
b4,1,0.398391,0.713178,[35 34] ; [14  9],[36.75 32.25] ; [12.25 10.75],0
a1,1,0.425716,0.634483,[ 3 66] ; [ 2 21],[ 3.75 65.25] ; [ 1.25 21.75],0
r4,1,0.474658,0.511111,[59 10] ; [21  2],[60.  9.] ; [20.  3.],0
n3,1,0.540818,0.374026,[10  1] ; [4 1],[9.625 1.375] ; [4.375 0.625],0
s3,1,0.546367,0.363866,[38 31] ; [11 12],[36.75 32.25] ; [12.25 10.75],0
d4,1,0.559402,0.340741,[53 16] ; [19  4],[54. 15.] ; [18.  5.],0
s5,1,0.568375,0.325408,[22 43] ; [ 6 16],[20.91954023 44.08045977] ; [ 7.08045977 14.91954023],0
d2,1,0.589613,0.290949,[31 37] ; [ 9 14],[29.89010989 38.10989011] ; [10.10989011 12.89010989],0
v4,1,0.625853,0.237726,[64  5] ; [22  1],[64.5  4.5] ; [21.5  1.5],0
d3,1,0.629807,0.232323,[37 32] ; [11 12],[36. 33.] ; [12. 11.],0
v1,1,0.701039,0.147393,[37 31] ; [13  9],[37.77777778 30.22222222] ; [12.22222222  9.77777778],0
p12,1,0.753417,0.098682,[ 2 65] ; [ 1 22],[ 2.23333333 64.76666667] ; [ 0.76666667 22.23333333],0
d5,1,0.777767,0.079654,[52 17] ; [18  5],[52.5 16.5] ; [17.5  5.5],0
p11,1,0.789188,0.071484,[50 19] ; [16  7],[49.5 19.5] ; [16.5  6.5],0
p8,1,0.79995,0.064218,[30 37] ; [11 12],[30.52222222 36.47777778] ; [10.47777778 12.52222222],0
s2,1,0.806845,0.059779,[29 40] ; [ 9 14],[28.5 40.5] ; [ 9.5 13.5],0
b2,1,0.818625,0.052585,[20 28] ; [5 6],[20.33898305 27.66101695] ; [4.66101695 6.33898305],0
b3,1,0.818625,0.052585,[20 28] ; [5 6],[20.33898305 27.66101695] ; [4.66101695 6.33898305],0
p9,1,0.834052,0.043893,[51 16] ; [18  5],[51.36666667 15.63333333] ; [17.63333333  5.36666667],0
r3,1,0.839435,0.041053,[62  7] ; [21  2],[62.25  6.75] ; [20.75  2.25],0
s4,1,0.862807,0.02986,[10 59] ; [ 3 20],[ 9.75 59.25] ; [ 3.25 19.75],0
a6,1,0.864287,0.029214,[43 25] ; [15  8],[43.34065934 24.65934066] ; [14.65934066  8.34065934],0
a3,1,0.917416,0.010751,[51 17] ; [17  6],[50.81318681 17.18681319] ; [17.18681319  5.81318681],0
p7,1,0.980765,0.000581,[50 19] ; [16  6],[50.04395604 18.95604396] ; [15.95604396  6.04395604],0
d1,1,1.0,0.0,[33 36] ; [11 12],[33. 36.] ; [11. 12.],0
p1,1,1.0,0.0,[ 9 60] ; [ 3 20],[ 9. 60.] ; [ 3. 20.],0
