Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,5e-06,20.971755,[16 10] ; [19 89],[ 6.79104478 19.20895522] ; [28.20895522 79.79104478],1
s6,1,1.1e-05,19.290814,[21  5] ; [36 72],[11.05970149 14.94029851] ; [45.94029851 62.05970149],1
s2,1,8.3e-05,15.496678,[17  9] ; [27 81],[ 8.53731343 17.46268657] ; [35.46268657 72.53731343],1
s3,1,0.000242,13.469961,[18  7] ; [34 72],[ 9.92366412 15.07633588] ; [42.07633588 63.92366412],1
s4,1,0.000797,11.24831,[10 16] ; [12 95],[ 4.30075188 21.69924812] ; [17.69924812 89.30075188],1
s7,1,0.000824,11.185455,[16 10] ; [27 74],[ 8.80314961 17.19685039] ; [34.19685039 66.80314961],1
p12,1,0.002741,8.972504,[ 4 22] ; [  2 106],[ 1.1641791 24.8358209] ; [  4.8358209 103.1641791],0
p10,1,0.003879,8.339569,[19  7] ; [44 62],[12.40909091 13.59090909] ; [50.59090909 55.40909091],0
r4,1,0.00509,7.847264,[23  3] ; [64 44],[16.88059701  9.11940299] ; [70.11940299 37.88059701],0
p6,1,0.005276,7.782159,[ 7 19] ; [ 8 98],[ 2.95454545 23.04545455] ; [12.04545455 93.95454545],0
p3,1,0.014304,6.000204,[ 9 17] ; [15 92],[ 4.69172932 21.30827068] ; [19.30827068 87.69172932],0
p1,1,0.019025,5.499254,[ 6 20] ; [  8 100],[ 2.71641791 23.28358209] ; [11.28358209 96.71641791],0
v2,1,0.034712,4.459304,[14  9] ; [38 65],[ 9.49206349 13.50793651] ; [42.50793651 60.49206349],0
a5,1,0.038024,4.303944,[20  6] ; [59 49],[15.32835821 10.67164179] ; [63.67164179 44.32835821],0
v1,1,0.040953,4.177953,[13 13] ; [31 76],[ 8.60150376 17.39849624] ; [35.39849624 71.60150376],0
n6,1,0.045971,3.982644,[21  5] ; [64 43],[16.61654135  9.38345865] ; [68.38345865 38.61654135],0
p9,1,0.054892,3.685378,[17  8] ; [48 55],[12.6953125 12.3046875] ; [52.3046875 50.6953125],0
r3,1,0.056424,3.639504,[23  3] ; [75 32],[19.15789474  6.84210526] ; [78.84210526 28.15789474],0
v4,1,0.056424,3.639504,[23  3] ; [75 32],[19.15789474  6.84210526] ; [78.84210526 28.15789474],0
r2,1,0.056584,3.634775,[25  1] ; [84 20],[21.8  4.2] ; [87.2 16.8],0
r1,1,0.181704,1.78363,[19  7] ; [63 44],[16.03007519  9.96992481] ; [65.96992481 41.03007519],0
d4,1,0.207559,1.588375,[21  5] ; [73 34],[18.37593985  7.62406015] ; [75.62406015 31.37593985],0
b1,1,0.220172,1.503248,[16 10] ; [52 56],[13.19402985 12.80597015] ; [54.80597015 53.19402985],0
n1,1,0.223225,1.483516,[6 3] ; [20 25],[4.33333333 4.66666667] ; [21.66666667 23.33333333],0
p5,1,0.239823,1.381632,[ 2 24] ; [  3 104],[ 0.97744361 25.02255639] ; [  4.02255639 102.97744361],0
p8,1,0.247282,1.338596,[ 6 20] ; [15 93],[ 4.07462687 21.92537313] ; [16.92537313 91.07462687],0
u2,1,0.264525,1.244919,[2 6] ; [19 22],[3.42857143 4.57142857] ; [17.57142857 23.42857143],0
p11,1,0.296572,1.089545,[15 11] ; [50 58],[12.6119403 13.3880597] ; [52.3880597 55.6119403],0
n2,1,0.313358,1.016471,[7 2] ; [27 18],[5.66666667 3.33333333] ; [28.33333333 16.66666667],0
a7,1,0.3613,0.83337,[14 12] ; [68 39],[16.03007519  9.96992481] ; [65.96992481 41.03007519],0
d1,1,0.420641,0.648523,[10 16] ; [51 57],[11.8358209 14.1641791] ; [49.1641791 58.8358209],0
a6,1,0.43668,0.604991,[17  9] ; [61 46],[15.2481203 10.7518797] ; [62.7518797 44.2481203],0
u1,1,0.456833,0.553642,[ 2 24] ; [14 94],[ 3.10447761 22.89552239] ; [12.89552239 95.10447761],0
d5,1,0.474179,0.512221,[18  8] ; [66 41],[16.42105263  9.57894737] ; [67.57894737 39.42105263],0
a4,1,0.485973,0.48543,[12 14] ; [41 65],[10.43939394 15.56060606] ; [42.56060606 63.43939394],0
a2,1,0.563843,0.333094,[ 4 22] ; [22 86],[ 5.04477612 20.95522388] ; [20.95522388 87.04477612],0
a3,1,0.565444,0.330365,[18  8] ; [67 39],[16.74242424  9.25757576] ; [68.25757576 37.74242424],0
n4,1,0.578259,0.309058,[16 10] ; [72 35],[17.20300752  8.79699248] ; [70.79699248 36.20300752],0
v3,1,0.630327,0.231618,[ 9 15] ; [33 69],[ 8. 16.] ; [34. 68.],0
d2,1,0.665515,0.186893,[13 13] ; [48 58],[12.01515152 13.98484848] ; [48.98484848 57.01515152],0
a1,1,0.724457,0.124262,[ 3 23] ; [10 98],[ 2.52238806 23.47761194] ; [10.47761194 97.52238806],0
s1,1,0.735599,0.114033,[ 3 23] ; [10 97],[ 2.54135338 23.45864662] ; [10.45864662 96.54135338],0
p7,1,0.760058,0.093272,[ 7 19] ; [25 79],[ 6.4 19.6] ; [25.6 78.4],0
u4,1,0.773813,0.082594,[ 1 25] ; [  3 105],[ 0.7761194 25.2238806] ; [  3.2238806 104.7761194],0
b2,1,0.80274,0.062401,[ 6 11] ; [27 43],[ 6.44827586 10.55172414] ; [26.55172414 43.44827586],0
b3,1,0.80274,0.062401,[ 6 11] ; [27 43],[ 6.44827586 10.55172414] ; [26.55172414 43.44827586],0
d3,1,0.83065,0.04574,[13 13] ; [56 51],[13.4887218 12.5112782] ; [55.5112782 51.4887218],0
a8,1,0.837261,0.042188,[ 3 22] ; [11 93],[ 2.71317829 22.28682171] ; [11.28682171 92.71317829],0
u3,1,0.84957,0.035974,[4 4] ; [19 22],[3.75510204 4.24489796] ; [19.24489796 21.75510204],0
n5,1,0.931484,0.007392,[17  9] ; [69 38],[16.81203008  9.18796992] ; [69.18796992 37.81203008],0
b4,1,0.952557,0.00354,[15 11] ; [63 45],[15.13432836 10.86567164] ; [62.86567164 45.13432836],0
b5,1,0.978955,0.000696,[15 11] ; [62 46],[14.94029851 11.05970149] ; [62.05970149 45.94029851],0
n3,1,1.0,0.0,[4 4] ; [21 21],[4. 4.] ; [21. 21.],0
