Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.0,35.922147,[95 32] ; [23 50],[74.93 52.07] ; [43.07 29.93],1
a5,1,3e-06,21.842956,[89 39] ; [26 47],[73.23383085 54.76616915] ; [41.76616915 31.23383085],1
a4,1,0.000259,13.348952,[59 68] ; [15 58],[46.99 80.01] ; [27.01 45.99],1
b3,1,0.003659,8.445652,[35 39] ; [ 7 30],[28. 46.] ; [14. 23.],0
b2,1,0.003659,8.445652,[35 39] ; [ 7 30],[28. 46.] ; [14. 23.],0
n1,1,0.00429,8.156661,[19 22] ; [ 4 25],[13.47142857 27.52857143] ; [ 9.52857143 19.47142857],0
n6,1,0.009266,6.770729,[91 36] ; [39 34],[82.55 44.45] ; [47.45 25.55],0
s7,1,0.012199,6.28176,[25 93] ; [ 5 64],[18.93048128 99.06951872] ; [11.06951872 57.93048128],0
a3,1,0.014663,5.956534,[89 38] ; [38 34],[81.05025126 45.94974874] ; [45.94974874 26.05025126],0
p3,1,0.024719,5.043487,[31 97] ; [ 8 64],[ 24.96 103.04] ; [14.04 57.96],0
a6,1,0.025248,5.006815,[87 41] ; [38 35],[79.60199005 48.39800995] ; [45.39800995 27.60199005],0
a2,1,0.038729,4.27272,[ 22 106] ; [ 5 68],[ 17.19402985 110.80597015] ; [ 9.80597015 63.19402985],0
v3,1,0.038931,4.263878,[38 86] ; [12 58],[31.95876289 92.04123711] ; [18.04123711 51.95876289],0
r2,1,0.048033,3.908835,[112  13] ; [58 15],[107.32323232  17.67676768] ; [62.67676768 10.32323232],0
v2,1,0.051378,3.795896,[57 65] ; [23 48],[50.56994819 71.43005181] ; [29.43005181 41.56994819],0
s1,1,0.05215,3.770953,[  2 124] ; [ 5 68],[  4.4321608 121.5678392] ; [ 2.5678392 70.4321608],0
s8,1,0.069818,3.287292,[ 20 108] ; [ 5 68],[ 15.92039801 112.07960199] ; [ 9.07960199 63.92039801],0
r4,1,0.105535,2.619837,[93 35] ; [45 28],[87.88059701 40.11940299] ; [50.11940299 22.88059701],0
a8,1,0.10616,2.610472,[ 16 106] ; [ 4 66],[ 12.70833333 109.29166667] ; [ 7.29166667 62.70833333],0
u2,1,0.112101,2.524345,[14 25] ; [19 16],[17.39189189 21.60810811] ; [15.60810811 19.39189189],0
d2,1,0.112128,2.523974,[59 66] ; [26 47],[53.66161616 71.33838384] ; [31.33838384 41.66161616],0
u3,1,0.117299,2.45302,[12 27] ; [17 18],[15.28378378 23.71621622] ; [13.71621622 21.28378378],0
r1,1,0.129006,2.304423,[85 42] ; [41 32],[80.01 46.99] ; [45.99 27.01],0
d1,1,0.136771,2.213916,[63 65] ; [28 45],[57.95024876 70.04975124] ; [33.04975124 39.95024876],0
b5,1,0.136771,2.213916,[65 63] ; [45 28],[70.04975124 57.95024876] ; [39.95024876 33.04975124],0
a1,1,0.14435,2.130968,[ 10 118] ; [ 2 71],[  7.64179104 120.35820896] ; [ 4.35820896 68.64179104],0
s3,1,0.14942,2.078165,[36 91] ; [14 59],[31.75 95.25] ; [18.25 54.75],0
d5,1,0.18406,1.764536,[90 38] ; [44 28],[85.76 42.24] ; [48.24 23.76],0
n2,1,0.255806,1.291316,[28 15] ; [15 14],[25.68055556 17.31944444] ; [17.31944444 11.68055556],0
s4,1,0.29256,1.107805,[ 10 118] ; [ 9 64],[ 12.09950249 115.90049751] ; [ 6.90049751 66.09950249],0
p10,1,0.402649,0.700401,[74 53] ; [37 34],[71.1969697 55.8030303] ; [39.8030303 31.1969697],0
n3,1,0.413564,0.668532,[26 15] ; [15 13],[24.36231884 16.63768116] ; [16.63768116 11.36231884],0
v4,1,0.459578,0.546923,[100  27] ; [59 12],[101.98484848  25.01515152] ; [57.01515152 13.98484848],0
v1,1,0.485093,0.487393,[41 85] ; [20 52],[38.81818182 87.18181818] ; [22.18181818 49.81818182],0
d4,1,0.488371,0.480114,[94 33] ; [50 22],[91.89949749 35.10050251] ; [52.10050251 19.89949749],0
s2,1,0.535045,0.3848,[ 24 104] ; [11 61],[ 22.4 105.6] ; [12.6 59.4],0
u1,1,0.535992,0.383019,[ 12 116] ; [ 5 68],[ 10.82587065 117.17412935] ; [ 6.17412935 66.82587065],0
p1,1,0.538864,0.377649,[ 10 117] ; [ 4 68],[  8.93467337 118.06532663] ; [ 5.06532663 66.93467337],0
b4,1,0.562257,0.335811,[70 58] ; [43 30],[71.960199 56.039801] ; [41.039801 31.960199],0
p11,1,0.61488,0.253129,[80 48] ; [43 30],[78.32835821 49.67164179] ; [44.67164179 28.32835821],0
p5,1,0.643374,0.214357,[  3 125] ; [ 1 71],[  2.56 125.44] ; [ 1.44 70.56],0
d3,1,0.69411,0.154672,[74 54] ; [39 32],[72.68341709 55.31658291] ; [40.31658291 30.68341709],0
p8,1,0.723631,0.12504,[36 91] ; [19 54],[34.925 92.075] ; [20.075 52.925],0
r3,1,0.761598,0.092042,[104  22] ; [59 14],[103.20603015  22.79396985] ; [59.79396985 13.20603015],0
p7,1,0.801012,0.063523,[47 80] ; [25 46],[46.18181818 80.81818182] ; [25.81818182 45.18181818],0
s5,1,0.812183,0.056459,[ 13 109] ; [ 7 66],[ 12.51282051 109.48717949] ; [ 7.48717949 65.51282051],0
p9,1,0.832277,0.044852,[77 47] ; [43 28],[76.30769231 47.69230769] ; [43.69230769 27.30769231],0
a7,1,0.878729,0.023281,[79 48] ; [44 28],[78.49748744 48.50251256] ; [44.50251256 27.49748744],0
p6,1,0.924633,0.008949,[ 17 108] ; [10 61],[ 17.21938776 107.78061224] ; [ 9.78061224 61.21938776],0
b1,1,0.947912,0.004268,[52 76] ; [30 43],[52.21890547 75.78109453] ; [29.78109453 43.21890547],0
p2,1,0.980723,0.000584,[78 50] ; [44 28],[78.08 49.92] ; [43.92 28.08],0
